Test_ID,Theta1,Theta2,Pt
Test_001,65.0,19.0,7525.576895339104
Test_002,40.0,-51.0,9876.031555208407
Test_003,-44.0,65.0,9433.471421825043
Test_004,49.0,48.0,10415.69076322906
Test_005,-52.0,20.0,7818.281589636075
Test_006,-15.0,-74.0,6875.589254158728
Test_007,51.0,-83.0,8457.827117712022
Test_008,86.0,9.0,6280.1689619866
Test_009,-63.0,21.0,7785.499442875138
Test_010,-74.0,83.0,4290.894577549593
Test_011,-39.0,-9.0,6612.7033842657875
Test_012,-56.0,9.0,7210.409607503131
Test_013,61.0,33.0,8742.41771984591
Test_014,19.0,79.0,6961.530813854964
Test_015,35.0,60.0,8997.773506824675
Test_016,75.0,-61.0,6870.257234788168
Test_017,-30.0,66.0,8420.170838117543
Test_018,-53.0,31.0,8869.432595235507
Test_019,-79.0,29.0,7800.238583489085
Test_020,-2.0,48.0,6919.351101139208
Test_021,-49.0,-67.0,9504.399940379026
Test_022,43.0,-33.0,9079.185262723697
Test_023,62.0,-67.0,7299.010682036607
Test_024,30.0,75.0,7938.613961782274
Test_025,80.0,-80.0,3995.8827721375274
Test_026,-81.0,73.0,4541.779297238318
Test_027,54.0,-38.0,9521.795891327254
Test_028,36.0,-31.0,8691.726691902553
Test_029,52.0,-41.0,9948.557492059788
Test_030,15.0,-12.0,5251.288295759243
Test_031,-55.0,-62.0,8759.641011152311
Test_032,-19.0,-7.0,5185.574417957559
Test_033,-61.0,86.0,5969.546683186627
Test_034,-43.0,-15.0,7189.9768616189285
Test_035,70.0,81.0,4882.522053844512
Test_036,8.0,25.0,5723.711589671404
Test_037,-85.0,67.0,5061.708373461187
Test_038,-56.0,52.0,9709.61305981702
Test_039,64.0,42.0,9277.786042753532
Test_040,-27.0,-54.0,8417.530425781799
Test_041,-2.0,-68.0,6702.931568651364
Test_042,84.0,51.0,8354.811920924474
Test_043,79.0,-71.0,4939.295628493121
Test_044,59.0,-56.0,8818.441250429847
Test_045,-18.0,-35.0,7093.734274609654
Test_046,-76.0,-77.0,4637.114811034692
Test_047,42.0,27.0,8278.167950223326
Test_048,1.0,71.0,6563.966897470223
Test_049,-37.0,22.0,7640.59598138308
Test_050,-16.0,44.0,7424.497940941248
Test_051,28.0,57.0,8471.924162234927
Test_052,-79.0,34.0,8089.623952166233
Test_053,3.0,87.0,6098.058186982147
Test_054,-17.0,-44.0,7421.836051918207
Test_055,44.0,-49.0,10521.145497330383
Test_056,67.0,-19.0,7457.372539385561
Test_057,2.0,74.0,6405.916171308049
Test_058,82.0,19.0,6865.43639489073
Test_059,14.0,3.0,4717.642775501623
Test_060,44.0,-84.0,8476.139210330086
Test_061,0.0,-52.0,6982.430546621292
Test_062,33.0,26.0,7825.111980807199
Test_063,-75.0,38.0,8563.390357104494
Test_064,-20.0,55.0,7901.54588920378
Test_065,72.0,31.0,8147.862665178651
Test_066,75.0,72.0,5336.381554559695
Test_067,-83.0,68.0,5019.2438185102765
Test_068,-26.0,-1.0,5676.006513480624
Test_069,-36.0,57.0,9222.005104701053
Test_070,-89.0,-51.0,8218.407374803135
Test_071,-45.0,-29.0,8526.26837285035
Test_072,-29.0,13.0,6424.3572839207045
Test_073,-22.0,46.0,7883.061316988637
Test_074,-1.0,-8.0,4451.753183748477
Test_075,-22.0,82.0,7140.0069826958015
Test_076,50.0,5.0,6882.051461065925
Test_077,-64.0,20.0,7734.016319599558
Test_078,29.0,-79.0,7801.410685951278
Test_079,-67.0,39.0,9031.897191912816
Test_080,-53.0,-64.0,10022.690442720746
Test_081,-38.0,-72.0,8623.329098569639
Test_082,85.0,48.0,8541.133070617376
Test_083,-12.0,85.0,6469.676495298109
Test_084,77.0,-48.0,8873.14242246668
Test_085,45.0,75.0,8820.673524178555
Test_086,-41.0,-54.0,9783.43413189393
Test_087,-38.0,89.0,8148.1670531146465
Test_088,23.0,33.0,7460.41728258192
Test_089,18.0,-35.0,7102.865823575253
Test_090,-65.0,24.0,7973.467306102667
Test_091,11.0,36.0,6623.763100136949
Test_092,-38.0,-40.0,9705.169197923227
Test_093,-70.0,-78.0,5141.092540072209
Test_094,73.0,-55.0,8484.175148496359
