filename,test_id,theta1,theta2,pt,case
force_disp_Test_001.csv,Test_001,65.0,19.0,7524.224038148656,Case3
force_disp_Test_002.csv,Test_002,40.0,-51.0,9915.333132586313,Case3
force_disp_Test_003.csv,Test_003,-44.0,65.0,9469.274963665786,Case3
force_disp_Test_004.csv,Test_004,49.0,48.0,10489.289558668295,Case3
force_disp_Test_005.csv,Test_005,-52.0,20.0,7923.44227699512,Case3
force_disp_Test_006.csv,Test_006,-15.0,-74.0,7008.388160707061,Case3
force_disp_Test_007.csv,Test_007,51.0,-83.0,8488.488042930307,Case3
force_disp_Test_008.csv,Test_008,86.0,9.0,6278.405559330977,Case3
force_disp_Test_009.csv,Test_009,-63.0,21.0,7795.507660502387,Case3
force_disp_Test_010.csv,Test_010,-74.0,83.0,4291.496303165601,Case3
force_disp_Test_011.csv,Test_011,-39.0,-9.0,6767.43965099748,Case3
force_disp_Test_012.csv,Test_012,-56.0,9.0,7210.366591820945,Case3
force_disp_Test_013.csv,Test_013,61.0,33.0,8807.624154653906,Case3
force_disp_Test_014.csv,Test_014,19.0,79.0,7084.47014887711,Case3
force_disp_Test_015.csv,Test_015,35.0,60.0,9054.329212065408,Case3
force_disp_Test_016.csv,Test_016,75.0,-61.0,6890.709439484805,Case3
force_disp_Test_017.csv,Test_017,-30.0,66.0,8420.446789265701,Case3
force_disp_Test_018.csv,Test_018,-53.0,31.0,8870.709970794984,Case3
force_disp_Test_019.csv,Test_019,-79.0,29.0,7800.312944908193,Case3
force_disp_Test_020.csv,Test_020,-2.0,48.0,6911.159924844127,Case3
force_disp_Test_021.csv,Test_021,-49.0,-67.0,9587.902988942242,Case3
force_disp_Test_022.csv,Test_022,43.0,-33.0,9082.27771426675,Case3
force_disp_Test_023.csv,Test_023,62.0,-67.0,7299.230124218186,Case3
force_disp_Test_024.csv,Test_024,30.0,75.0,8015.284047360245,Case3
force_disp_Test_025.csv,Test_025,80.0,-80.0,4242.450811588644,Case3
force_disp_Test_026.csv,Test_026,-81.0,73.0,4542.146692198235,Case3
force_disp_Test_027.csv,Test_027,54.0,-38.0,9566.487532844087,Case3
force_disp_Test_028.csv,Test_028,36.0,-31.0,8694.655884221893,Case3
force_disp_Test_029.csv,Test_029,52.0,-41.0,9981.916982656023,Case3
force_disp_Test_030.csv,Test_030,15.0,-12.0,5244.46613065066,Case3
force_disp_Test_031.csv,Test_031,-55.0,-62.0,8800.720495346392,Case3
force_disp_Test_032.csv,Test_032,-19.0,-7.0,5181.719601493141,Case3
force_disp_Test_033.csv,Test_033,-61.0,86.0,5991.575442878556,Case3
force_disp_Test_034.csv,Test_034,-43.0,-15.0,7322.088663289745,Case3
force_disp_Test_035.csv,Test_035,70.0,81.0,4898.790939411711,Case3
force_disp_Test_036.csv,Test_036,8.0,25.0,5722.520737528544,Case3
force_disp_Test_037.csv,Test_037,-85.0,67.0,5061.911776993923,Case3
force_disp_Test_038.csv,Test_038,-56.0,52.0,9708.364401091494,Case3
force_disp_Test_039.csv,Test_039,64.0,42.0,9354.945515556834,Case3
force_disp_Test_040.csv,Test_040,-27.0,-54.0,8417.011511067643,Case3
force_disp_Test_041.csv,Test_041,-2.0,-68.0,6699.98573717735,Case3
force_disp_Test_042.csv,Test_042,84.0,51.0,8418.101373652402,Case3
force_disp_Test_043.csv,Test_043,79.0,-71.0,4955.136996827559,Case3
force_disp_Test_044.csv,Test_044,59.0,-56.0,8837.319762667043,Case3
force_disp_Test_045.csv,Test_045,-18.0,-35.0,7104.411917835755,Case3
force_disp_Test_046.csv,Test_046,-76.0,-77.0,4637.413712708471,Case3
force_disp_Test_047.csv,Test_047,42.0,27.0,8279.967262373988,Case3
force_disp_Test_048.csv,Test_048,1.0,71.0,6563.468961879951,Case3
force_disp_Test_049.csv,Test_049,-37.0,22.0,7642.469373378412,Case3
force_disp_Test_050.csv,Test_050,-16.0,44.0,7429.534916811786,Case3
force_disp_Test_051.csv,Test_051,28.0,57.0,8469.189546572357,Case3
force_disp_Test_052.csv,Test_052,-79.0,34.0,8162.8014153166905,Case3
force_disp_Test_053.csv,Test_053,3.0,87.0,6097.274114105937,Case3
force_disp_Test_054.csv,Test_054,-17.0,-44.0,7415.760628275197,Case3
force_disp_Test_055.csv,Test_055,44.0,-49.0,10549.651234647934,Case3
force_disp_Test_056.csv,Test_056,67.0,-19.0,7575.267173406533,Case3
force_disp_Test_057.csv,Test_057,2.0,74.0,6404.5765113421485,Case3
force_disp_Test_058.csv,Test_058,82.0,19.0,6990.421326106947,Case3
force_disp_Test_059.csv,Test_059,14.0,3.0,4721.089115915396,Case3
force_disp_Test_060.csv,Test_060,44.0,-84.0,8518.496274441966,Case3
force_disp_Test_061.csv,Test_061,0.0,-52.0,6986.884563563323,Case3
force_disp_Test_062.csv,Test_062,33.0,26.0,7828.853848038589,Case3
force_disp_Test_063.csv,Test_063,-75.0,38.0,8564.10510985636,Case3
force_disp_Test_064.csv,Test_064,-20.0,55.0,7891.335126607133,Case3
force_disp_Test_065.csv,Test_065,72.0,31.0,8228.556080062759,Case3
force_disp_Test_066.csv,Test_066,75.0,72.0,5369.6245566530315,Case3
force_disp_Test_067.csv,Test_067,-83.0,68.0,5037.133195018236,Case3
force_disp_Test_068.csv,Test_068,-26.0,-1.0,5677.412801135068,Case3
force_disp_Test_069.csv,Test_069,-36.0,57.0,9272.518168259172,Case3
force_disp_Test_070.csv,Test_070,-89.0,-51.0,8249.701067765836,Case3
force_disp_Test_071.csv,Test_071,-45.0,-29.0,8588.500874257914,Case3
force_disp_Test_072.csv,Test_072,-29.0,13.0,6421.020342466547,Case3
force_disp_Test_073.csv,Test_073,-22.0,46.0,7991.318059068361,Case3
