case,test_id,theta1,theta2,pt,predicted_type,confidence,type1_probability,type2_probability,type3_probability,review_priority,csv_path,plot_path
Case4,Test_004,49.0,48.0,10345.814402965785,1,0.9366666666666666,0.9366666666666666,0.06166666666666667,0.0016666666666666668,low,data/New_Data/csv_6x8_Case4/force_disp_Test_004.csv,data/New_Data/6x8_Case4/Original/plot_Test_004_original.png
Case4,Test_007,51.0,-83.0,8428.041592901605,1,0.82,0.82,0.17833333333333334,0.0016666666666666668,medium,data/New_Data/csv_6x8_Case4/force_disp_Test_007.csv,data/New_Data/6x8_Case4/Original/plot_Test_007_original.png
Case4,Test_010,-74.0,83.0,4291.269133329335,1,0.645,0.645,0.33166666666666667,0.023333333333333334,high,data/New_Data/csv_6x8_Case4/force_disp_Test_010.csv,data/New_Data/6x8_Case4/Original/plot_Test_010_original.png
Case4,Test_016,75.0,-61.0,6871.359299724581,1,0.9083333333333333,0.9083333333333333,0.09166666666666666,0.0,low,data/New_Data/csv_6x8_Case4/force_disp_Test_016.csv,data/New_Data/6x8_Case4/Original/plot_Test_016_original.png
Case4,Test_021,-49.0,-67.0,9503.869878837782,1,0.52,0.52,0.475,0.005,high,data/New_Data/csv_6x8_Case4/force_disp_Test_021.csv,data/New_Data/6x8_Case4/Original/plot_Test_021_original.png
Case4,Test_023,62.0,-67.0,7298.688867118204,1,0.8916666666666667,0.8916666666666667,0.10833333333333334,0.0,low,data/New_Data/csv_6x8_Case4/force_disp_Test_023.csv,data/New_Data/6x8_Case4/Original/plot_Test_023_original.png
Case4,Test_025,80.0,-80.0,4242.450811588644,1,0.6583333333333333,0.6583333333333333,0.305,0.03666666666666667,high,data/New_Data/csv_6x8_Case4/force_disp_Test_025.csv,data/New_Data/6x8_Case4/Original/plot_Test_025_original.png
Case4,Test_026,-81.0,73.0,4542.812673731576,1,0.6816666666666666,0.6816666666666666,0.31,0.008333333333333333,high,data/New_Data/csv_6x8_Case4/force_disp_Test_026.csv,data/New_Data/6x8_Case4/Original/plot_Test_026_original.png
Case4,Test_031,-55.0,-62.0,8703.90252296249,1,0.975,0.975,0.025,0.0,low,data/New_Data/csv_6x8_Case4/force_disp_Test_031.csv,data/New_Data/6x8_Case4/Original/plot_Test_031_original.png
Case4,Test_033,-61.0,86.0,5970.411415920815,1,0.7083333333333334,0.7083333333333334,0.29,0.0016666666666666668,medium,data/New_Data/csv_6x8_Case4/force_disp_Test_033.csv,data/New_Data/6x8_Case4/Original/plot_Test_033_original.png
Case4,Test_035,70.0,81.0,4865.016050006694,1,0.6216666666666667,0.6216666666666667,0.36833333333333335,0.01,high,data/New_Data/csv_6x8_Case4/force_disp_Test_035.csv,data/New_Data/6x8_Case4/Original/plot_Test_035_original.png
Case4,Test_037,-85.0,67.0,5062.2037207287,1,0.685,0.685,0.31166666666666665,0.0033333333333333335,high,data/New_Data/csv_6x8_Case4/force_disp_Test_037.csv,data/New_Data/6x8_Case4/Original/plot_Test_037_original.png
Case4,Test_038,-56.0,52.0,9708.181842461105,1,0.9833333333333333,0.9833333333333333,0.016666666666666666,0.0,low,data/New_Data/csv_6x8_Case4/force_disp_Test_038.csv,data/New_Data/6x8_Case4/Original/plot_Test_038_original.png
Case4,Test_042,84.0,51.0,8357.185167173264,1,0.5266666666666666,0.5266666666666666,0.47333333333333333,0.0,high,data/New_Data/csv_6x8_Case4/force_disp_Test_042.csv,data/New_Data/6x8_Case4/Original/plot_Test_042_original.png
Case4,Test_043,79.0,-71.0,4956.117892093866,1,0.785,0.785,0.21,0.005,medium,data/New_Data/csv_6x8_Case4/force_disp_Test_043.csv,data/New_Data/6x8_Case4/Original/plot_Test_043_original.png
Case4,Test_044,59.0,-56.0,8837.212253399226,1,0.9866666666666667,0.9866666666666667,0.011666666666666667,0.0016666666666666668,low,data/New_Data/csv_6x8_Case4/force_disp_Test_044.csv,data/New_Data/6x8_Case4/Original/plot_Test_044_original.png
Case4,Test_046,-76.0,-77.0,4604.562149050341,1,0.6866666666666666,0.6866666666666666,0.295,0.018333333333333333,high,data/New_Data/csv_6x8_Case4/force_disp_Test_046.csv,data/New_Data/6x8_Case4/Original/plot_Test_046_original.png
Case4,Test_055,44.0,-49.0,10549.665211453328,1,0.705,0.705,0.29333333333333333,0.0016666666666666668,medium,data/New_Data/csv_6x8_Case4/force_disp_Test_055.csv,data/New_Data/6x8_Case4/Original/plot_Test_055_original.png
Case4,Test_066,75.0,72.0,5336.3009277028705,1,0.6583333333333333,0.6583333333333333,0.335,0.006666666666666667,high,data/New_Data/csv_6x8_Case4/force_disp_Test_066.csv,data/New_Data/6x8_Case4/Original/plot_Test_066_original.png
Case4,Test_067,-83.0,68.0,5018.832270502839,1,0.695,0.695,0.3016666666666667,0.0033333333333333335,high,data/New_Data/csv_6x8_Case4/force_disp_Test_067.csv,data/New_Data/6x8_Case4/Original/plot_Test_067_original.png
Case4,Test_070,-89.0,-51.0,8186.885156503056,1,0.615,0.615,0.37666666666666665,0.008333333333333333,high,data/New_Data/csv_6x8_Case4/force_disp_Test_070.csv,data/New_Data/6x8_Case4/Original/plot_Test_070_original.png
Case4,Test_080,-53.0,-64.0,10024.140841406297,1,0.9733333333333334,0.9733333333333334,0.02666666666666667,0.0,low,data/New_Data/csv_6x8_Case4/force_disp_Test_080.csv,data/New_Data/6x8_Case4/Original/plot_Test_080_original.png
