case,test_id,theta1,theta2,pt,predicted_type,confidence,type1_probability,type2_probability,type3_probability,review_priority,csv_path,plot_path
Case2,Test_001,65.0,19.0,7525.576895339104,2,0.7016666666666667,0.095,0.7016666666666667,0.20333333333333334,medium,data/New_Data/csv_6x8_Case2/force_disp_Test_001.csv,data/New_Data/6x8_Case2/Original/plot_Test_001_original.png
Case2,Test_002,40.0,-51.0,9876.031555208407,1,0.5383333333333333,0.5383333333333333,0.445,0.016666666666666666,high,data/New_Data/csv_6x8_Case2/force_disp_Test_002.csv,data/New_Data/6x8_Case2/Original/plot_Test_002_original.png
Case2,Test_003,-44.0,65.0,9433.471421825043,2,0.5383333333333333,0.445,0.5383333333333333,0.016666666666666666,high,data/New_Data/csv_6x8_Case2/force_disp_Test_003.csv,data/New_Data/6x8_Case2/Original/plot_Test_003_original.png
Case2,Test_004,49.0,48.0,10415.69076322906,1,0.985,0.985,0.013333333333333334,0.0016666666666666668,low,data/New_Data/csv_6x8_Case2/force_disp_Test_004.csv,data/New_Data/6x8_Case2/Original/plot_Test_004_original.png
Case2,Test_005,-52.0,20.0,7818.281589636075,2,0.7233333333333334,0.08166666666666667,0.7233333333333334,0.195,medium,data/New_Data/csv_6x8_Case2/force_disp_Test_005.csv,data/New_Data/6x8_Case2/Original/plot_Test_005_original.png
Case2,Test_006,-15.0,-74.0,6875.589254158728,2,0.7316666666666667,0.06333333333333334,0.7316666666666667,0.205,medium,data/New_Data/csv_6x8_Case2/force_disp_Test_006.csv,data/New_Data/6x8_Case2/Original/plot_Test_006_original.png
Case2,Test_007,51.0,-83.0,8457.827117712022,1,0.8683333333333333,0.8683333333333333,0.13,0.0016666666666666668,low,data/New_Data/csv_6x8_Case2/force_disp_Test_007.csv,data/New_Data/6x8_Case2/Original/plot_Test_007_original.png
Case2,Test_008,86.0,9.0,6280.1689619866,2,0.6283333333333333,0.09833333333333333,0.6283333333333333,0.2733333333333333,high,data/New_Data/csv_6x8_Case2/force_disp_Test_008.csv,data/New_Data/6x8_Case2/Original/plot_Test_008_original.png
Case2,Test_009,-63.0,21.0,7785.499442875138,2,0.7566666666666667,0.08333333333333333,0.7566666666666667,0.16,medium,data/New_Data/csv_6x8_Case2/force_disp_Test_009.csv,data/New_Data/6x8_Case2/Original/plot_Test_009_original.png
Case2,Test_010,-74.0,83.0,4290.894577549593,1,0.6716666666666666,0.6716666666666666,0.30333333333333334,0.025,high,data/New_Data/csv_6x8_Case2/force_disp_Test_010.csv,data/New_Data/6x8_Case2/Original/plot_Test_010_original.png
