Test_ID,Theta1,Theta2,Pt,type
Test_001,11.0,49.0,11016.543141052594,2
Test_002,-15.0,-71.0,11700.11771556933,2
Test_003,-88.0,11.0,10710.272232443003,2
Test_004,-25.0,-46.0,12392.992157676856,2
Test_005,32.0,27.0,11379.748488316727,2
Test_006,-76.0,-52.0,11416.528267130552,1
Test_007,-66.0,-12.0,11246.053802734268,2
Test_008,-43.0,77.0,13800.987670551092,2
Test_009,75.0,40.0,13748.83559999772,1
Test_010,-63.0,87.0,7961.142951987136,1
Test_011,-72.0,-8.0,10880.131171844438,2
Test_012,-84.0,47.0,11807.100528635878,1
Test_013,57.0,48.0,15150.710403300996,1
Test_014,54.0,51.0,14087.49224142291,1
Test_015,17.0,33.0,10147.01460161408,2
Test_016,52.0,44.0,15389.45105756226,1
Test_017,-41.0,73.0,14066.90839787841,2
Test_018,88.0,18.0,11268.66466186235,2
Test_019,-28.0,-86.0,12696.703759407956,2
Test_020,-15.0,-39.0,10465.36292676107,2
Test_021,-2.0,-69.0,10946.161436968376,2
Test_022,-19.0,-70.0,12126.162185527584,2
Test_023,-49.0,30.0,13141.534345512744,2
Test_024,59.0,-11.0,11242.04177243782,2
Test_025,-11.0,53.0,11303.278643869868,2
Test_026,-56.0,40.0,14645.648847817518,1
Test_027,62.0,-28.0,13035.037772851014,2
Test_028,-60.0,15.0,11649.316191861824,2
Test_029,-86.0,4.0,10320.775755703318,2
Test_030,-45.0,-21.0,11546.71001447416,2
Test_031,39.0,-42.0,15017.775006907892,1
Test_032,-68.0,32.0,13277.32875048817,2
Test_033,30.0,-72.0,13215.35481227484,2
Test_034,65.0,-56.0,12354.30193153408,1
Test_035,62.0,45.0,14991.902085610658,1
Test_036,-51.0,58.0,13740.092703315842,1
Test_037,82.0,-75.0,6153.885585728901,1
Test_038,-37.0,59.0,14336.838329497168,1
Test_039,-35.0,-29.0,12075.475496133024,2
Test_040,84.0,24.0,11962.435886916714,2
Test_041,12.0,88.0,10994.108521948958,2
Test_042,-80.0,36.0,13227.695132386554,2
Test_043,90.0,52.0,10254.885168858957,1
Test_044,-83.0,8.0,10548.586958295096,2
Test_045,77.0,-20.0,11758.374301300038,2
Test_046,56.0,-82.0,9755.358691862666,1
Test_047,-33.0,64.0,13728.306127293166,2
Test_048,-23.0,-2.0,7396.39157644774,3
Test_049,4.0,78.0,10746.049573200313,2
Test_050,-13.0,60.0,11613.947845338616,2
Test_051,-54.0,22.0,12202.188260490584,2
Test_052,14.0,-3.0,6306.638379958847,3
Test_053,-67.0,23.0,12333.052393041338,2
Test_054,-36.0,-80.0,13387.540110270374,2
Test_055,69.0,-62.0,10398.020742396053,1
Test_056,88.0,-61.0,8280.197979324925,1
Test_057,-85.0,56.0,9493.644210179262,1
Test_058,46.0,41.0,15249.062926910205,1
Test_059,34.0,-32.0,12712.566537494591,2
Test_060,11.0,-2.0,6059.582829422652,3
Test_061,19.0,-67.0,12225.485737862811,2
Test_062,-45.0,-80.0,12860.83607398302,1
Test_063,38.0,69.0,14003.82102632539,2
Test_064,-65.0,32.0,13414.893230364938,2
Test_065,-32.0,-36.0,13023.788309883545,2
Test_066,-17.0,82.0,11521.58851811688,2
Test_067,-61.0,78.0,9145.109172394968,1
Test_068,45.0,-66.0,14878.35577045945,1
Test_069,33.0,-41.0,13575.420872443789,2
