Test_ID,theta1,theta2,Pt,type
001,65.0,19.0,19701.10650899933,2
002,40.0,-51.0,15564.192522589261,1
003,-44.0,65.0,15263.321046334091,1
004,49.0,48.0,14605.531869322482,1
005,-52.0,20.0,19521.12811538156,2
006,-15.0,-74.0,21416.816488874498,2
007,51.0,-83.0,11044.194985803253,1
008,86.0,9.0,21499.399687200803,2
009,-63.0,21.0,19848.72024440584,2
010,-74.0,83.0,6417.199673460506,1
011,-39.0,-9.0,21782.93383721275,2
012,-56.0,9.0,21623.457561322022,2
013,61.0,33.0,16488.202908673717,1
014,19.0,79.0,20609.78711097851,2
015,35.0,60.0,16099.168102698402,2
016,75.0,-61.0,9606.218223163476,1
017,-30.0,66.0,17744.618846286707,2
018,-53.0,31.0,16509.679046427784,2
019,-79.0,29.0,18071.218289483906,2
020,-2.0,48.0,22328.79345310121,2
021,-49.0,-67.0,13167.318747343248,1
022,43.0,-33.0,15643.776629233736,2
023,62.0,-67.0,10919.917889467906,1
024,30.0,75.0,17431.666497748745,2
025,80.0,-80.0,5974.146129044565,1
026,-81.0,73.0,6741.47187366278,1
027,54.0,-38.0,15434.554916393454,1
028,36.0,-31.0,16700.334618625035,2
029,52.0,-41.0,15305.02527292944,1
030,15.0,-12.0,17924.24390293732,3
031,-55.0,-62.0,12458.905489669378,1
032,-19.0,-7.0,18193.504559718982,3
033,-61.0,86.0,8603.9325816845,1
034,-43.0,-15.0,20448.84284785929,2
035,70.0,81.0,7229.269718547071,1
036,8.0,25.0,19860.29223620826,3
037,-85.0,67.0,7472.906084422283,1
038,-56.0,52.0,13793.266474940921,1
039,64.0,42.0,15153.472420711814,1
040,-27.0,-54.0,17787.812425229233,2
041,-2.0,-68.0,22358.117936279017,2
042,84.0,51.0,10860.970880970019,1
043,79.0,-71.0,7263.017948467875,1
044,59.0,-56.0,13020.757742860987,1
045,-18.0,-35.0,19995.27729445088,2
046,-76.0,-77.0,6767.080412473619,1
047,42.0,27.0,16941.948790650924,2
048,1.0,71.0,22333.915636394122,2
049,-37.0,22.0,18894.133918603293,2
050,-16.0,44.0,20095.47310657902,2
051,28.0,57.0,17211.139894556734,2
052,-79.0,34.0,16823.46663263932,2
053,3.0,87.0,22215.838817931355,2
054,-17.0,-44.0,19802.670513986137,2
055,44.0,-49.0,16003.53308045265,1
056,67.0,-19.0,20518.220862411847,2
057,2.0,74.0,22293.436635106573,2
058,82.0,19.0,20273.166907762425,2
059,14.0,3.0,17403.926771403785,3
060,44.0,-84.0,13059.554858234635,1
061,0.0,-52.0,22390.338402721325,2
062,33.0,26.0,17848.77388656686,2
063,-75.0,38.0,15942.54751799103,2
064,-20.0,55.0,19917.952698060064,2
065,72.0,31.0,17410.69061531813,2
066,75.0,72.0,7574.793974005972,1
067,-83.0,68.0,7376.135864080732,1
068,-26.0,-1.0,19576.793491775054,3
069,-36.0,57.0,15953.533601743304,2
070,-89.0,-51.0,10741.93579880972,1
071,-45.0,-29.0,16187.949974005638,2
072,-29.0,13.0,20883.60514859316,3
073,-22.0,46.0,18362.65095522395,2
074,-1.0,-8.0,16957.129742286947,3
075,-22.0,82.0,19855.135779360873,2
076,50.0,5.0,21909.575475465925,2
077,-64.0,20.0,19512.41367375843,2
078,29.0,-79.0,18169.39831242523,2
079,-67.0,39.0,15675.109831677206,2
080,-53.0,-64.0,13084.614568148081,1
081,-38.0,-72.0,16101.298190734396,2
082,85.0,48.0,11736.197462441638,1
083,-12.0,85.0,21326.424718647988,2
084,77.0,-48.0,12337.943110434046,1
085,45.0,75.0,12589.587008838233,1
086,-41.0,-54.0,15341.482645335416,1
087,-38.0,89.0,16189.267634561245,2
088,23.0,33.0,18608.451507404636,2
089,18.0,-35.0,20032.379657876594,2
090,-65.0,24.0,18553.21629145018,2
091,11.0,36.0,21767.84320171658,3
092,-38.0,-40.0,16099.213392153637,2
093,-70.0,-78.0,7555.890633922434,1
094,73.0,-55.0,11135.612813237853,1
095,68.0,-30.0,17661.643455896938,2
096,84.0,-52.0,10662.045194364207,1
097,-46.0,-23.0,17833.473577146986,2
098,-1.0,36.0,21625.61055912366,3
099,90.0,40.0,12361.552384112701,1
100,69.0,62.0,10290.846377699652,1
101,48.0,15.0,20115.567029852402,2
102,76.0,-24.0,18748.451080897223,2
103,66.0,14.0,20779.429796308756,2
104,83.0,3.0,22013.511892918705,2
105,89.0,-77.0,5739.6752127169875,1
106,-12.0,43.0,21892.502054630153,2
107,69.0,8.0,21693.39061803584,2
108,46.0,-72.0,13003.628983356539,1
109,-69.0,17.0,20635.671601532737,2
110,-51.0,1.0,22182.1381511646,2
111,7.0,87.0,21920.621936815387,2
112,21.0,-8.0,19054.511313868734,3
113,35.0,-2.0,21509.802299412044,3
114,-35.0,-78.0,16760.714683028644,2
115,22.0,74.0,19318.37365424374,2
116,12.0,-85.0,21286.86687496217,2
117,-87.0,33.0,17047.571877581824,2
118,54.0,-88.0,10093.622702080575,1
119,31.0,-10.0,21142.379614046542,3
120,-58.0,-26.0,17662.200542907973,2
121,-50.0,14.0,20916.586085929557,2
122,20.0,-73.0,20516.942125553487,2
123,76.0,4.0,21993.004758074017,2
124,42.0,-66.0,15459.117617288746,1
125,-3.0,72.0,22280.06196581888,2
126,-8.0,18.0,17930.849905103307,2
127,-66.0,77.0,8433.232191979947,1
128,59.0,-70.0,10901.028508593796,1
129,24.0,11.0,19751.16392023655,3
130,-59.0,12.0,21543.467950390856,2
131,41.0,53.0,15325.026379625706,1
132,38.0,35.0,15742.111371218838,2
133,-21.0,37.0,18849.98592227573,2
134,-56.0,37.0,15597.112008826294,2
135,39.0,-76.0,16006.88943855908,2
136,8.0,-68.0,21932.581487616357,2
137,68.0,53.0,12230.661588968265,1
138,-28.0,-75.0,18425.936762558722,2
139,-52.0,-36.0,15468.37737358641,2
140,1.0,-3.0,16760.952958425063,3
141,79.0,49.0,11693.184234639493,1
142,56.0,10.0,21319.723385365323,2
143,39.0,-35.0,16036.190720089693,2
144,-86.0,-39.0,15835.30296171324,2
145,29.0,32.0,17321.666898558327,2
146,-41.0,-28.0,16422.268749824758,2
147,47.0,23.0,18337.610171054326,2
148,46.0,-62.0,15167.89709263468,1
149,24.0,-59.0,18488.535927105037,2
150,15.0,-47.0,20401.415749413034,2
151,-66.0,-82.0,7839.469686969595,1
152,-23.0,-66.0,19520.730767560206,2
153,50.0,-62.0,14286.851173680787,1
154,-65.0,-65.0,10599.394286375713,1
155,11.0,-32.0,21032.385995143206,2
156,70.0,-86.0,6910.164352987085,1
157,78.0,-26.0,18751.314085346956,2
158,17.0,-43.0,20408.53420979199,2
159,-9.0,-4.0,17066.94834169127,3
160,47.0,-13.0,20665.2862093019,2
161,-43.0,-45.0,15352.175073884922,1
162,-71.0,-11.0,21339.9828165025,2
163,-84.0,28.0,18210.240977751277,2
164,-16.0,-5.0,17924.91288582107,2
165,-5.0,10.0,16755.293177064803,3
166,-61.0,-3.0,22131.98328592722,2
167,-4.0,-6.0,16689.115446080476,3
168,-5.0,-1.0,17139.540631082622,3
169,58.0,-70.0,11097.69246060567,1
170,-35.0,-50.0,15763.79095797676,2
171,-6.0,-18.0,17410.69431437889,3
172,-68.0,5.0,22001.661542988226,2
173,82.0,-55.0,10147.57003477745,1
174,-76.0,51.0,11586.020496456618,1
175,-73.0,85.0,6486.307386958716,1
176,-36.0,30.0,16882.71816026857,2
177,25.0,-81.0,19145.919367808307,2
178,27.0,63.0,17812.74790622233,2
179,73.0,-44.0,15042.643394652185,1
180,-14.0,88.0,21811.848537109374,2
181,88.0,45.0,12392.318254241229,2
182,-14.0,42.0,20666.746430570336,2
183,37.0,63.0,15989.98335424239,2
184,83.0,43.0,11956.04729499557,2
185,-18.0,49.0,19624.96577963115,2
186,-54.0,1.0,22179.04572113914,2
187,-47.0,-37.0,15396.657748207082,1
188,-40.0,56.0,15513.92063728736,1
189,34.0,0.0,21657.906151661224,3
190,-80.0,40.0,15648.583910240095,2
191,-75.0,6.0,21874.91778887755,2
192,89.0,-86.0,4973.9925900578555,1
193,48.0,41.0,15388.243323403005,1
194,-11.0,-16.0,17756.135113982586,3
195,12.0,71.0,21996.260955284524,2
196,-32.0,84.0,17519.585877242494,2
197,-80.0,-38.0,15893.15974336097,2
198,-82.0,-53.0,10577.037843011174,1
199,-45.0,82.0,12884.544918881533,1
200,88.0,-42.0,11926.17822368546,1
201,-73.0,-27.0,18501.122888261427,2
202,-24.0,-76.0,19533.891318677703,2
203,33.0,58.0,16486.365230660547,2
204,27.0,-22.0,20176.706110514904,3
205,-58.0,-50.0,15043.964088905863,1
206,4.0,90.0,10036.736432191612,2
207,19.0,-83.0,19995.28621372993,2
208,-87.0,47.0,11851.482992077586,1
