case,raw_folder,test_id,theta1,theta2,pt,type,curve_csv
Case2,2,001,65.0,19.0,19662.338495438697,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_001.csv
Case2,2,002,40.0,-51.0,15516.468243569163,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_002.csv
Case2,2,003,-44.0,65.0,15283.103421466823,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_003.csv
Case2,2,004,49.0,48.0,14685.038124618122,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_004.csv
Case2,2,005,-52.0,20.0,19017.402658062972,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_005.csv
Case2,2,006,-15.0,-74.0,20754.70106893895,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_006.csv
Case2,2,007,51.0,-83.0,11050.763333309067,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_007.csv
Case2,2,008,86.0,9.0,21473.947435573413,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_008.csv
Case2,2,009,-63.0,21.0,19810.341364807206,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_009.csv
Case2,2,010,-74.0,83.0,6475.1691437324325,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_010.csv
Case2,2,011,-39.0,-9.0,20453.97685275137,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_011.csv
Case2,2,012,-56.0,9.0,21548.379771521366,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_012.csv
Case2,2,013,61.0,33.0,16122.42566552643,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_013.csv
Case2,2,014,19.0,79.0,20603.663841197562,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_014.csv
