case,Test_ID,theta1,theta2,Pt,type,panel_a_in,panel_b_in,source_dataset,source_test_id,csv_path
Case2,6x4_001,65.0,19.0,19662.338495438697,2,6.0,4.0,6x4_curated_v1,Test_001,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_001.csv
Case2,6x4_002,40.0,-51.0,15516.468243569163,1,6.0,4.0,6x4_curated_v1,Test_002,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_002.csv
Case2,6x4_003,-44.0,65.0,15283.103421466823,1,6.0,4.0,6x4_curated_v1,Test_003,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_003.csv
Case2,6x4_004,49.0,48.0,14685.038124618122,1,6.0,4.0,6x4_curated_v1,Test_004,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_004.csv
Case2,6x4_005,-52.0,20.0,19017.402658062972,2,6.0,4.0,6x4_curated_v1,Test_005,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_005.csv
Case2,6x4_006,-15.0,-74.0,20754.70106893895,2,6.0,4.0,6x4_curated_v1,Test_006,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_006.csv
Case2,6x4_007,51.0,-83.0,11050.763333309067,1,6.0,4.0,6x4_curated_v1,Test_007,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_007.csv
Case2,6x4_008,86.0,9.0,21473.947435573413,2,6.0,4.0,6x4_curated_v1,Test_008,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_008.csv
Case2,6x4_009,-63.0,21.0,19810.341364807206,2,6.0,4.0,6x4_curated_v1,Test_009,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_009.csv
Case2,6x4_010,-74.0,83.0,6475.1691437324325,1,6.0,4.0,6x4_curated_v1,Test_010,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_010.csv
Case2,6x4_011,-39.0,-9.0,20453.97685275137,2,6.0,4.0,6x4_curated_v1,Test_011,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_011.csv
Case2,6x4_012,-56.0,9.0,21548.379771521366,2,6.0,4.0,6x4_curated_v1,Test_012,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_012.csv
Case2,6x4_013,61.0,33.0,16122.42566552643,2,6.0,4.0,6x4_curated_v1,Test_013,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_013.csv
Case2,6x4_014,19.0,79.0,20603.663841197562,2,6.0,4.0,6x4_curated_v1,Test_014,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_014.csv
Case2,6x4_015,35.0,60.0,15944.291849701582,2,6.0,4.0,6x4_curated_v1,Test_015,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_015.csv
Case2,6x4_016,75.0,-61.0,9605.86968700014,1,6.0,4.0,6x4_curated_v1,Test_016,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_016.csv
