case,test_id,theta1,theta2,pt,original_label,final_label,confidence,decision_reason,data_quality,n_points,transition_index,post_points,r2_post,nrmse_post,quad_a,abs_quad_a,slope_drift,slope_ratio,tail_r2
Case3,Test_001,11.0,49.0,11016.543141052594,2,2,high,kept_original_label,ok,1001,98,883,0.9891660338084037,0.029299288850951344,-0.3858641929669953,0.3858641929669953,0.6787663215656701,0.5175777942536403,0.9997821685360193
Case3,Test_002,-15.0,-71.0,11700.11771556933,2,2,high,kept_original_label,ok,1001,113,868,0.9913542893576271,0.026339650506633245,-0.3486786472260854,0.3486786472260854,0.5977867195745855,0.5569427352016739,0.9998163716857646
Case3,Test_003,-88.0,11.0,10710.272232443003,2,2,high,kept_original_label,ok,1001,98,883,0.9894666127410906,0.029155328827092177,-0.3871340090604689,0.3871340090604689,0.642522572473989,0.5304089620717218,0.9997654125437399
Case3,Test_004,-25.0,-46.0,12392.992157676856,2,2,high,kept_original_label,ok,1001,182,799,0.9938533056074832,0.022112250579466756,-0.2898202216454832,0.2898202216454832,0.5294220758335586,0.599665906758683,0.9998891274125655
Case3,Test_005,32.0,27.0,11379.748488316727,2,2,high,kept_original_label,ok,1001,149,832,0.9919067064311208,0.025493152170395314,-0.33707805849693556,0.33707805849693556,0.5824394711529184,0.5659725348799866,0.9998240476752611
Case3,Test_006,-76.0,-52.0,11416.528267130552,1,1,high,kept_original_label,ok,1001,512,469,0.9995032808568018,0.006400044402896457,-0.08403041124145945,0.08403041124145945,0.15439780311546517,0.8585717556539583,0.9999913153341092
Case3,Test_007,-66.0,-12.0,11246.053802734268,2,2,high,kept_original_label,ok,1001,105,876,0.990511827787788,0.02752524617123352,-0.3637267649145455,0.3637267649145455,0.6287380911519884,0.5413794301393596,0.9998028648801589
Case3,Test_008,-43.0,77.0,13800.987670551092,2,1,high,csv_post_transition_is_type1_linear; overrides_report_borderline_keep,ok,1001,395,586,0.9994557759605053,0.006825247613988276,-0.08957451852294869,0.08957451852294869,0.11797872238652982,0.8939517786917962,0.9999789726460389
Case3,Test_009,75.0,40.0,13748.83559999772,1,1,high,kept_original_label,ok,1001,347,634,0.9966498654283587,0.01641526173681151,-0.21413893934420192,0.21413893934420192,0.3909802985988869,0.6851782152018325,0.9999584610620049
Case3,Test_010,-63.0,87.0,7961.142951987136,1,1,high,kept_original_label,ok,1001,468,513,0.9994972484026559,0.006426160077420703,-0.083612370568012,0.083612370568012,0.15905612095235416,0.8551111985155566,0.9999926599757953
Case3,Test_011,-72.0,-8.0,10880.131171844438,2,2,high,kept_original_label,ok,1001,96,885,0.989393132669701,0.029131934235450137,-0.38547490754407737,0.38547490754407737,0.6562588664994286,0.5262174368578951,0.9997750201011079
Case3,Test_012,-84.0,47.0,11807.100528635878,1,1,high,kept_original_label,ok,1001,394,587,0.999213899124151,0.008063290138756103,-0.10718711534395266,0.10718711534395266,0.1825234586517176,0.834325876864612,0.9999815241235539
Case3,Test_013,57.0,48.0,15150.710403300996,1,1,high,kept_original_label,ok,1001,754,227,0.9980610628988531,0.012674771709040368,-0.16722442191450723,0.16722442191450723,0.27546119974889893,0.7616893792004211,0.9999719415082186
Case3,Test_014,54.0,51.0,14087.49224142291,1,1,high,kept_original_label,ok,1001,762,219,0.9999035781900218,0.002837942594885843,-0.03703853082936662,0.03703853082936662,0.07018532805433879,0.9325279908270453,0.9999980721340087
Case3,Test_015,17.0,33.0,10147.01460161408,2,2,high,kept_original_label,ok,1001,89,892,0.9858570943159995,0.03354539804837435,-0.44287949996835735,0.44287949996835735,0.7562505721727713,0.4778015543021288,0.9996904067083049
Case3,Test_016,52.0,44.0,15389.45105756226,1,1,high,kept_original_label,ok,1001,675,306,0.998299685596778,0.011820936978014014,-0.15511261666135878,0.15511261666135878,0.2647336559982941,0.7713125701403173,0.9999820919098864
Case3,Test_017,-41.0,73.0,14066.90839787841,2,2,high,kept_original_label,ok,1001,378,603,0.9967730809754286,0.016113642657400423,-0.20991347474938754,0.20991347474938754,0.38274779333332265,0.6908092661546715,0.9999633573636747
Case3,Test_018,88.0,18.0,11268.66466186235,2,2,high,kept_original_label,ok,1001,117,864,0.9918547281360521,0.02563715898447996,-0.3402264792832981,0.3402264792832981,0.5762624244768503,0.5671884395151978,0.9998159501920659
