filename,case,test_id,theta1,theta2,pt,type,source_csv
Case3_type2_force_disp_Test_001.csv,Case3,Test_001,11,49,11016.54314,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_001.csv
Case3_type2_force_disp_Test_002.csv,Case3,Test_002,-15,-71,11700.11772,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_002.csv
Case3_type2_force_disp_Test_003.csv,Case3,Test_003,-88,11,10710.27223,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_003.csv
Case3_type2_force_disp_Test_004.csv,Case3,Test_004,-25,-46,12392.99216,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_004.csv
Case3_type2_force_disp_Test_005.csv,Case3,Test_005,32,27,11379.74849,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_005.csv
Case3_type1_force_disp_Test_006.csv,Case3,Test_006,-76,-52,11416.52827,1,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_006.csv
Case3_type2_force_disp_Test_007.csv,Case3,Test_007,-66,-12,11246.0538,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_007.csv
Case3_type1_force_disp_Test_008.csv,Case3,Test_008,-43,77,13800.98767,1,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_008.csv
Case3_type1_force_disp_Test_009.csv,Case3,Test_009,75,40,13748.8356,1,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_009.csv
Case3_type1_force_disp_Test_010.csv,Case3,Test_010,-63,87,7961.142952,1,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_010.csv
Case3_type2_force_disp_Test_011.csv,Case3,Test_011,-72,-8,10880.13117,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_011.csv
Case3_type1_force_disp_Test_012.csv,Case3,Test_012,-84,47,11807.10053,1,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_012.csv
Case3_type1_force_disp_Test_013.csv,Case3,Test_013,57,48,15150.7104,1,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_013.csv
Case3_type1_force_disp_Test_014.csv,Case3,Test_014,54,51,14087.49224,1,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_014.csv
Case3_type2_force_disp_Test_015.csv,Case3,Test_015,17,33,10147.0146,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_015.csv
Case3_type1_force_disp_Test_016.csv,Case3,Test_016,52,44,15389.45106,1,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_016.csv
Case3_type2_force_disp_Test_017.csv,Case3,Test_017,-41,73,14066.9084,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_017.csv
Case3_type2_force_disp_Test_018.csv,Case3,Test_018,88,18,11268.66466,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_018.csv
