Test_ID,Global_Test_ID,Theta1,Theta2,Pt,type,original_type,model_predicted_type,model_confidence,p_type1,p_type2,p_type3,confidence,data_quality,review_note
Test_001,Test_201,-69,46,14713.4584525423,1,1,1,0.999880,0.999880,0.000092,0.000028,high,ok,accepted_original_label
Test_002,Test_202,54,-51,14143.002232421,1,1,1,0.999997,0.999997,0.000002,0.000001,high,ok,accepted_original_label
Test_003,Test_203,-41,-60,14736.8051949966,1,1,1,0.999722,0.999722,0.000214,0.000064,high,ok,accepted_original_label
Test_004,Test_204,70,64,9777.93927832567,1,1,1,0.999999,0.999999,0.000001,0.000000,high,ok,accepted_original_label
Test_005,Test_205,28,0,8084.54253073211,3,3,3,0.999977,0.000002,0.000021,0.999977,high,ok,accepted_original_label
Test_006,Test_206,-88,-74,5930.51916355873,1,1,1,0.999992,0.999992,0.000006,0.000002,high,ok,accepted_original_label
Test_007,Test_207,64,84,7912.42649987792,1,1,1,0.999999,0.999999,0.000001,0.000000,high,ok,accepted_original_label
Test_008,Test_208,-76,80,6276.11273990952,1,1,1,0.999992,0.999992,0.000006,0.000002,high,ok,accepted_original_label
Test_009,Test_209,-5,73,10943.1777789456,2,2,2,0.999997,0.000002,0.999997,0.000001,high,ok,accepted_original_label
Test_010,Test_210,81,-19,11496.6517573558,2,2,2,0.999989,0.000009,0.999989,0.000002,high,ok,accepted_original_label
Test_011,Test_211,-54,25,12588.9903062784,2,2,2,1.000000,0.000000,1.000000,0.000000,high,ok,accepted_original_label
Test_012,Test_212,-85,-39,13228.4458713519,2,2,2,1.000000,0.000000,1.000000,0.000000,high,ok,accepted_original_label
Test_013,Test_213,6,-80,10757.822418172,2,2,2,0.999998,0.000001,0.999998,0.000000,high,ok,accepted_original_label
Test_014,Test_214,88,-56,9368.07450234547,1,1,1,0.999999,0.999999,0.000001,0.000000,high,ok,accepted_original_label
Test_015,Test_215,-15,-1,6249.06905466469,3,3,3,0.999977,0.000002,0.000021,0.999977,high,ok,accepted_original_label
Test_016,Test_216,-45,-46,15012.716397063,1,1,1,0.999907,0.999907,0.000071,0.000022,high,ok,accepted_original_label
Test_017,Test_217,71,1,10643.6393796586,2,2,2,0.999988,0.000010,0.999988,0.000002,high,ok,accepted_original_label
Test_018,Test_218,-14,24,8714.76689759948,3,3,3,0.999978,0.000002,0.000021,0.999978,high,ok,accepted_original_label
Test_019,Test_219,47,-76,12825.2384906136,1,1,1,0.999996,0.999996,0.000003,0.000001,high,ok,accepted_original_label
Test_020,Test_220,41,88,13172.0014559844,1,1,1,0.999814,0.999814,0.000160,0.000026,high,ok,accepted_original_label
Test_021,Test_221,17,-80,11604.4306745973,2,2,2,0.999999,0.000001,0.999999,0.000000,high,ok,accepted_original_label
