batch,source_test_id,global_test_id,case,theta1,theta2,pt,original_type,model_predicted_type,final_type,model_confidence,p_type1,p_type2,p_type3,confidence,data_quality,review_note,post_r2,post_nrmse,abs_quad_a,slope_drift,post_slope_ratio,source_csv
201-250,Test_001,Test_201,Case3,-69.0,46.0,14713.458452542332,1,1,1,0.9998800163850821,0.9998800163850821,9.169854599094068e-05,2.8285068927057934e-05,high,ok,accepted_original_label,0.9976275547756047,0.01389626994050524,0.18177868925563023,0.3188268177048427,0.7330697660735139,data/datasets/DD_new/201-250/csv/force_disp_Test_001.csv
201-250,Test_002,Test_202,Case3,54.0,-51.0,14143.002232421039,1,1,1,0.9999969759343269,0.9999969759343269,1.7204805433332576e-06,1.3035851298789109e-06,high,ok,accepted_original_label,0.999904120120163,0.0028297267793204045,0.03687753713593199,0.07010460820344383,0.9326122802649345,data/datasets/DD_new/201-250/csv/force_disp_Test_002.csv
201-250,Test_003,Test_203,Case3,-41.0,-60.0,14736.805194996587,1,1,1,0.9997215382309148,0.9997215382309148,0.00021423116731112974,6.423060177387251e-05,high,ok,accepted_original_label,0.9975158817950114,0.014204214245611472,0.18580133926581294,0.3287780023754964,0.7262611147234899,data/datasets/DD_new/201-250/csv/force_disp_Test_003.csv
201-250,Test_004,Test_204,Case3,70.0,64.0,9777.939278325674,1,1,1,0.9999990341363253,0.9999990341363253,5.436357971725516e-07,4.2222787754578014e-07,high,ok,accepted_original_label,0.9995003555172554,0.006409855034736103,0.08237354940275672,0.15664064911923523,0.8575512984511311,data/datasets/DD_new/201-250/csv/force_disp_Test_004.csv
201-250,Test_005,Test_205,Case3,28.0,0.0,8084.542530732115,3,3,3,0.999977122172171,1.664743255061921e-06,2.1213084573855638e-05,0.999977122172171,high,ok,accepted_original_label,0.9745980314530373,0.0445205068611331,0.5849623325271318,1.0227341508875676,0.36788235074790737,data/datasets/DD_new/201-250/csv/force_disp_Test_005.csv
201-250,Test_006,Test_206,Case3,-88.0,-74.0,5930.519163558732,1,1,1,0.9999916759457875,0.9999916759457875,5.8620896287363e-06,2.4619645836527217e-06,high,ok,accepted_original_label,0.9995971962067405,0.005759859575893301,0.07540092856018137,0.14144442300445773,0.8696464235718907,data/datasets/DD_new/201-250/csv/force_disp_Test_006.csv
201-250,Test_007,Test_207,Case3,64.0,84.0,7912.426499877921,1,1,1,0.9999989939889631,0.9999989939889631,5.762984431167238e-07,4.297125938057488e-07,high,ok,accepted_original_label,0.9995288193742577,0.006222133876115638,0.08088866801068498,0.1542485536012638,0.8591292879827763,data/datasets/DD_new/201-250/csv/force_disp_Test_007.csv
201-250,Test_008,Test_208,Case3,-76.0,80.0,6276.112739909518,1,1,1,0.9999923263128162,0.9999923263128162,5.8068035192936746e-06,1.8668836644078554e-06,high,ok,accepted_original_label,0.9997609834202779,0.0044591935053421555,0.05935979660319896,0.10106043365319155,0.9041960491070437,data/datasets/DD_new/201-250/csv/force_disp_Test_008.csv
201-250,Test_009,Test_209,Case3,-5.0,73.0,10943.177778945648,2,2,2,0.9999965532354527,2.3048762930052288e-06,0.9999965532354527,1.1418882541946907e-06,high,ok,accepted_original_label,0.9888257536783419,0.029922090620641887,0.3961576972549739,0.6692266095874271,0.518831985868152,data/datasets/DD_new/201-250/csv/force_disp_Test_009.csv
201-250,Test_010,Test_210,Case3,81.0,-19.0,11496.651757355809,2,2,2,0.9999891699677657,8.802582660941245e-06,0.9999891699677657,2.027449573201688e-06,high,ok,accepted_original_label,0.9922056764150671,0.02505129049443533,0.33206349134829305,0.5680006552466337,0.5726427417140298,data/datasets/DD_new/201-250/csv/force_disp_Test_010.csv
201-250,Test_011,Test_211,Case3,-54.0,25.0,12588.99030627842,2,2,2,0.9999996670375436,1.3584123928989155e-07,0.9999996670375436,1.9712121729646677e-07,high,ok,accepted_original_label,0.9943592411253727,0.021217567636484535,0.27859767738975144,0.5066581646648113,0.6121677509148299,data/datasets/DD_new/201-250/csv/force_disp_Test_011.csv
201-250,Test_012,Test_212,Case3,-85.0,-39.0,13228.445871351945,2,2,2,0.9999997350230843,1.0423038438181578e-07,0.9999997350230843,1.6074653117438812e-07,high,ok,accepted_original_label,0.9962438180258252,0.017337043739245446,0.22599990136266643,0.41976567785556346,0.666860340326626,data/datasets/DD_new/201-250/csv/force_disp_Test_012.csv
201-250,Test_013,Test_213,Case3,6.0,-80.0,10757.822418172016,2,2,2,0.9999984805575911,1.1753753612744536e-06,0.9999984805575911,3.4406704753289756e-07,high,ok,accepted_original_label,0.9884190093666961,0.030534185298764102,0.40502211352390743,0.6715746656537478,0.5162310434335541,data/datasets/DD_new/201-250/csv/force_disp_Test_013.csv
201-250,Test_014,Test_214,Case3,88.0,-56.0,9368.074502345467,1,1,1,0.9999990567353536,0.9999990567353536,5.292630573982332e-07,4.140015889731263e-07,high,ok,accepted_original_label,0.9992187339351574,0.007992247585371313,0.10382687002396611,0.19722370320379629,0.8242621756367167,data/datasets/DD_new/201-250/csv/force_disp_Test_014.csv
201-250,Test_015,Test_215,Case3,-15.0,-1.0,6249.069054664691,3,3,3,0.9999766017658546,2.185160611284893e-06,2.121307353417987e-05,0.9999766017658546,high,ok,accepted_original_label,0.9594187447951126,0.056071145214950484,0.7372154073425514,1.3271232970621112,0.26054165855123634,data/datasets/DD_new/201-250/csv/force_disp_Test_015.csv
201-250,Test_016,Test_216,Case3,-45.0,-46.0,15012.716397063046,1,1,1,0.9999067247966889,0.9999067247966889,7.107782480737169e-05,2.219737850394466e-05,high,ok,accepted_original_label,0.9996297278907539,0.005525815306821819,0.07160939792562868,0.13580183360394885,0.8748201820497028,data/datasets/DD_new/201-250/csv/force_disp_Test_016.csv
201-250,Test_017,Test_217,Case3,71.0,1.0,10643.639379658618,2,2,2,0.9999883441534277,9.552604819820044e-06,0.9999883441534277,2.1032417525189346e-06,high,ok,accepted_original_label,0.9885715088167721,0.030214499022933834,0.39962088257115264,0.6795361854503077,0.5143297813946001,data/datasets/DD_new/201-250/csv/force_disp_Test_017.csv
201-250,Test_018,Test_218,Case3,-14.0,24.0,8714.766897599478,3,3,3,0.9999776643837945,1.664744157725715e-06,2.0670872047690464e-05,0.9999776643837945,high,ok,accepted_original_label,0.976390182770262,0.043130391148672724,0.5682345989654981,0.9769838627582016,0.38309517866469533,data/datasets/DD_new/201-250/csv/force_disp_Test_018.csv
201-250,Test_019,Test_219,Case3,47.0,-76.0,12825.238490613583,1,1,1,0.9999958845684893,0.9999958845684893,3.2128839778012343e-06,9.02547532895627e-07,high,ok,accepted_original_label,0.9996094843208755,0.005716271803126875,0.0763825969284145,0.11749327352637527,0.8888592635765271,data/datasets/DD_new/201-250/csv/force_disp_Test_019.csv
201-250,Test_020,Test_220,Case3,41.0,88.0,13172.001455984398,1,1,1,0.9998138632754313,0.9998138632754313,0.00016012681256034504,2.600991200843378e-05,high,ok,accepted_original_label,0.9988733926669444,0.009726953589013338,0.12989891217700344,0.19394132310920723,0.8233815790095514,data/datasets/DD_new/201-250/csv/force_disp_Test_020.csv
201-250,Test_021,Test_221,Case3,17.0,-80.0,11604.430674597255,2,2,2,0.9999988548094966,8.85870167893376e-07,0.9999988548094966,2.593203356194692e-07,high,ok,accepted_original_label,0.991759070616014,0.025779580664861124,0.34196838162191,0.5788637724152026,0.5662347036124195,data/datasets/DD_new/201-250/csv/force_disp_Test_021.csv
201-250,Test_022,Test_222,Case3,28.0,-80.0,12774.077002477265,2,2,2,0.9999988548094966,8.85870167893376e-07,0.9999988548094966,2.593203356194692e-07,high,ok,accepted_original_label,0.9949420786409718,0.020201249786644875,0.26712463553544663,0.4686815430385806,0.6322948529390905,data/datasets/DD_new/201-250/csv/force_disp_Test_022.csv
201-250,Test_023,Test_223,Case3,31.0,71.0,13310.488571105028,2,2,2,0.9999870327314778,9.64903629346185e-06,0.9999870327314778,3.318232228769477e-06,high,ok,accepted_original_label,0.9957065664504694,0.018582505651542264,0.24449913548424215,0.43961250404327595,0.6520416341449891,data/datasets/DD_new/201-250/csv/force_disp_Test_023.csv
201-250,Test_024,Test_224,Case3,33.0,44.0,13663.76606943574,2,2,2,0.9990977927034393,0.0008208764814446247,0.9990977927034393,8.133081511610089e-05,high,ok,accepted_original_label,0.9962810856530223,0.01723399105684049,0.22359087722668927,0.4175288599835772,0.6694223768902018,data/datasets/DD_new/201-250/csv/force_disp_Test_024.csv
201-250,Test_025,Test_225,Case3,20.0,-27.0,9875.460779125502,2,2,2,0.9999986549703258,5.541395254387205e-07,0.9999986549703258,7.908901487946676e-07,high,ok,accepted_original_label,0.9839543050286808,0.03579363509183296,0.4732574971577811,0.79808455624839,0.4567805137719718,data/datasets/DD_new/201-250/csv/force_disp_Test_025.csv
201-250,Test_026,Test_226,Case3,-15.0,46.0,11216.497251565594,2,2,2,0.9999915616087429,6.638744784874841e-06,0.9999915616087429,1.7996464720471979e-06,high,ok,accepted_original_label,0.9899160778909157,0.02827986865651381,0.37233708117798386,0.6569275954099282,0.5288140829361108,data/datasets/DD_new/201-250/csv/force_disp_Test_026.csv
201-250,Test_027,Test_227,Case3,-72.0,0.0,10652.848465886913,2,2,2,0.9999996346028995,1.4907384893871834e-07,0.9999996346028995,2.1632325149183512e-07,high,ok,accepted_original_label,0.9885275080303474,0.03028793530850033,0.40071621859708967,0.679438900265062,0.514356089109148,data/datasets/DD_new/201-250/csv/force_disp_Test_027.csv
201-250,Test_028,Test_228,Case3,42.0,-83.0,13274.61560073786,1,1,1,0.999994803540009,0.999994803540009,4.3508984399371616e-06,8.455615510249292e-07,high,ok,accepted_original_label,0.9990799116039272,0.008795523898019878,0.11744100268361676,0.17296374650297508,0.840521424082492,data/datasets/DD_new/201-250/csv/force_disp_Test_028.csv
201-250,Test_029,Test_229,Case3,-83.0,61.0,8541.76355414934,1,1,1,0.9999861577557673,0.9999861577557673,1.1527005998896583e-05,2.3152382339434443e-06,high,ok,accepted_original_label,0.9992831533692426,0.00765431406669692,0.09881130624149723,0.19046608921161456,0.8299772835696297,data/datasets/DD_new/201-250/csv/force_disp_Test_029.csv
201-250,Test_030,Test_230,Case3,45.0,-74.0,13597.918917526575,1,1,1,0.999992256080278,0.999992256080278,6.48383867011255e-06,1.2600810518056962e-06,high,ok,accepted_original_label,0.9997119298729182,0.004991279179269531,0.06076188756488764,0.09543713825965196,0.949693296327218,data/datasets/DD_new/201-250/csv/force_disp_Test_030.csv
201-250,Test_031,Test_231,Case3,-27.0,38.0,12178.267462036712,2,2,2,0.9999897645777317,8.052524958438293e-06,0.9999897645777317,2.1828973099767562e-06,high,ok,accepted_original_label,0.9936054549196033,0.022605457582123022,0.2972580190779561,0.5310573315784988,0.5975608645080177,data/datasets/DD_new/201-250/csv/force_disp_Test_031.csv
201-250,Test_032,Test_232,Case3,-56.0,26.0,12806.645272403215,2,2,2,0.9999996808566413,1.3020335631600736e-07,0.9999996808566413,1.8894000251517778e-07,high,ok,accepted_original_label,0.9947354618279065,0.020517812679309015,0.26951191850511536,0.4893855486086378,0.6222216062379338,data/datasets/DD_new/201-250/csv/force_disp_Test_032.csv
201-250,Test_033,Test_233,Case3,52.0,-84.0,10522.919301695692,1,1,1,0.9999955277690595,0.9999955277690595,3.7445150460780236e-06,7.277158945230739e-07,high,ok,accepted_original_label,0.9993430393595032,0.007346831235116564,0.09646644833457259,0.17795170633755988,0.8390970034958595,data/datasets/DD_new/201-250/csv/force_disp_Test_033.csv
201-250,Test_034,Test_234,Case3,23.0,-68.0,12536.977169404388,2,2,2,0.9999995589857926,1.8169368922572242e-07,0.9999995589857926,2.5932051822691176e-07,high,ok,accepted_original_label,0.9938393745729679,0.022237494310196143,0.2937493120395424,0.5170739322713284,0.6037505615638579,data/datasets/DD_new/201-250/csv/force_disp_Test_034.csv
201-250,Test_035,Test_235,Case3,-63.0,2.0,10900.963455725785,2,2,2,0.9999996371316227,1.4804218645519933e-07,0.9999996371316227,2.1482619091101707e-07,high,ok,accepted_original_label,0.9889075347686522,0.02971885144672629,0.39239647339546474,0.6772373133175652,0.5167212075345966,data/datasets/DD_new/201-250/csv/force_disp_Test_035.csv
201-250,Test_036,Test_236,Case3,80.0,72.0,6800.7342949686545,1,1,1,0.9999993621179327,0.9999993621179327,3.567477523598807e-07,2.811343149827401e-07,high,ok,accepted_original_label,0.9995835035495224,0.0058566700576404744,0.07645585054516323,0.1436078709583544,0.8679198268728913,data/datasets/DD_new/201-250/csv/force_disp_Test_036.csv
201-250,Test_037,Test_237,Case3,11.0,46.0,10762.412190421956,2,2,2,0.9999867790949044,1.0771886606399533e-05,0.9999867790949044,2.449018489126891e-06,high,ok,accepted_original_label,0.9883897816538385,0.030305822639686425,0.39892282262688294,0.7010674692407295,0.5067397200579842,data/datasets/DD_new/201-250/csv/force_disp_Test_037.csv
201-250,Test_038,Test_238,Case3,75.0,55.0,10805.756997427523,1,1,1,0.9999991947748534,0.9999991947748534,4.5322049667373274e-07,3.5200464974173903e-07,high,ok,accepted_original_label,0.9994323215716377,0.006824165547328869,0.08824947016614988,0.16969213864123653,0.8466025685412507,data/datasets/DD_new/201-250/csv/force_disp_Test_038.csv
201-250,Test_039,Test_239,Case3,-31.0,-79.0,13044.4563544934,2,2,2,0.9999982196484123,1.3772034915036727e-06,0.9999982196484123,4.031480961621257e-07,high,ok,accepted_original_label,0.9954752912525622,0.019092421705738303,0.2517862618096823,0.4478352170324142,0.646171328941458,data/datasets/DD_new/201-250/csv/force_disp_Test_039.csv
201-250,Test_040,Test_240,Case3,2.0,-73.0,10949.033123462237,2,2,2,0.9999984805575911,1.1753753612744536e-06,0.9999984805575911,3.4406704753289756e-07,high,ok,accepted_original_label,0.9885667560712992,0.030272345022478626,0.40079701537807777,0.6754206711254735,0.5156204703102455,data/datasets/DD_new/201-250/csv/force_disp_Test_040.csv
