case,case_id,u3_folder,u3_bucket,test_id,theta1,theta2,Pt,pt_source,raw_csv_path,curve_csv,plot_path
Case2,2,2-2,2,001,65.0,19.0,8697.15,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_001.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_001.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_001_P1.png
Case2,2,2-2,2,005,-52.0,20.0,8715.42,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_005.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_005.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_005_P1.png
Case2,2,2-2,2,006,-15.0,-74.0,9021.54,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_006.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_006.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_006_P1.png
Case2,2,2-2,2,008,86.0,9.0,8202.0,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_008.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_008.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_008_P1.png
Case2,2,2-2,2,009,-63.0,21.0,8330.47,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_009.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_009.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_009_P1.png
Case2,2,2-2,2,011,-39.0,-9.0,7744.72,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_011.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_011.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_011_P1.png
Case2,2,2-2,2,012,-56.0,9.0,8310.0,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_012.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_012.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_012_P1.png
Case2,2,2-2,2,014,19.0,79.0,9183.61,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_014.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_014.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_014_P1.png
Case2,2,2-2,2,015,35.0,60.0,10652.0,transition_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_015.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_015.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_015_transition.png
Case2,2,2-2,2,017,-30.0,66.0,9424.95,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_017.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_017.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_017_P1.png
