Job_ID,theta1,theta2
Test_001.inp,65,19
Test_002.inp,40,-51
Test_003.inp,-44,65
Test_004.inp,49,48
Test_005.inp,-52,20
Test_006.inp,-15,-74
Test_007.inp,51,-83
Test_008.inp,86,9
Test_009.inp,-63,21
Test_010.inp,-74,83
Test_011.inp,-39,-9
Test_012.inp,-56,9
Test_013.inp,61,33
Test_014.inp,19,79
Test_015.inp,35,60
Test_016.inp,75,-61
Test_017.inp,-30,66
Test_018.inp,-53,31
Test_019.inp,-79,29
Test_020.inp,-2,48
Test_021.inp,-49,-67
Test_022.inp,43,-33
Test_023.inp,62,-67
Test_024.inp,30,75
Test_025.inp,80,-80
Test_026.inp,-81,73
Test_027.inp,54,-38
Test_028.inp,36,-31
Test_029.inp,52,-41
Test_030.inp,15,-12
Test_031.inp,-55,-62
Test_032.inp,-19,-7
Test_033.inp,-61,86
Test_034.inp,-43,-15
Test_035.inp,70,81
Test_036.inp,8,25
Test_037.inp,-85,67
Test_038.inp,-56,52
Test_039.inp,64,42
Test_040.inp,-27,-54
Test_041.inp,-2,-68
Test_042.inp,84,51
Test_043.inp,79,-71
Test_044.inp,59,-56
Test_045.inp,-18,-35
Test_046.inp,-76,-77
Test_047.inp,42,27
Test_048.inp,1,71
Test_049.inp,-37,22
Test_050.inp,-16,44
Test_051.inp,28,57
Test_052.inp,-79,34
Test_053.inp,3,87
Test_054.inp,-17,-44
Test_055.inp,44,-49
Test_056.inp,67,-19
Test_057.inp,2,74
Test_058.inp,82,19
Test_059.inp,14,3
Test_060.inp,44,-84
Test_061.inp,0,-52
Test_062.inp,33,26
Test_063.inp,-75,38
Test_064.inp,-20,55
Test_065.inp,72,31
Test_066.inp,75,72
Test_067.inp,-83,68
Test_068.inp,-26,-1
Test_069.inp,-36,57
Test_070.inp,-89,-51
Test_071.inp,-45,-29
Test_072.inp,-29,13
Test_073.inp,-22,46
Test_074.inp,-1,-8
Test_075.inp,-22,82
Test_076.inp,50,5
Test_077.inp,-64,20
Test_078.inp,29,-79
Test_079.inp,-67,39
Test_080.inp,-53,-64
Test_081.inp,-38,-72
Test_082.inp,85,48
Test_083.inp,-12,85
Test_084.inp,77,-48
Test_085.inp,45,75
Test_086.inp,-41,-54
Test_087.inp,-38,89
Test_088.inp,23,33
Test_089.inp,18,-35
Test_090.inp,-65,24
Test_091.inp,11,36
Test_092.inp,-38,-40
Test_093.inp,-70,-78
Test_094.inp,73,-55
Test_095.inp,68,-30
Test_096.inp,84,-52
Test_097.inp,-46,-23
Test_098.inp,-1,36
Test_099.inp,90,40
Test_100.inp,69,62
Test_101.inp,48,15
Test_102.inp,76,-24
Test_103.inp,66,14
Test_104.inp,83,3
Test_105.inp,89,-77
Test_106.inp,-12,43
Test_107.inp,69,8
Test_108.inp,46,-72
Test_109.inp,-69,17
Test_110.inp,-51,1
Test_111.inp,7,87
Test_112.inp,21,-8
Test_113.inp,35,-2
Test_114.inp,-35,-78
Test_115.inp,22,74
Test_116.inp,12,-85
Test_117.inp,-87,33
Test_118.inp,54,-88
Test_119.inp,31,-10
Test_120.inp,-58,-26
Test_121.inp,-50,14
Test_122.inp,20,-73
Test_123.inp,76,4
Test_124.inp,42,-66
Test_125.inp,-3,72
Test_126.inp,-8,18
Test_127.inp,-66,77
Test_128.inp,59,-70
Test_129.inp,24,11
Test_130.inp,-59,12
Test_131.inp,41,53
Test_132.inp,38,35
Test_133.inp,-21,37
Test_134.inp,-56,37
Test_135.inp,39,-76
Test_136.inp,8,-68
Test_137.inp,68,53
Test_138.inp,-28,-75
Test_139.inp,-52,-36
Test_140.inp,1,-3
Test_141.inp,79,49
Test_142.inp,56,10
Test_143.inp,39,-35
Test_144.inp,-86,-39
Test_145.inp,29,32
Test_146.inp,-41,-28
Test_147.inp,47,23
Test_148.inp,46,-62
Test_149.inp,24,-59
Test_150.inp,15,-47
Test_151.inp,-66,-82
Test_152.inp,-23,-66
Test_153.inp,50,-62
Test_154.inp,-65,-65
Test_155.inp,11,-32
Test_156.inp,70,-86
Test_157.inp,78,-26
Test_158.inp,17,-43
Test_159.inp,-9,-4
Test_160.inp,47,-13
Test_161.inp,-43,-45
Test_162.inp,-71,-11
Test_163.inp,-84,28
Test_164.inp,-16,-5
Test_165.inp,-5,10
Test_166.inp,-61,-3
Test_167.inp,-4,-6
Test_168.inp,-5,-1
Test_169.inp,58,-70
Test_170.inp,-35,-50
Test_171.inp,-6,-18
Test_172.inp,-68,5
Test_173.inp,82,-55
Test_174.inp,-76,51
Test_175.inp,-73,85
Test_176.inp,-36,30
Test_177.inp,25,-81
Test_178.inp,27,63
Test_179.inp,73,-44
Test_180.inp,-14,88
Test_181.inp,88,45
Test_182.inp,-14,42
Test_183.inp,37,63
Test_184.inp,83,43
Test_185.inp,-18,49
Test_186.inp,-54,1
Test_187.inp,-47,-37
Test_188.inp,-40,56
Test_189.inp,34,0
Test_190.inp,-80,40
Test_191.inp,-75,6
Test_192.inp,89,-86
Test_193.inp,48,41
Test_194.inp,-11,-16
Test_195.inp,12,71
Test_196.inp,-32,84
Test_197.inp,-80,-38
Test_198.inp,-82,-53
Test_199.inp,-45,82
Test_200.inp,88,-42
Test_201.inp,-73,-27
Test_202.inp,-24,-76
Test_203.inp,33,58
Test_204.inp,27,-22
Test_205.inp,-58,-50
Test_206.inp,4,90
Test_207.inp,19,-83
Test_208.inp,-87,47
Test_209.inp,58,-69
Test_210.inp,-10,23
Test_211.inp,55,-59
Test_212.inp,-63,54
Test_213.inp,67,-42
Test_214.inp,63,-14
Test_215.inp,9,13
Test_216.inp,-10,59
Test_217.inp,21,56
Test_218.inp,5,-15
Test_219.inp,-7,65
Test_220.inp,14,-23
Test_221.inp,74,-56
Test_222.inp,7,-80
Test_223.inp,-78,-48
Test_224.inp,-4,-43
Test_225.inp,2,-73
Test_226.inp,-42,80
Test_227.inp,-42,-6
Test_228.inp,60,-31
Test_229.inp,42,86
Test_230.inp,-44,-30
Test_231.inp,-69,24
Test_232.inp,-8,-27
Test_233.inp,61,-20
Test_234.inp,-49,-40
Test_235.inp,-62,7
Test_236.inp,16,-57
Test_237.inp,-32,66
Test_238.inp,64,-22
Test_239.inp,30,17
Test_240.inp,53,26
Test_241.inp,13,6
Test_242.inp,-31,60
Test_243.inp,-63,-63
Test_244.inp,85,-58
Test_245.inp,-34,-14
Test_246.inp,60,61
Test_247.inp,-83,78
Test_248.inp,6,27
Test_249.inp,6,16
