Test_ID,Theta1,Theta2,Pt
Test_001,65.0,19.0,11988.273309862185
Test_002,40.0,-51.0,15052.228450080065
Test_003,-44.0,65.0,14818.186070796533
Test_004,49.0,48.0,14693.720662197007
Test_005,-52.0,20.0,11943.90835524777
Test_006,-15.0,-74.0,11635.172131671663
Test_007,51.0,-83.0,10865.558341429416
Test_008,86.0,9.0,10574.803241208849
Test_009,-63.0,21.0,12168.844063242008
Test_010,-74.0,83.0,6295.607982159507
Test_011,-39.0,-9.0,9746.98073434574
Test_012,-56.0,9.0,11094.834911977843
Test_013,61.0,33.0,13595.622850251268
Test_014,19.0,79.0,11829.054848846816
Test_015,35.0,60.0,14024.771952625106
Test_016,75.0,-61.0,9519.381901874129
Test_017,-30.0,66.0,13402.152683306569
Test_018,-53.0,31.0,13413.734641785348
Test_019,-79.0,29.0,12601.560060144446
Test_020,-2.0,48.0,10593.665331196125
Test_021,-49.0,-67.0,13553.66089573851
Test_022,43.0,-33.0,13491.731567937772
Test_023,62.0,-67.0,10932.889357253101
Test_024,30.0,75.0,13105.119361010327
Test_025,80.0,-80.0,5746.097823470766
Test_026,-81.0,73.0,6540.120651023177
Test_027,54.0,-38.0,14412.772599214299
Test_028,36.0,-31.0,12623.057941762885
Test_029,52.0,-41.0,15012.982904839475
Test_030,15.0,-12.0,7020.432569902964
Test_031,-55.0,-62.0,12764.484876684835
Test_032,-19.0,-7.0,7140.964012001762
Test_033,-61.0,86.0,8409.449189360304
Test_034,-43.0,-15.0,10646.46462321749
Test_035,70.0,81.0,7087.412201337842
Test_036,8.0,25.0,8217.469128300661
Test_037,-85.0,67.0,7226.911281560884
Test_038,-56.0,52.0,13860.55129479059
Test_039,64.0,42.0,14491.52200266052
Test_040,-27.0,-54.0,13078.590636345203
Test_041,-2.0,-68.0,11074.474158349432
Test_042,84.0,51.0,10713.480951123642
Test_043,79.0,-71.0,7096.615013714808
Test_044,59.0,-56.0,13024.861576587024
Test_045,-18.0,-35.0,10432.184194450689
Test_046,-76.0,-77.0,6598.35015844199
Test_047,42.0,27.0,12223.381271603408
Test_048,1.0,71.0,10960.779644759927
Test_049,-37.0,22.0,11045.073972555167
Test_050,-16.0,44.0,11181.14960735914
Test_051,28.0,57.0,13215.038705418105
Test_052,-79.0,34.0,13109.390760193404
Test_053,3.0,87.0,10406.198265715833
Test_054,-17.0,-44.0,11239.307244868127
Test_055,44.0,-49.0,16005.622493587713
Test_056,67.0,-19.0,11964.247802626565
Test_057,2.0,74.0,10810.032146849455
Test_058,82.0,19.0,11508.546246159087
Test_059,14.0,3.0,6303.888286270038
Test_060,44.0,-84.0,12693.792463804075
Test_061,0.0,-52.0,10747.348156171634
Test_062,33.0,26.0,11343.95766108465
Test_063,-75.0,38.0,13607.380684629365
Test_064,-20.0,55.0,12296.523404889153
Test_065,72.0,31.0,13021.43165125064
Test_066,75.0,72.0,7479.802322752148
Test_067,-83.0,68.0,7195.118376022297
Test_068,-26.0,-1.0,7877.9124070931075
Test_069,-36.0,57.0,14249.847774945498
Test_070,-89.0,-51.0,10504.102607641473
Test_071,-45.0,-29.0,12772.716655491291
Test_072,-29.0,13.0,8886.921019566236
Test_073,-22.0,46.0,12017.700957951725
Test_074,-1.0,-8.0,5717.896997311822
Test_075,-22.0,82.0,12100.792930238144
Test_076,50.0,5.0,10555.115033155858
Test_077,-64.0,20.0,12109.757234656154
Test_078,29.0,-79.0,12885.036977695017
Test_079,-67.0,39.0,14074.434174198168
Test_080,-53.0,-64.0,13224.303602320588
Test_081,-38.0,-72.0,13857.98068510329
Test_082,85.0,48.0,11429.82652206051
Test_083,-12.0,85.0,10984.18111415027
Test_084,77.0,-48.0,12371.519121804811
Test_085,45.0,75.0,13463.153623591115
Test_086,-41.0,-54.0,15044.080915450186
Test_087,-38.0,89.0,13387.461222583519
Test_088,23.0,33.0,10958.493064528477
Test_089,18.0,-35.0,10425.081923587366
Test_090,-65.0,24.0,12482.499190538194
Test_091,11.0,36.0,9775.298324839037
