Test_ID,Theta1,Theta2,Pt
Test_001,65.0,19.0,19701.10650899933
Test_002,40.0,-51.0,15564.192522589261
Test_003,-44.0,65.0,15263.321046334091
Test_004,49.0,48.0,14605.531869322482
Test_005,-52.0,20.0,19521.12811538156
Test_006,-15.0,-74.0,21416.816488874498
Test_007,51.0,-83.0,11044.194985803253
Test_008,86.0,9.0,21499.399687200803
Test_009,-63.0,21.0,19848.72024440584
Test_010,-74.0,83.0,6417.199673460506
Test_011,-39.0,-9.0,21782.93383721275
Test_012,-56.0,9.0,21623.457561322022
Test_013,61.0,33.0,16488.202908673717
Test_014,19.0,79.0,20609.78711097851
Test_015,35.0,60.0,16099.168102698402
Test_016,75.0,-61.0,9606.218223163476
Test_017,-30.0,66.0,17744.618846286707
Test_018,-53.0,31.0,16509.679046427784
Test_019,-79.0,29.0,18071.218289483906
Test_020,-2.0,48.0,22328.79345310121
Test_021,-49.0,-67.0,13167.318747343248
Test_022,43.0,-33.0,15643.776629233736
Test_023,62.0,-67.0,10919.917889467906
Test_024,30.0,75.0,17431.666497748745
Test_025,80.0,-80.0,5974.146129044565
Test_026,-81.0,73.0,6741.47187366278
Test_027,54.0,-38.0,15434.554916393454
Test_028,36.0,-31.0,16700.334618625035
Test_029,52.0,-41.0,15305.02527292944
Test_030,15.0,-12.0,17924.24390293732
Test_031,-55.0,-62.0,12458.905489669378
Test_032,-19.0,-7.0,18193.504559718982
Test_033,-61.0,86.0,8603.9325816845
Test_034,-43.0,-15.0,20448.84284785929
Test_035,70.0,81.0,7229.269718547071
Test_036,8.0,25.0,19860.29223620826
Test_037,-85.0,67.0,7472.906084422283
Test_038,-56.0,52.0,13793.266474940921
Test_039,64.0,42.0,15153.472420711814
Test_040,-27.0,-54.0,17787.812425229233
Test_041,-2.0,-68.0,22358.117936279017
Test_042,84.0,51.0,10860.970880970019
Test_043,79.0,-71.0,7263.017948467875
Test_044,59.0,-56.0,13020.757742860987
Test_045,-18.0,-35.0,19995.27729445088
Test_046,-76.0,-77.0,6767.080412473619
Test_047,42.0,27.0,16941.948790650924
Test_048,1.0,71.0,22333.915636394122
Test_049,-37.0,22.0,18894.133918603293
Test_050,-16.0,44.0,20095.47310657902
Test_051,28.0,57.0,17211.139894556734
Test_052,-79.0,34.0,16823.46663263932
Test_053,3.0,87.0,22215.838817931355
Test_054,-17.0,-44.0,19802.670513986137
Test_055,44.0,-49.0,16003.53308045265
Test_056,67.0,-19.0,20518.220862411847
Test_057,2.0,74.0,22293.436635106573
Test_058,82.0,19.0,20273.166907762425
Test_059,14.0,3.0,17403.926771403785
Test_060,44.0,-84.0,13059.554858234635
Test_061,0.0,-52.0,22390.338402721325
Test_062,33.0,26.0,17848.77388656686
Test_063,-75.0,38.0,15942.54751799103
Test_064,-20.0,55.0,19917.952698060064
Test_065,72.0,31.0,17410.69061531813
Test_066,75.0,72.0,7574.793974005972
Test_067,-83.0,68.0,7376.135864080732
Test_068,-26.0,-1.0,19576.793491775054
Test_069,-36.0,57.0,15953.533601743304
Test_070,-89.0,-51.0,10741.93579880972
Test_071,-45.0,-29.0,16187.949974005638
Test_072,-29.0,13.0,20883.60514859316
Test_073,-22.0,46.0,18362.65095522395
Test_074,-1.0,-8.0,16957.129742286947
Test_075,-22.0,82.0,19855.135779360873
Test_076,50.0,5.0,21909.575475465925
Test_077,-64.0,20.0,19512.41367375843
Test_078,29.0,-79.0,18169.39831242523
Test_079,-67.0,39.0,15675.109831677206
Test_080,-53.0,-64.0,13084.614568148081
Test_081,-38.0,-72.0,16101.298190734396
Test_082,85.0,48.0,11736.197462441638
Test_083,-12.0,85.0,21326.424718647988
Test_084,77.0,-48.0,12337.943110434046
Test_085,45.0,75.0,12589.587008838233
Test_086,-41.0,-54.0,15341.482645335416
Test_087,-38.0,89.0,16189.267634561245
Test_088,23.0,33.0,18608.451507404636
Test_089,18.0,-35.0,20032.379657876594
Test_090,-65.0,24.0,18553.21629145018
Test_091,11.0,36.0,21767.84320171658
Test_092,-38.0,-40.0,16099.213392153637
Test_093,-70.0,-78.0,7555.890633922434
Test_094,73.0,-55.0,11135.612813237853
Test_095,68.0,-30.0,17661.643455896938
Test_096,84.0,-52.0,10662.045194364207
Test_097,-46.0,-23.0,17833.473577146986
Test_098,-1.0,36.0,21625.61055912366
Test_099,90.0,40.0,12361.552384112701
Test_100,69.0,62.0,10290.846377699652
Test_101,48.0,15.0,20115.567029852402
Test_102,76.0,-24.0,18748.451080897223
Test_103,66.0,14.0,20779.429796308756
Test_104,83.0,3.0,22013.511892918705
Test_105,89.0,-77.0,5739.6752127169875
Test_106,-12.0,43.0,21892.502054630153
Test_107,69.0,8.0,21693.39061803584
Test_108,46.0,-72.0,13003.628983356539
Test_109,-69.0,17.0,20635.671601532737
Test_110,-51.0,1.0,22182.1381511646
Test_111,7.0,87.0,21920.621936815387
Test_112,21.0,-8.0,19054.511313868734
Test_113,35.0,-2.0,21509.802299412044
Test_114,-35.0,-78.0,16760.714683028644
Test_115,22.0,74.0,19318.37365424374
Test_116,12.0,-85.0,21286.86687496217
Test_117,-87.0,33.0,17047.571877581824
Test_118,54.0,-88.0,10093.622702080575
Test_119,31.0,-10.0,21142.379614046542
Test_120,-58.0,-26.0,17662.200542907973
Test_121,-50.0,14.0,20916.586085929557
Test_122,20.0,-73.0,20516.942125553487
Test_123,76.0,4.0,21993.004758074017
Test_124,42.0,-66.0,15459.117617288746
Test_125,-3.0,72.0,22280.06196581888
Test_126,-8.0,18.0,17930.849905103307
Test_127,-66.0,77.0,8433.232191979947
Test_128,59.0,-70.0,10901.028508593796
Test_129,24.0,11.0,19751.16392023655
Test_130,-59.0,12.0,21543.467950390856
Test_131,41.0,53.0,15325.026379625706
Test_132,38.0,35.0,15742.111371218838
Test_133,-21.0,37.0,18849.98592227573
Test_134,-56.0,37.0,15597.112008826294
Test_135,39.0,-76.0,16006.88943855908
