geometry_id,L_mm,W_mm,t_mm,D_mm,R_mm,gate_type,gate_size (Width)_mm,gate_size (Hieght)_mm,
G01,154.01,97.42,2.207,17.61,8.805,edge_gate,10,1.5,
G02,150.49,93.89,1.731,23.81,11.905,edge_gate,10,1.5,
G03,98.21,80.47,2.992,23.3,11.65,edge_gate,10,1.5,
G04,144.51,74.05,1.67,31.47,15.735,edge_gate,10,1.5,
G05,154.8,79.77,1.77,26.99,13.495,edge_gate,10,1.5,
G06,139.44,54.42,2.838,12.72,6.36,edge_gate,10,1.5,
G07,134.13,94.3,2.23,33.65,16.825,edge_gate,10,1.5,
G08,125.53,64.97,1.543,16.32,8.16,edge_gate,10,1.5,
G09,123.41,41.38,1.844,18.06,9.03,edge_gate,10,1.5,
G10,127.42,76.56,1.898,18.68,9.34,edge_gate,10,1.5,
G11,120.77,70.98,2.661,146.28,73.14,edge_gate,10,1.5,
G12,157.58,69.85,1.815,13.79,6.895,edge_gate,10,1.5,
G13,146.28,98.89,1.624,26.63,13.315,edge_gate,10,1.5,
G14,81.77,51.71,2.053,16.9,8.45,edge_gate,10,1.5,
G15,134.81,68.33,1.643,30.92,15.46,edge_gate,10,1.5,
G16,97,49.19,2.621,24.2,12.1,edge_gate,10,1.5,
G17,124.67,87.75,2.564,28.28,14.14,edge_gate,10,1.5,
G18,95.29,85.57,2.812,27.38,13.69,edge_gate,10,1.5,
G19,117.43,88.08,2.931,11.28,5.64,edge_gate,10,1.5,
G20,110.96,77.09,2.497,22.39,11.195,edge_gate,10,1.5,
G21,147.07,78.84,1.976,32.05,16.025,edge_gate,10,1.5,
G22,88.94,67.98,2.786,22.88,11.44,edge_gate,10,1.5,
G23,153.05,53.28,2.865,21.81,10.905,edge_gate,10,1.5,
G24,141.81,40.03,2.465,11.07,5.535,edge_gate,10,1.5,
G25,130.23,99.52,2.583,14.94,7.47,edge_gate,10,1.5,
G26,140.68,73.93,2.03,18.86,9.43,edge_gate,10,1.5,
G27,114.23,58.95,1.577,25.32,12.66,edge_gate,10,1.5,
G28,101.77,86.35,2.022,33.95,16.975,edge_gate,10,1.5,
G29,110.53,75.39,1.965,25.96,12.98,edge_gate,10,1.5,
G30,106.22,62.96,1.784,28.35,14.175,edge_gate,10,1.5,
