case_id,family,geometry_id,process_id,L_mm,W_mm,t_mm,D_mm,R_mm,gate_type,gate_size_width_mm,gate_size_height_mm,melt_temp_C,mold_temp_C,injection_time_s,packing_pressure_MPa,packing_time_s
S-V01R-001,V01_filling_refine,G43,P21,160,65,1.60,18,9,edge_gate,10,1.5,235,55,0.80,80,4.0
S-V01R-002,V01_filling_refine,G43,P22,160,65,1.60,18,9,edge_gate,10,1.5,238,58,0.90,85,4.5
S-V01R-003,V01_filling_refine,G43,P23,160,65,1.60,18,9,edge_gate,10,1.5,240,60,1.00,90,5.0
S-V01R-004,V01_filling_refine,G43,P24,160,65,1.60,18,9,edge_gate,10,1.5,242,63,1.10,95,5.5
S-V01R-005,V01_filling_refine,G43,P25,160,65,1.60,18,9,edge_gate,10,1.5,245,65,1.20,88,6.0
S-V01R-006,V01_filling_refine,G44,P21,170,70,1.75,22,11,edge_gate,10,1.5,235,55,0.80,80,4.0
S-V01R-007,V01_filling_refine,G44,P22,170,70,1.75,22,11,edge_gate,10,1.5,238,58,0.90,85,4.5
S-V01R-008,V01_filling_refine,G44,P23,170,70,1.75,22,11,edge_gate,10,1.5,240,60,1.00,90,5.0
S-V01R-009,V01_filling_refine,G44,P24,170,70,1.75,22,11,edge_gate,10,1.5,242,63,1.10,95,5.5
S-V01R-010,V01_filling_refine,G44,P25,170,70,1.75,22,11,edge_gate,10,1.5,245,65,1.20,88,6.0
S-V01R-011,V01_filling_refine,G45,P21,180,75,1.90,24,12,edge_gate,10,1.5,235,55,0.80,80,4.0
S-V01R-012,V01_filling_refine,G45,P22,180,75,1.90,24,12,edge_gate,10,1.5,238,58,0.90,85,4.5
S-V01R-013,V01_filling_refine,G45,P23,180,75,1.90,24,12,edge_gate,10,1.5,240,60,1.00,90,5.0
S-V01R-014,V01_filling_refine,G45,P24,180,75,1.90,24,12,edge_gate,10,1.5,242,63,1.10,95,5.5
S-V01R-015,V01_filling_refine,G45,P25,180,75,1.90,24,12,edge_gate,10,1.5,245,65,1.20,88,6.0
S-V01R-016,V01_filling_refine,G46,P21,190,80,2.05,26,13,edge_gate,10,1.5,235,55,0.80,80,4.0
S-V01R-017,V01_filling_refine,G46,P22,190,80,2.05,26,13,edge_gate,10,1.5,238,58,0.90,85,4.5
S-V01R-018,V01_filling_refine,G46,P23,190,80,2.05,26,13,edge_gate,10,1.5,240,60,1.00,90,5.0
S-V01R-019,V01_filling_refine,G46,P24,190,80,2.05,26,13,edge_gate,10,1.5,242,63,1.10,95,5.5
S-V01R-020,V01_filling_refine,G46,P25,190,80,2.05,26,13,edge_gate,10,1.5,245,65,1.20,88,6.0
S-V01R-021,V01_filling_refine,G47,P21,175,68,2.10,20,10,edge_gate,10,1.5,235,55,0.80,80,4.0
S-V01R-022,V01_filling_refine,G47,P22,175,68,2.10,20,10,edge_gate,10,1.5,238,58,0.90,85,4.5
S-V01R-023,V01_filling_refine,G47,P23,175,68,2.10,20,10,edge_gate,10,1.5,240,60,1.00,90,5.0
S-V01R-024,V01_filling_refine,G47,P24,175,68,2.10,20,10,edge_gate,10,1.5,242,63,1.10,95,5.5
S-V01R-025,V01_filling_refine,G47,P25,175,68,2.10,20,10,edge_gate,10,1.5,245,65,1.20,88,6.0
S-V02R-001,V02_sprue_refine,G48,P26,120,65,1.20,18,9,edge_gate,10,1.5,235,60,0.70,80,4.0
S-V02R-002,V02_sprue_refine,G48,P27,120,65,1.20,18,9,edge_gate,10,1.5,240,65,0.90,88,4.8
S-V02R-003,V02_sprue_refine,G48,P28,120,65,1.20,18,9,edge_gate,10,1.5,245,70,1.10,95,5.5
S-V02R-004,V02_sprue_refine,G48,P29,120,65,1.20,18,9,edge_gate,10,1.5,250,75,1.40,100,6.0
S-V02R-005,V02_sprue_refine,G48,P30,120,65,1.20,18,9,edge_gate,10,1.5,238,58,1.60,92,5.2
S-V02R-006,V02_sprue_refine,G49,P26,135,58,1.35,21,10.5,edge_gate,10,1.5,235,60,0.70,80,4.0
S-V02R-007,V02_sprue_refine,G49,P27,135,58,1.35,21,10.5,edge_gate,10,1.5,240,65,0.90,88,4.8
S-V02R-008,V02_sprue_refine,G49,P28,135,58,1.35,21,10.5,edge_gate,10,1.5,245,70,1.10,95,5.5
S-V02R-009,V02_sprue_refine,G49,P29,135,58,1.35,21,10.5,edge_gate,10,1.5,250,75,1.40,100,6.0
S-V02R-010,V02_sprue_refine,G49,P30,135,58,1.35,21,10.5,edge_gate,10,1.5,238,58,1.60,92,5.2
S-V02R-011,V02_sprue_refine,G50,P26,155,55,1.50,23,11.5,edge_gate,10,1.5,235,60,0.70,80,4.0
S-V02R-012,V02_sprue_refine,G50,P27,155,55,1.50,23,11.5,edge_gate,10,1.5,240,65,0.90,88,4.8
S-V02R-013,V02_sprue_refine,G50,P28,155,55,1.50,23,11.5,edge_gate,10,1.5,245,70,1.10,95,5.5
S-V02R-014,V02_sprue_refine,G50,P29,155,55,1.50,23,11.5,edge_gate,10,1.5,250,75,1.40,100,6.0
S-V02R-015,V02_sprue_refine,G50,P30,155,55,1.50,23,11.5,edge_gate,10,1.5,238,58,1.60,92,5.2
S-V02R-016,V02_sprue_refine,G51,P26,170,50,1.70,25,12.5,edge_gate,10,1.5,235,60,0.70,80,4.0
S-V02R-017,V02_sprue_refine,G51,P27,170,50,1.70,25,12.5,edge_gate,10,1.5,240,65,0.90,88,4.8
S-V02R-018,V02_sprue_refine,G51,P28,170,50,1.70,25,12.5,edge_gate,10,1.5,245,70,1.10,95,5.5
S-V02R-019,V02_sprue_refine,G51,P29,170,50,1.70,25,12.5,edge_gate,10,1.5,250,75,1.40,100,6.0
S-V02R-020,V02_sprue_refine,G51,P30,170,50,1.70,25,12.5,edge_gate,10,1.5,238,58,1.60,92,5.2
S-BRIDGE-001,bridge_mid_range,G52,P31,110,70,1.80,20,10,edge_gate,10,1.5,230,50,0.80,70,3.5
S-BRIDGE-002,bridge_mid_range,G52,P32,110,70,1.80,20,10,edge_gate,10,1.5,235,55,0.95,75,4.2
S-BRIDGE-003,bridge_mid_range,G52,P33,110,70,1.80,20,10,edge_gate,10,1.5,240,60,1.10,82,5.0
S-BRIDGE-004,bridge_mid_range,G52,P34,110,70,1.80,20,10,edge_gate,10,1.5,245,65,1.30,90,5.8
S-BRIDGE-005,bridge_mid_range,G52,P35,110,70,1.80,20,10,edge_gate,10,1.5,238,58,1.20,86,4.6
S-BRIDGE-006,bridge_mid_range,G53,P31,145,85,2.50,26,13,edge_gate,10,1.5,230,50,0.80,70,3.5
S-BRIDGE-007,bridge_mid_range,G53,P32,145,85,2.50,26,13,edge_gate,10,1.5,235,55,0.95,75,4.2
S-BRIDGE-008,bridge_mid_range,G53,P33,145,85,2.50,26,13,edge_gate,10,1.5,240,60,1.10,82,5.0
S-BRIDGE-009,bridge_mid_range,G53,P34,145,85,2.50,26,13,edge_gate,10,1.5,245,65,1.30,90,5.8
S-BRIDGE-010,bridge_mid_range,G53,P35,145,85,2.50,26,13,edge_gate,10,1.5,238,58,1.20,86,4.6
