case_id,family,geometry_id,process_id,L_mm,W_mm,t_mm,D_mm,R_mm,gate_type,gate_size_width_mm,gate_size_height_mm,melt_temp_C,mold_temp_C,injection_time_s,packing_pressure_MPa,packing_time_s
S-V02-001,V02_long_thin,G31,P11,145,60,1.45,20,10,edge_gate,10,1.5,224,44,1.35,80,4.5
S-V02-002,V02_long_thin,G31,P12,145,60,1.45,20,10,edge_gate,10,1.5,228,50,1.55,88,5.2
S-V02-003,V02_long_thin,G31,P13,145,60,1.45,20,10,edge_gate,10,1.5,232,42,1.75,92,5.8
S-V02-004,V02_long_thin,G31,P14,145,60,1.45,20,10,edge_gate,10,1.5,220,55,1.25,76,4.2
S-V02-005,V02_long_thin,G31,P15,145,60,1.45,20,10,edge_gate,10,1.5,235,47,1.45,84,5.5
S-V02-006,V02_long_thin,G32,P11,155,55,1.60,22.5,11.25,edge_gate,10,1.5,224,44,1.35,80,4.5
S-V02-007,V02_long_thin,G32,P12,155,55,1.60,22.5,11.25,edge_gate,10,1.5,228,50,1.55,88,5.2
S-V02-008,V02_long_thin,G32,P13,155,55,1.60,22.5,11.25,edge_gate,10,1.5,232,42,1.75,92,5.8
S-V02-009,V02_long_thin,G32,P14,155,55,1.60,22.5,11.25,edge_gate,10,1.5,220,55,1.25,76,4.2
S-V02-010,V02_long_thin,G32,P15,155,55,1.60,22.5,11.25,edge_gate,10,1.5,235,47,1.45,84,5.5
S-V02-011,V02_long_thin,G33,P11,165,50,1.35,18.5,9.25,edge_gate,10,1.5,224,44,1.35,80,4.5
S-V02-012,V02_long_thin,G33,P12,165,50,1.35,18.5,9.25,edge_gate,10,1.5,228,50,1.55,88,5.2
S-V02-013,V02_long_thin,G33,P13,165,50,1.35,18.5,9.25,edge_gate,10,1.5,232,42,1.75,92,5.8
S-V02-014,V02_long_thin,G33,P14,165,50,1.35,18.5,9.25,edge_gate,10,1.5,220,55,1.25,76,4.2
S-V02-015,V02_long_thin,G33,P15,165,50,1.35,18.5,9.25,edge_gate,10,1.5,235,47,1.45,84,5.5
