geometry_id,family,L_mm,W_mm,t_mm,D_mm,R_mm,gate_type,gate_size (Width)_mm,gate_size (Hieght)_mm
G31,V02_long_thin,145,60,1.45,20,10,edge_gate,10,1.5
G32,V02_long_thin,155,55,1.60,22.5,11.25,edge_gate,10,1.5
G33,V02_long_thin,165,50,1.35,18.5,9.25,edge_gate,10,1.5
G34,V02_long_thin,150,62,1.75,24.5,12.25,edge_gate,10,1.5
G35,V03_short_thick,85,75,2.60,19,9.5,edge_gate,10,1.5
G36,V03_short_thick,90,85,2.80,23,11.5,edge_gate,10,1.5
G37,V03_short_thick,100,80,3.00,22,11,edge_gate,10,1.5
G38,V03_short_thick,105,90,2.70,25,12.5,edge_gate,10,1.5
G39,V03_short_thick,82,92,3.30,20,10,edge_gate,10,1.5
G40,V03_short_thick,110,70,2.50,18,9,edge_gate,10,1.5
G41,V03_short_thick,95,88,3.50,26,13,edge_gate,10,1.5
G42,V03_short_thick,102,78,3.10,24,12,edge_gate,10,1.5
