File= Filling_Pressure.csv
Min = 0.000e+00
Max = 2.709e+01
Avg = 9.572e+00
SD = 6.925e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,2.709e+00,1.355e+00,365824,2.231e+01
2,2.709e+00,5.419e+00,4.064e+00,247780,1.562e+01
3,5.419e+00,8.128e+00,6.773e+00,164529,1.033e+01
4,8.128e+00,1.084e+01,9.483e+00,135320,8.353e+00
5,1.084e+01,1.355e+01,1.219e+01,160912,1.013e+01
6,1.355e+01,1.626e+01,1.490e+01,163088,1.020e+01
7,1.626e+01,1.897e+01,1.761e+01,200837,1.236e+01
8,1.897e+01,2.168e+01,2.032e+01,122430,7.539e+00
9,2.168e+01,2.438e+01,2.303e+01,48079,2.675e+00
10,2.438e+01,2.709e+01,2.574e+01,28157,4.855e-01
