File= Filling_Pressure.csv
Min = 0.000e+00
Max = 2.714e+01
Avg = 9.434e+00
SD = 6.502e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,2.714e+00,1.357e+00,308756,1.875e+01
2,2.714e+00,5.427e+00,4.070e+00,263956,1.658e+01
3,5.427e+00,8.141e+00,6.784e+00,218556,1.374e+01
4,8.141e+00,1.085e+01,9.497e+00,160985,9.972e+00
5,1.085e+01,1.357e+01,1.221e+01,168753,1.062e+01
6,1.357e+01,1.628e+01,1.492e+01,161446,1.007e+01
7,1.628e+01,1.899e+01,1.764e+01,193484,1.188e+01
8,1.899e+01,2.171e+01,2.035e+01,94676,5.822e+00
9,2.171e+01,2.442e+01,2.306e+01,46566,2.238e+00
10,2.442e+01,2.714e+01,2.578e+01,19778,3.235e-01
