File= Filling_Pressure.csv
Min = 0.000e+00
Max = 2.828e+01
Avg = 1.061e+01
SD = 7.641e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,2.828e+00,1.414e+00,251504,2.272e+01
2,2.828e+00,5.655e+00,4.242e+00,146205,1.350e+01
3,5.655e+00,8.483e+00,7.069e+00,108318,9.888e+00
4,8.483e+00,1.131e+01,9.897e+00,81713,7.412e+00
5,1.131e+01,1.414e+01,1.272e+01,98417,8.957e+00
6,1.414e+01,1.697e+01,1.555e+01,113966,1.051e+01
7,1.697e+01,1.979e+01,1.838e+01,120243,1.101e+01
8,1.979e+01,2.262e+01,2.121e+01,122530,1.109e+01
9,2.262e+01,2.545e+01,2.404e+01,44734,3.915e+00
10,2.545e+01,2.828e+01,2.686e+01,32982,9.969e-01
