File = D:\Moldex3D\02. AI\Only CAE Surrogate\Report\XYPlot\G02_P01-10_SPRUE PRESSURE.csv

Title,Packing-Sprue Pressure
,,,,,,,,,,,,,,,,,,,,
Time (sec),Run 2 : G02_P01 (MPa),Time (sec),Run 20 : G02_P02 (MPa),Time (sec),Run 21 : G02_P03 (MPa),Time (sec),Run 22 : G02_P04 (MPa),Time (sec),Run 23 : G02_P05 (MPa),Time (sec),Run 24 : G02_P06 (MPa),Time (sec),Run 25 : G02_P07 (MPa),Time (sec),Run 26 : G02_P08 (MPa),Time (sec),Run 27 : G02_P09 (MPa),Time (sec),Run 28 : G02_P10 (MPa),
0.0022972,0.000934911,0.00113558,0.000774729,0.000584067,0.000625694,0.00143971,0.00164977,0.00194937,0.00123733,0.000989565,0.00189142,0.0020433,0.00115374,0.00066684,0.000592414,0.00176615,0.00113022,0.00124998,0.000651723,
0.00594328,0.0013272,0.00328595,0.000226393,0.00175106,0.000698786,0.00388183,0.000180523,0.00512682,0.00171384,0.00273742,1.69209e-06,0.00534995,0.00159851,0.00198916,5.06296e-05,0.00467723,2.79686e-06,0.00359281,4.68502e-05,
0.009235,0.066342,0.00529206,0.0149015,0.00294246,0.0129436,0.00639676,0.0290466,0.00808714,0.00637189,0.00463033,0.0115229,0.00840346,0.000646774,0.00332024,0.0146234,0.00758399,0.00400844,0.00574894,0.0291744,
0.0125881,0.452856,0.00736661,0.128916,0.0040911,0.00159897,0.00885069,0.429834,0.0109209,0.483956,0.00625603,0.155424,0.0114665,0.438634,0.00457201,0.00552217,0.0102665,0.43376,0.00791707,0.281441,
0.0150679,1.1136,0.00905273,0.818905,0.00528549,0.363034,0.0108684,1.01571,0.0131249,0.849544,0.00823949,0.798099,0.0137607,0.81103,0.00581504,0.605877,0.0123593,0.747317,0.00981288,0.915063,
0.0173381,1.42292,0.0103881,1.27585,0.00648923,1.34487,0.0126521,1.92541,0.0150313,1.65071,0.00957649,1.86304,0.015554,1.59154,0.00708692,1.4991,0.0141504,1.39967,0.0113342,1.68385,
0.0181491,1.28209,0.0114349,1.64394,0.00752899,2.2812,0.0132439,1.67715,0.0157303,1.47801,0.0106635,2.1575,0.0162667,1.41208,0.00815262,2.62853,0.0149258,1.27606,0.0122985,1.67886,
0.0189669,1.27059,0.0120276,1.5639,0.00781218,1.88878,0.0138589,1.63467,0.0164016,1.40672,0.011266,1.98255,0.0170043,1.36854,0.00848386,2.12626,0.0157085,1.23074,0.0129498,1.63722,
0.0198401,1.29402,0.0126275,1.56353,0.00810241,1.83563,0.0144805,1.68566,0.0171174,1.46594,0.0118995,1.99206,0.0177573,1.40767,0.00881265,2.08634,0.0164908,1.28381,0.0136268,1.66128,
0.0208571,1.33988,0.0132556,1.60825,0.00839621,1.90627,0.0151419,1.72272,0.0178848,1.49379,0.0125346,2.07755,0.0185523,1.4341,0.0091498,2.1612,0.0173222,1.31318,0.0143034,1.71281,
0.0218948,1.36509,0.0138843,1.6757,0.00870788,1.92322,0.0159121,1.78613,0.0187782,1.54919,0.0131804,2.15811,0.0194798,1.48482,0.00950146,2.21195,0.0181593,1.35283,0.0149953,1.73753,
0.0230839,1.43006,0.01463,1.74192,0.00906756,2.03158,0.0168381,1.87422,0.019829,1.58333,0.0139463,2.23406,0.0205633,1.55387,0.00991837,2.28123,0.0191335,1.41439,0.0157821,1.8558,
0.0244958,1.48952,0.0155053,1.81975,0.00950349,2.04208,0.0179087,1.96112,0.0210044,1.67834,0.0148149,2.37353,0.0218362,1.61383,0.0104051,2.40915,0.0202841,1.47175,0.0167267,1.94891,
