File= Filling_Pressure.csv
Min = 0.000e+00
Max = 2.932e+01
Avg = 1.163e+01
SD = 8.177e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,2.932e+00,1.466e+00,198123,2.139e+01
2,2.932e+00,5.865e+00,4.398e+00,129852,1.468e+01
3,5.865e+00,8.797e+00,7.331e+00,77960,8.619e+00
4,8.797e+00,1.173e+01,1.026e+01,59814,6.573e+00
5,1.173e+01,1.466e+01,1.320e+01,63178,6.952e+00
6,1.466e+01,1.759e+01,1.613e+01,87094,9.641e+00
7,1.759e+01,2.053e+01,1.906e+01,111592,1.265e+01
8,2.053e+01,2.346e+01,2.199e+01,119613,1.306e+01
9,2.346e+01,2.639e+01,2.492e+01,49147,5.197e+00
10,2.639e+01,2.932e+01,2.786e+01,35611,1.240e+00
