File = D:\Moldex3D\02. AI\Only CAE Surrogate\Report\XYPlot\G01_P01-10_SPRUE PRESSURE.csv

Title,Packing-Sprue Pressure
,,,,,,,,,,,,,,,,,,,,
Time (sec),Run 1 : G01_P01 (MPa),Time (sec),Run 11 : G01_P02 (MPa),Time (sec),Run 12 : G01_P03 (MPa),Time (sec),Run 13 : G01_P04 (MPa),Time (sec),Run 14 : G01_P05 (MPa),Time (sec),Run 15 : G01_P06 (MPa),Time (sec),Run 16 : G01_P07 (MPa),Time (sec),Run 17 : G01_P08 (MPa),Time (sec),Run 18 : G01_P09 (MPa),Time (sec),Run 19 : G01_P10 (MPa),
0.00192814,6.73431e-05,0.000953141,0.000264734,0.000490231,0.00202439,0.0012084,1.35427e-05,0.00163619,0.000465864,0.000830583,0.000716117,0.00171503,0.000343582,0.000559707,9.99765e-05,0.0014824,0.00146268,0.00104916,0.000115777,
0.00573788,0.0079075,0.00304081,0.00903271,0.00158338,0.000200813,0.00375741,0.00995976,0.00495248,0.00894118,0.00267355,0.0109419,0.00516731,0.00867417,0.00183698,0.0120604,0.00422566,6.72868e-05,0.0033252,0.00947306,
0.00845194,0.0780101,0.00497431,0.00337437,0.00274956,0.0163468,0.00604229,0.0627152,0.00742267,0.0961203,0.00442767,0.046345,0.00772856,0.0877949,0.00313565,0.029963,0.00688996,0.0785787,0.00539525,0.00364912,
0.0110297,1.10553,0.00676786,0.448887,0.00377398,0.165695,0.008201,0.913145,0.00973517,0.835089,0.0060992,0.680101,0.0101223,0.929438,0.00423864,0.244366,0.00943182,0.939449,0.00726448,0.722883,
0.013656,1.52748,0.00816181,1.13536,0.00487274,0.934985,0.00992051,1.88028,0.0117532,1.50058,0.00744671,1.44665,0.0123988,1.49865,0.0055719,1.06525,0.0114761,1.36386,0.00862484,1.16681,
0.0148204,1.46438,0.0092634,2.00661,0.00579012,2.33771,0.0112644,1.98017,0.0133829,1.77365,0.0086057,2.5531,0.0137967,1.64465,0.0065121,2.55144,0.0126566,1.47001,0.00976304,2.07229,
0.0158904,1.4012,0.00972946,1.68885,0.00669722,2.37129,0.0120993,1.86156,0.0144931,1.66056,0.00900224,2.08589,0.0149345,1.6024,0.00720948,2.5515,0.0135043,1.41197,0.0102592,1.77735,
0.016917,1.4032,0.0101929,1.6018,0.00710281,2.15064,0.0129136,1.85262,0.015568,1.64583,0.00939051,2.00519,0.0160157,1.57902,0.00765843,2.35647,0.014317,1.39032,0.0107681,1.68102,
0.0179637,1.41949,0.0106482,1.62129,0.00748785,2.06968,0.0137454,1.89431,0.0167094,1.67761,0.00977037,2.02118,0.0171615,1.60401,0.0081047,2.32872,0.015153,1.42374,0.0112634,1.70301,
0.0190668,1.45213,0.0111778,1.66471,0.00788388,2.10595,0.0146196,1.9337,0.0178509,1.74419,0.0102257,2.05066,0.0183575,1.66014,0.00855295,2.37602,0.0160172,1.44369,0.0118437,1.75293,
0.0203448,1.4963,0.0118161,1.7174,0.00835283,2.16395,0.015628,2.02288,0.0190327,1.7523,0.0107633,2.11175,0.0197623,1.68019,0.00902423,2.36247,0.0170365,1.4946,0.0125492,1.79124,
0.0218405,1.52635,0.0125747,1.76426,0.00882554,2.26431,0.0168282,2.09519,0.0203774,1.81176,0.0114226,2.17581,0.0213489,1.74807,0.0095636,2.54243,0.0182657,1.511,0.0132576,1.84133,
0.0235499,1.60865,0.0134568,1.86166,0.00939461,2.33307,0.0180424,2.16347,0.0219344,1.9134,0.0121758,2.19352,0.0229309,1.84271,0.0102026,2.54429,0.0196368,1.57558,0.0140943,1.86094,
0.0255876,1.68205,0.0145096,1.93864,0.00994867,2.41948,0.0195299,2.24783,0.0238029,2.00332,0.0130225,2.36843,0.0249,1.91773,0.0108245,2.73813,0.0212468,1.67968,0.0150295,1.97951,
0.0281345,1.75172,0.0155526,2.01279,0.0106314,2.52629,0.0212505,2.34255,0.0260339,2.08068,0.0139167,2.45486,0.027205,1.99146,0.0115872,2.85726,0.0232618,1.75248,0.0161672,2.08247,
0.0310299,1.8232,0.0167986,2.07955,0.0114314,2.64673,0.0232175,2.45575,0.028667,2.16439,0.0149732,2.55329,0.0298812,2.06902,0.0124933,2.9951,0.0255368,1.83125,0.0175403,2.16255,
0.0339297,1.88051,0.0182732,2.19183,0.0123792,2.79198,0.0255663,2.55704,0.0313278,2.22176,0.0162543,2.69591,0.0330233,2.14466,0.0135716,3.13975,0.0278436,1.89219,0.0191624,2.27611,
0.0373465,1.94227,0.0199841,2.28437,0.013459,2.90848,0.0278601,2.63041,0.0343659,2.2962,0.0177178,2.80848,0.0361419,2.20718,0.0146476,3.24523,0.0305603,1.9553,0.0210332,2.37589,
0.0412841,2.01252,0.0217115,2.36347,0.0145335,3.03686,0.0304989,2.73051,0.0373943,2.36997,0.0191546,2.90694,0.039744,2.2903,0.0158825,3.40545,0.0332458,2.01515,0.0229449,2.46413,
0.0451646,2.07597,0.0236936,2.45803,0.0158017,3.1747,0.0330443,2.82408,0.0409286,2.4535,0.0208375,3.02578,0.0434122,2.3555,0.0173128,3.56751,0.0363044,2.0869,0.0251281,2.55696,
0.0498991,2.14699,0.0256783,2.52918,0.0170316,3.28619,0.0361333,2.92406,0.0445559,2.52182,0.0225081,3.1109,0.0478758,2.43413,0.0187148,3.69032,0.0399561,2.16321,0.0273126,2.61137,
0.0546127,2.21131,0.0279079,2.6312,0.0182801,3.39563,0.0392922,3.00465,0.0487533,2.59593,0.02442,3.24516,0.0520893,2.50534,0.0201246,3.81143,0.0436185,2.2255,0.0297317,2.73937,
0.0598696,2.28246,0.0302047,2.71368,0.0197233,3.52374,0.0424475,3.07774,0.0529797,2.66721,0.0263489,3.34388,0.0571246,2.58468,0.0217603,3.95288,0.0473389,2.28202,0.0322364,2.82556,
0.0650778,2.34279,0.032904,2.79994,0.0211725,3.63537,0.0461305,3.16411,0.058024,2.74631,0.0286116,3.45988,0.061939,2.64614,0.0234029,4.07307,0.0516926,2.34314,0.035206,2.91388,
0.070333,2.39489,0.0355886,2.87647,0.0226365,3.71907,0.0498863,3.24437,0.0630469,2.81447,0.0308826,3.55705,0.0669649,2.70773,0.0250462,4.16532,0.0560228,2.40698,0.0381361,2.99361,
0.076744,2.45436,0.0382881,2.94498,0.0243175,3.85344,0.0537724,3.31441,0.0681049,2.88055,0.0331444,3.63545,0.0730719,2.77691,0.0269483,4.31473,0.0610902,2.46992,0.0411016,3.06517,
0.0834474,2.51693,0.0415053,3.02725,0.026002,3.95098,0.0583191,3.40355,0.0739898,2.95751,0.0357823,3.75097,0.0790634,2.85107,0.0288897,4.42604,0.0662249,2.53147,0.0446342,3.15059,
0.0898232,2.569,0.0446882,3.09612,0.0277205,4.03442,0.0625782,3.4843,0.079696,3.0261,0.0384605,3.84297,0.0848899,2.90787,0.0308454,4.51979,0.071413,2.58479,0.0481427,3.22309,
0.09642,2.62567,0.047867,3.16735,0.0294077,4.12476,0.0669939,3.56098,0.0857138,3.09394,0.0411841,3.92369,0.0909363,2.96986,0.0327868,4.61831,0.0766761,2.63637,0.0516333,3.29481,
0.103834,2.67966,0.0510936,3.23012,0.0311147,4.2127,0.0719456,3.6406,0.0914984,3.14994,0.0442721,4.0225,0.0977378,3.0311,0.0347333,4.71367,0.0830033,2.69738,0.0552951,3.36177,
0.111501,2.73606,0.0549015,3.30366,0.0330857,4.31273,0.0770929,3.71934,0.0984413,3.21885,0.047372,4.11362,0.10483,3.09224,0.0370018,4.8211,0.0891711,2.75523,0.0595202,3.44296,
0.119355,2.78812,0.0585589,3.37283,0.0350845,4.40603,0.0823103,3.79403,0.105488,3.28608,0.0505115,4.19971,0.112226,3.14944,0.0392614,4.92198,0.0954417,2.81008,0.0635502,3.5145,
0.128445,2.84751,0.062383,3.43597,0.0370779,4.48733,0.08759,3.86439,0.112666,3.34904,0.0537222,4.27803,0.119801,3.20861,0.041558,5.02174,0.101811,2.86083,0.0677672,3.57974,
0.137563,2.90943,0.0668296,3.50698,0.0391065,4.57376,0.0929054,3.93388,0.119856,3.41035,0.0574749,4.3707,0.128337,3.27455,0.0438948,5.10433,0.109159,2.91982,0.0728221,3.65585,
0.146318,2.96273,0.0712193,3.57641,0.0414975,4.66062,0.0993053,4.01545,0.128305,3.48475,0.0611387,4.46077,0.136657,3.34317,0.0466085,5.20772,0.116505,2.9775,0.0777001,3.73216,
0.15517,3.01055,0.0756608,3.64171,0.0438609,4.74921,0.105608,4.10178,0.136343,3.55278,0.0649393,4.54106,0.144886,3.4039,0.0493069,5.30581,0.123594,3.03179,0.0827023,3.80303,
0.164571,3.06117,0.0800961,3.70172,0.0462135,4.83216,0.111584,4.17413,0.144375,3.617,0.0687549,4.61887,0.153035,3.45385,0.0520384,5.39717,0.130695,3.08116,0.0874964,3.8643,
0.175024,3.11541,0.0846953,3.7628,0.0486552,4.90618,0.117915,4.247,0.152362,3.67177,0.0726404,4.69763,0.16166,3.50699,0.0547501,5.48252,0.13779,3.12465,0.0925494,3.92858,
0.185684,3.16926,0.0893286,3.81991,0.0510463,4.98493,0.124435,4.31582,0.16094,3.73779,0.0771111,4.78493,0.171978,3.5727,0.0575004,5.56863,0.146313,3.17816,0.0976328,3.98818,
0.196665,3.2272,0.0948738,3.88735,0.0535369,5.05784,0.132028,4.40057,0.170409,3.80076,0.0815537,4.87492,0.181791,3.63308,0.0602638,5.65184,0.154766,3.23029,0.103754,4.06091,
0.207247,3.27476,0.100166,3.95334,0.0563328,5.14067,0.139418,4.48919,0.18033,3.86942,0.0860628,4.9533,0.191782,3.69476,0.0635462,5.74715,0.163515,3.2808,0.109795,4.1287,
0.218301,3.32516,0.105505,4.01596,0.0591486,5.22253,0.146586,4.5623,0.190458,3.93468,0.0906439,5.03402,0.201642,3.75029,0.066767,5.8379,0.17245,3.32946,0.115711,4.19527,
