File = D:\Moldex3D\02. AI\Only CAE Surrogate\Report\XYPlot\Packing-Sprue Pressure.csv

Title,Packing-Sprue Pressure
,,,,,,,,,,,,,,,,,,,,
Time (sec),Run 8 : G08_P01 (MPa),Time (sec),Run 79 : G08_P02 (MPa),Time (sec),Run 80 : G08_P03 (MPa),Time (sec),Run 81 : G08_P04 (MPa),Time (sec),Run 82 : G08_P05 (MPa),Time (sec),Run 83 : G08_P06 (MPa),Time (sec),Run 84 : G08_P07 (MPa),Time (sec),Run 85 : G08_P08 (MPa),Time (sec),Run 86 : G08_P09 (MPa),Time (sec),Run 87 : G08_P10 (MPa),
0.00306986,0.000198329,0.00151753,0.000674047,0.000780515,0.00122367,0.00192395,0.000548696,0.00260503,0.000305938,0.0013224,0.000979187,0.00273056,0.00027249,0.000891129,0.00135846,0.00236019,0.00028377,0.0016704,0.000647273,
0.00722454,0.000530438,0.00373853,0.000243248,0.00199042,0.000270451,0.00466671,0.000167413,0.00623318,1.70855e-05,0.00329092,0.000165399,0.00650369,2.63153e-05,0.00226179,9.80698e-05,0.00562024,3.43676e-05,0.00409115,0.000115766,
0.0112762,0.00326171,0.00606132,0.000681837,0.00332164,0.00111949,0.00748659,4.68467e-05,0.00981075,0.0039857,0.00536983,0.00111385,0.0102123,0.00498861,0.00375517,0.000920712,0.00892614,1.7715e-05,0.00660571,0.000305973,
0.0144381,0.0399528,0.00821815,0.0035677,0.00465469,0.00802841,0.0100796,0.0032686,0.013108,0.0463148,0.00733731,0.0263515,0.0129993,0.0480264,0.00523288,0.00936921,0.0118709,0.0471702,0.00896441,0.00326448,
0.0184601,0.252134,0.010651,0.0440297,0.00602638,0.00108274,0.0128459,0.217814,0.0166259,0.308632,0.0099053,0.0921112,0.0162902,0.279368,0.00669816,0.111347,0.0151894,0.267858,0.0115277,0.054086,
0.0220369,0.499278,0.0131855,0.530836,0.0076968,0.358097,0.015838,0.707721,0.0197549,0.600389,0.0123915,0.883761,0.0196435,0.5697,0.00835689,0.58551,0.0183501,0.515457,0.014209,0.686694,
0.0254781,1.03705,0.0153256,0.99787,0.00942103,0.972859,0.0187152,1.36713,0.0228041,1.22086,0.0146955,1.53471,0.0231673,1.05167,0.0100425,1.06267,0.0214603,1.0596,0.0168247,1.20856,
0.0266951,0.987606,0.0170419,1.31856,0.0109616,1.75625,0.0197973,1.37526,0.0238517,1.15673,0.0157274,1.61322,0.0250018,1.14403,0.0117298,1.89921,0.0225718,1.02041,0.0180784,1.35271,
0.0279705,0.970641,0.0180584,1.30009,0.0113913,1.5944,0.0208238,1.34548,0.0249464,1.13448,0.0165864,1.61634,0.0265289,1.13403,0.0123433,1.7915,0.0238544,0.99061,0.0191571,1.3467,
0.0293787,1.01016,0.0191163,1.31596,0.0118829,1.56539,0.0218619,1.38581,0.026152,1.18818,0.0174618,1.65439,0.0280729,1.16945,0.0129096,1.80006,0.0251564,1.03745,0.0202481,1.3728,
0.0308342,1.03819,0.0201385,1.39313,0.0123979,1.64393,0.0229573,1.44367,0.0274044,1.21581,0.0183364,1.7276,0.0296311,1.21573,0.0134872,1.84065,0.0264792,1.08128,0.0213304,1.43771,
0.032285,1.07552,0.0212154,1.44994,0.0129206,1.69572,0.0240603,1.50038,0.0286344,1.26026,0.0192271,1.80326,0.0312122,1.2622,0.0140912,1.9116,0.0278338,1.12006,0.0224489,1.50021,
0.0339979,1.1206,0.0223086,1.50502,0.013442,1.76278,0.0253335,1.56932,0.0300945,1.31339,0.0202653,1.89702,0.0330508,1.32172,0.014686,2.00179,0.0293841,1.17976,0.0235694,1.562,
0.0359933,1.17741,0.0235566,1.57092,0.0140564,1.86797,0.0268235,1.64375,0.031785,1.37066,0.0214934,1.99264,0.0352175,1.38401,0.0153905,2.10945,0.0312329,1.2424,0.0248976,1.63248,
0.0383652,1.2329,0.0250018,1.65222,0.0147885,1.95687,0.0285283,1.73651,0.0337522,1.44061,0.0228938,2.1058,0.0377601,1.46348,0.0162182,2.2165,0.0334337,1.31319,0.026436,1.71304,
0.0411457,1.30099,0.026681,1.75727,0.0156137,2.07401,0.030545,1.83697,0.0360965,1.5274,0.0245583,2.23572,0.0406817,1.54855,0.0171644,2.34958,0.0359677,1.38468,0.0282115,1.80522,
0.0443239,1.37663,0.0287226,1.84024,0.0165879,2.20044,0.0329285,1.93386,0.0388492,1.60441,0.0262455,2.35462,0.0441719,1.62535,0.0182707,2.48696,0.0389465,1.45834,0.0303206,1.90318,
0.0481641,1.44492,0.0310536,1.93686,0.0177281,2.34872,0.0356591,2.0328,0.0420656,1.68889,0.0282997,2.45355,0.047675,1.70559,0.0195574,2.64349,0.0419307,1.52516,0.0327947,2.00292,
0.052566,1.52364,0.033396,2.02937,0.0188948,2.44332,0.0383975,2.13377,0.0457586,1.7797,0.0305995,2.57898,0.0518754,1.78766,0.0208547,2.74967,0.0454244,1.59768,0.035315,2.09398,
0.0571073,1.59899,0.0361126,2.11949,0.0202264,2.57767,0.0417008,2.22951,0.0496286,1.86369,0.0328698,2.69771,0.0565657,1.874,0.022344,2.89148,0.0495089,1.6832,0.0381527,2.19009,
0.0622302,1.67176,0.0388004,2.21152,0.0215682,2.68048,0.0449481,2.33043,0.0539304,1.95299,0.035513,2.83046,0.0613291,1.9606,0.0238504,3.02987,0.0537474,1.75511,0.0410795,2.28939,
0.0673843,1.74735,0.0419224,2.31222,0.023111,2.81624,0.0489759,2.43872,0.0585027,2.03841,0.0382529,2.95193,0.0667583,2.04489,0.0256056,3.18561,0.0587511,1.83511,0.0445374,2.38409,
0.0736914,1.82295,0.0452466,2.40792,0.0246539,2.95368,0.0534696,2.54993,0.063745,2.1279,0.0414538,3.07144,0.0724334,2.13379,0.0274104,3.31711,0.063621,1.91319,0.0480158,2.48472,
0.0808346,1.91375,0.0490362,2.4998,0.0265062,3.07728,0.0579761,2.66305,0.0689573,2.21477,0.0446588,3.18996,0.0791535,2.22831,0.0294705,3.45628,0.0693789,2.00138,0.0521393,2.59082,
0.0881046,1.99992,0.0528492,2.59169,0.0283025,3.19592,0.0625591,2.7585,0.0750389,2.31333,0.0479362,3.3045,0.0857049,2.30726,0.0315579,3.60368,0.075127,2.07262,0.0561569,2.67645,
0.0953212,2.0683,0.0567271,2.67874,0.0301817,3.31727,0.067914,2.86319,0.0812591,2.40267,0.0517197,3.42244,0.0923582,2.38905,0.0340363,3.74951,0.0809202,2.1446,0.0602447,2.76786,
0.103693,2.15045,0.0612588,2.77151,0.0323631,3.44061,0.0733094,2.97394,0.08847,2.49487,0.0554537,3.53402,0.100217,2.48339,0.0365011,3.88197,0.087766,2.22534,0.0650692,2.86829,
0.112388,2.2359,0.0656868,2.85863,0.0345515,3.55027,0.0787911,3.07433,0.0957766,2.59337,0.0593979,3.65086,0.107982,2.56768,0.039008,4.01496,0.0946691,2.30228,0.0699232,2.96272,
0.120871,2.30873,0.0703149,2.95026,0.0367145,3.66077,0.0849981,3.18061,0.103189,2.68192,0.0639125,3.76985,0.115798,2.64634,0.0415674,4.13392,0.101483,2.37095,0.0747541,3.04662,
0.129289,2.37713,0.0756634,3.04421,0.0393024,3.78832,0.0913563,3.30081,0.111606,2.77496,0.0683636,3.88936,0.124948,2.73659,0.0444632,4.26195,0.109377,2.45048,0.080464,3.14895,
0.139511,2.45765,0.0810007,3.14065,0.0418643,3.8961,0.0978247,3.40822,0.120219,2.88035,0.0729267,4.00738,0.134389,2.82896,0.0474265,4.39859,0.117559,2.52764,0.0862566,3.24646,
0.149886,2.5383,0.086277,3.22506,0.0444459,4.00737,0.104203,3.51375,0.128977,2.977,0.0775502,4.11991,0.143528,2.91092,0.0504169,4.51667,0.12563,2.59787,0.0919693,3.3348,
0.159907,2.61049,0.0916988,3.30591,0.0470803,4.11371,0.110727,3.61772,0.137617,3.07034,0.082823,4.24397,0.153063,3.00437,0.0533994,4.62946,0.133932,2.67624,0.0978551,3.4231,
0.170164,2.68101,0.0971899,3.38563,0.0501257,4.22405,0.118342,3.73935,0.146459,3.16257,0.0882083,4.37767,0.163658,3.09404,0.0568237,4.76326,0.143145,2.74855,0.104644,3.52516,
0.18225,2.76671,0.103588,3.47966,0.0531601,4.33812,0.126003,3.85765,0.156801,3.27284,0.093652,4.5006,0.174783,3.18864,0.0603317,4.89335,0.152729,2.82259,0.111311,3.61935,
0.194468,2.85269,0.110153,3.57263,0.0562371,4.44454,0.133584,3.98402,0.166946,3.37733,0.0990328,4.61474,0.185799,3.28105,0.063871,5.01371,0.162281,2.89456,0.118111,3.71016,
0.206583,2.9349,0.116582,3.65661,0.0593755,4.54491,0.141482,4.13236,0.177148,3.49576,0.10459,4.7388,0.197347,3.37939,0.0673865,5.13377,0.172188,2.97013,0.125088,3.8051,
0.219023,3.01758,0.123227,3.74531,0.0628989,4.66095,0.150526,4.30881,0.187791,3.618,0.110959,4.86784,0.210426,3.48273,0.0715461,5.2756,0.183466,3.04693,0.133039,3.90325,
0.233506,3.11124,0.130825,3.84065,0.0665576,4.77499,0.15947,4.51057,0.200054,3.74983,0.117332,5.00449,0.223608,3.60821,0.075612,5.40691,0.194871,3.12957,0.141134,4.01175,
0.247828,3.20523,0.13839,3.93374,0.070187,4.88087,0.168565,4.72017,0.212194,3.90884,0.123834,5.14194,0.236952,3.72946,0.0797899,5.54255,0.206384,3.20451,0.149311,4.11003,
0.262417,3.30456,0.146134,4.02998,0.0738887,4.98795,0.177794,4.94434,0.224561,4.08953,0.130398,5.29327,0.25025,3.86356,0.0840259,5.66743,0.217861,3.27641,0.157387,4.20488,
0.277321,3.41445,0.153937,4.12497,0.0776708,5.09005,0.188148,5.18475,0.236844,4.28006,0.137861,5.4621,0.263629,4.01635,0.0882428,5.78823,0.22942,3.35054,0.16563,4.30437,
