File = D:\Moldex3D\02. AI\Only CAE Surrogate\Report\XYPlot\G09_P01-10_SPRUE PRESSURE.csv,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Title,Packing-Sprue Pressure,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Time (sec),Run 9 : G09_P01 (MPa),Time (sec),Run 88 : G09_P02 (MPa),Time (sec),Run 89 : G09_P03 (MPa),Time (sec),Run 90 : G09_P04 (MPa),Time (sec),Run 91 : G09_P05 (MPa),Time (sec),Run 92 : G09_P06 (MPa),Time (sec),Run 93 : G09_P07 (MPa),Time (sec),Run 94 : G09_P08 (MPa),Time (sec),Run 95 : G09_P09 (MPa),Time (sec),Run 96 : G09_P10 (MPa)
0.0034071,9.63E-05,0.00168424,1.20E-06,0.000866259,0.000113572,0.0021353,0.000107514,0.00289121,0.000146512,0.00146767,6.94E-05,0.00303053,0.000131227,0.000989025,0.000830954,0.00261947,3.28E-05,0.0018539,0.000188157
0.00773561,3.15E-05,0.00408473,0.00267845,0.00216965,1.06E-06,0.00509778,0.00272763,0.00666926,3.25E-05,0.00359166,0.00300062,0.0069605,2.83E-05,0.00242131,0.000623146,0.0061488,0.00235728,0.00446782,0.00272958
0.0121181,0.00234404,0.00655497,0.00331906,0.00357086,0.00448083,0.00811461,0.00333846,0.0105123,0.00285239,0.00579548,0.00417326,0.0109518,0.0027116,0.00398647,0.00533164,0.00971368,0.00249891,0.00714764,0.00339621
0.0163596,0.000461157,0.00911015,0.00654673,0.00508171,0.00566159,0.0111624,0.00135303,0.0142908,0.00187854,0.00809829,0.00477527,0.0148647,0.00172493,0.00566912,0.00576269,0.0132515,0.00145664,0.00989445,0.010966
0.0207066,0.109186,0.0114054,0.060063,0.00656952,0.0229865,0.0147569,0.0505323,0.0181466,0.021878,0.0102074,0.0678661,0.0188394,0.0808161,0.00735205,0.00119236,0.0168718,0.0298981,0.0131007,0.027014
0.0255027,0.412843,0.0144307,0.306311,0.00849268,0.0385751,0.0184749,0.57014,0.0223776,0.47544,0.0125894,0.393084,0.0232942,0.453352,0.00945476,0.0551861,0.02085,0.361501,0.0162482,0.464499
0.0305595,0.732669,0.0171071,0.591249,0.0102643,0.639088,0.0218927,0.941386,0.026591,0.778015,0.015035,0.759012,0.0275612,0.731779,0.0115656,0.704029,0.0244258,0.643143,0.0196961,0.895857
0.0345258,0.940942,0.0198736,1.2436,0.0122228,1.05679,0.0242875,1.24123,0.0299113,1.06297,0.0177663,1.42955,0.0311042,1.0273,0.013357,1.35076,0.0279163,0.956494,0.0220298,1.29682
0.0376524,0.916156,0.0209072,1.13109,0.0137371,1.70246,0.0259638,1.22834,0.0321634,1.07617,0.0195762,1.47995,0.0335122,1.02788,0.0150032,1.7728,0.0299711,0.914803,0.0234197,1.19524
0.0409328,0.928351,0.0219455,1.08537,0.0145177,1.48847,0.027632,1.22727,0.03441,1.06358,0.0209185,1.46177,0.0359638,1.02099,0.0159072,1.67765,0.0319754,0.907177,0.0248065,1.17817
0.0443774,0.956837,0.0230152,1.11341,0.015277,1.44945,0.0293413,1.26277,0.0367264,1.09484,0.022277,1.47154,0.0385266,1.04886,0.0168282,1.66731,0.0340733,0.933084,0.0262303,1.21582
0.0477365,0.988267,0.0243252,1.14097,0.0160944,1.50231,0.0311603,1.29286,0.0391454,1.11978,0.0236693,1.50792,0.0411037,1.07307,0.0177835,1.7056,0.0362457,0.959029,0.0280064,1.24905
0.0516496,1.02566,0.0256159,1.16974,0.0171116,1.5538,0.0332589,1.32801,0.0419437,1.15477,0.0250711,1.56321,0.0441031,1.11223,0.0187825,1.7291,0.0387698,0.988759,0.0297357,1.28348
0.0556132,1.0699,0.0271315,1.21047,0.0181179,1.62264,0.0356491,1.39367,0.0451476,1.20287,0.0267549,1.62168,0.0476442,1.15779,0.0199028,1.83519,0.0416774,1.03188,0.0317655,1.33993
0.0603102,1.11448,0.0289332,1.26413,0.0192915,1.69961,0.038553,1.4532,0.0489664,1.2592,0.028675,1.69798,0.0517733,1.21008,0.0212375,1.92251,0.0451487,1.0808,0.0341261,1.39833
0.0659273,1.16272,0.0310344,1.31874,0.0206665,1.77992,0.0418804,1.52114,0.0534062,1.31819,0.0309908,1.7782,0.0566011,1.2696,0.0228131,2.00147,0.0491806,1.13112,0.0369345,1.46576
0.0725254,1.20988,0.0335008,1.37754,0.0222382,1.86385,0.0457986,1.5913,0.0586446,1.37888,0.0336997,1.86034,0.0623228,1.33,0.0246167,2.10758,0.0539404,1.18395,0.0402778,1.53022
0.0803666,1.26603,0.0364237,1.44622,0.0240532,1.93271,0.0503886,1.66381,0.0649721,1.44321,0.0368182,1.94582,0.0681715,1.38595,0.0267134,2.2181,0.0595822,1.23865,0.0440819,1.59508
0.089504,1.32684,0.0398706,1.51116,0.0258447,2.04157,0.0550134,1.72665,0.0714173,1.49876,0.0400343,2.02569,0.07521,1.43693,0.0288574,2.28549,0.0652844,1.28667,0.0480221,1.66108
0.0985434,1.37553,0.0432637,1.56762,0.0279783,2.10292,0.0604063,1.79716,0.0788967,1.56183,0.0437992,2.1055,0.0832535,1.49722,0.0312827,2.39614,0.071993,1.34042,0.0526108,1.72304
0.109227,1.43107,0.0472315,1.62596,0.0303518,2.19535,0.0658616,1.8616,0.0864427,1.62104,0.0474773,2.17749,0.0914915,1.56006,0.0338203,2.48767,0.0784753,1.38778,0.0578421,1.79356
0.119953,1.48819,0.0518517,1.69856,0.0327879,2.29986,0.0723868,1.93402,0.0953598,1.68625,0.0518838,2.25573,0.101145,1.62188,0.036772,2.58079,0.0864519,1.44019,0.0633502,1.85714
0.13234,1.54643,0.0565816,1.7554,0.0356351,2.38254,0.0799597,2.01671,0.105613,1.75725,0.057063,2.34984,0.112082,1.688,0.0396491,2.66626,0.0957392,1.49953,0.0697656,1.9305
0.144904,1.60459,0.0620321,1.82022,0.038489,2.46748,0.0875246,2.09424,0.11603,1.82905,0.0621713,2.43429,0.123147,1.75741,0.0430528,2.76815,0.105072,1.55562,0.0760344,1.99939
0.15974,1.66363,0.0676538,1.88809,0.0419041,2.55755,0.0963716,2.18349,0.127867,1.90487,0.0681658,2.53218,0.135728,1.82539,0.0465312,2.85862,0.115933,1.61621,0.0834289,2.07691
0.174517,1.71869,0.0741466,1.96019,0.0453037,2.64014,0.105225,2.26245,0.139503,1.97246,0.0743334,2.62121,0.148612,1.89321,0.0505935,2.95899,0.126807,1.66927,0.0909683,2.14597
0.189533,1.77698,0.0804182,2.02194,0.0487481,2.71642,0.114261,2.34437,0.151746,2.04294,0.0805084,2.7007,0.161444,1.95096,0.0547036,3.05121,0.137891,1.72191,0.0995899,2.21806
0.206498,1.83347,0.0880848,2.09287,0.0528769,2.80365,0.124719,2.42593,0.165497,2.11327,0.0867793,2.78521,0.174792,2.00867,0.0588893,3.13829,0.150662,1.7746,0.108316,2.29104
0.223823,1.89654,0.0956827,2.15571,0.0569974,2.88166,0.135363,2.54248,0.179871,2.22066,0.094024,2.87116,0.190299,2.07842,0.0637115,3.23202,0.163725,1.83188,0.117193,2.35467
0.241268,1.95666,0.103441,2.21893,0.0611418,2.95785,0.145799,2.70419,0.194241,2.3161,0.101298,2.96529,0.205687,2.15306,0.0685886,3.33025,0.17679,1.88094,0.12608,2.41996
0.261835,2.03759,0.112444,2.2853,0.0659499,3.04518,0.157752,2.86919,0.21083,2.41683,0.10976,3.06217,0.221485,2.23864,0.073529,3.41979,0.191849,1.93574,0.136485,2.48985
0.282603,2.1234,0.121634,2.3552,0.0708046,3.12842,0.170339,3.0304,0.227501,2.54662,0.118336,3.16328,0.239943,2.32658,0.0792415,3.52324,0.20705,1.99141,0.146926,2.55947
0.303373,2.19602,0.130858,2.41741,0.07571,3.20183,0.182637,3.17299,0.244363,2.65921,0.127022,3.29834,0.258131,2.41372,0.0850046,3.62056,0.222335,2.04144,0.157578,2.63303
0.324604,2.26797,0.139944,2.47566,0.081323,3.29059,0.195386,3.29633,0.261647,2.7675,0.135626,3.45659,0.276719,2.49634,0.0907587,3.71407,0.237965,2.09438,0.169701,2.70715
0.345327,2.33357,0.150686,2.54881,0.0870302,3.37698,0.208232,3.41043,0.279101,2.87045,0.144395,3.612,0.295133,2.57115,0.0966078,3.81235,0.256093,2.14933,0.182079,2.78885
0.369976,2.40656,0.161237,2.61664,0.0928357,3.45463,0.223032,3.53575,0.299179,2.98832,0.15461,3.76204,0.313988,2.64562,0.103418,3.91485,0.274422,2.20804,0.1943,2.86284
0.392932,2.49442,0.17217,2.6833,0.098685,3.53411,0.237948,3.69057,0.319419,3.12855,0.164858,3.91843,0.335872,2.7324,0.110312,4.02445,0.292401,2.26232,0.206826,2.95508
0.412884,2.64147,0.183233,2.74949,0.104485,3.6128,0.251809,3.853,0.338136,3.27846,0.174689,4.05394,0.356141,2.85833,0.117093,4.12833,0.309147,2.33468,0.218817,3.04311
