File = D:\Moldex3D\02. AI\Surrogate model - 2 Report\v02FAM_G01\Packing-Sprue Pressure.csv

Title,Packing-Sprue Pressure
,,
Time (sec),Run 1 : V02FAM_G01_P01 (MPa),
0.00164154,0.000486785,
0.00397093,9.82863e-05,
0.00641006,0.000138883,
0.00872501,0.0174154,
0.0117422,0.058754,
0.0147009,0.617499,
0.0177709,1.19452,
0.018896,1.24669,
0.0198513,1.25832,
0.0208353,1.28833,
0.0218146,1.34642,
0.0227958,1.40845,
0.0237932,1.47282,
0.0248154,1.52206,
0.0260229,1.5917,
0.0272551,1.65165,
0.0286928,1.7145,
0.030129,1.77398,
0.0315749,1.82096,
0.0332331,1.89574,
0.0349346,1.94832,
0.0366253,2.00539,
0.0385841,2.06733,
0.040557,2.1283,
0.0425461,2.18282,
0.0445373,2.23555,
0.0468564,2.29492,
0.0491857,2.35168,
0.051545,2.40631,
0.0539033,2.45627,
0.0562879,2.50752,
0.059089,2.56333,
0.06187,2.61777,
0.0646655,2.67063,
0.0674997,2.72233,
0.0703373,2.77256,
0.0736577,2.82946,
0.076973,2.88575,
0.0803006,2.9394,
0.0836723,2.99169,
0.087006,3.0406,
0.0903825,3.0917,
0.0943294,3.14796,
0.0982444,3.20417,
0.102224,3.25959,
0.106217,3.31333,
0.110207,3.36569,
0.114235,3.41964,
0.118258,3.47118,
0.122919,3.53025,
0.127571,3.59146,
0.132261,3.65119,
0.136977,3.71098,
0.141714,3.76909,
0.146473,3.82774,
0.151276,3.88539,
0.156077,3.94312,
0.160903,4.00116,
0.166479,4.06353,
0.172028,4.13142,
0.177593,4.19632,
0.183144,4.25936,
0.188712,4.32237,
0.194284,4.38537,
0.199575,4.46106,
0.204635,4.61203,
0.209784,4.68951,
0.214892,4.78168,
0.220047,4.88847,
0.225214,5.00718,
0.230361,5.13279,
0.235493,5.26098,
0.240601,5.39336,
0.245718,5.52801,
0.25085,5.66453,
0.255973,5.80424,
0.261077,5.94513,
0.266212,6.08781,
0.271218,6.23043,
0.27626,6.37056,
0.281283,6.51022,
0.286309,6.64965,
0.291328,6.78949,
0.296341,6.92848,
0.301342,7.06772,
0.30636,7.20702,
0.311382,7.34665,
0.316398,7.48593,
0.321423,7.62528,
0.326485,7.76467,
0.331531,7.90469,
0.336587,8.04432,
0.341628,8.18446,
0.346689,8.32339,
0.351752,8.46242,
0.356806,8.60112,
0.361867,8.7428,
0.366819,8.87959,
0.371869,9.01432,
0.376935,9.15255,
0.382012,9.29179,
0.387098,9.43006,
0.392173,9.58497,
