File = D:\Moldex3D\02. AI\Surrogate model - 2 Report\v02FAM_G02\P03\Packing-Sprue Pressure.csv

Title,Packing-Sprue Pressure
,,
Time (sec),Run 8 : V02FAM_G02_P03 (MPa),
0.00171947,0.000945697,
0.00441404,0.00032138,
0.00704892,0.000965795,
0.00897398,0.0719631,
0.011266,0.409355,
0.0134579,0.767089,
0.0155878,1.50259,
0.0163197,1.39272,
0.0170451,1.33824,
0.0177991,1.38708,
0.0185575,1.42265,
0.0193183,1.47094,
0.0200991,1.51986,
0.0210169,1.57186,
0.0219341,1.62819,
0.0230194,1.69291,
0.0241204,1.75068,
0.0254137,1.81222,
0.0267122,1.85227,
0.0282182,1.91476,
0.0297052,1.9733,
0.0312031,2.02811,
0.0329498,2.08785,
0.0346971,2.14497,
0.0364644,2.19999,
0.0385193,2.25623,
0.0405867,2.31458,
0.0426803,2.36856,
0.0447811,2.4173,
0.0472333,2.47287,
0.0496684,2.52592,
0.0521339,2.57765,
0.0546258,2.62686,
0.0575225,2.68054,
0.060439,2.73513,
0.0633602,2.78687,
0.0662882,2.8349,
0.0692457,2.88391,
0.0722466,2.93064,
0.0757224,2.98306,
0.0792269,3.0358,
0.082745,3.08672,
0.0862598,3.1341,
0.0898022,3.18192,
0.0933549,3.22776,
0.0974766,3.28104,
0.101603,3.33487,
0.105772,3.38629,
0.109933,3.4356,
0.114121,3.48503,
0.118326,3.53446,
0.122556,3.58399,
0.127499,3.63964,
0.132431,3.6975,
0.137375,3.75129,
0.142325,3.803,
0.147318,3.85664,
0.152323,3.90876,
0.157362,3.96054,
0.162431,4.01239,
0.16753,4.06374,
0.173421,4.12112,
0.179317,4.18202,
0.185242,4.24169,
0.191208,4.30333,
0.19716,4.36751,
0.203144,4.43307,
0.20917,4.49864,
0.215179,4.56177,
0.221222,4.62435,
0.227285,4.68605,
0.233342,4.74662,
0.24035,4.8135,
0.247317,4.905,
0.254279,5.00393,
0.261205,5.10669,
0.267749,5.21584,
0.274086,5.40615,
