File = D:\Moldex3D\02. AI\Surrogate model - 2 Report\V02\v02FAM_G03\P03\Packing-Sprue Pressure.csv

Title,Packing-Sprue Pressure
,,
Time (sec),Run 13 : V02FAM_G03_P03 (MPa),
0.00172517,0.000186397,
0.00458631,4.38311e-06,
0.007397,0.00585603,
0.00964597,0.0518421,
0.0118118,0.304973,
0.0140589,0.566465,
0.0168828,1.03936,
0.0188475,1.47894,
0.0197004,1.43554,
0.0205287,1.45645,
0.0213734,1.50964,
0.022224,1.58233,
0.0231166,1.65507,
0.024162,1.72828,
0.0252126,1.80113,
0.026448,1.8759,
0.0276742,1.94698,
0.0291341,2.02682,
0.0305764,2.09697,
0.0320559,2.16352,
0.0337568,2.23983,
0.0354963,2.31882,
0.037246,2.38626,
0.0392798,2.46794,
0.0413718,2.53476,
0.0434105,2.60517,
0.0454594,2.67277,
0.0478212,2.74274,
0.0501896,2.81385,
0.0525849,2.88141,
0.0550033,2.94296,
0.0577835,3.01342,
0.0605916,3.08443,
0.0633853,3.14733,
0.0662224,3.21316,
0.0690824,3.27524,
0.0719809,3.33683,
0.0753336,3.40399,
0.0786651,3.47368,
0.0820379,3.54025,
0.0854421,3.60508,
0.0888335,3.6667,
0.0922611,3.73049,
0.0962227,3.79885,
0.100193,3.87285,
0.10421,3.94447,
0.108217,4.01256,
0.11227,4.08284,
0.116334,4.14916,
0.120421,4.21455,
0.124541,4.27932,
0.129341,4.3495,
0.134098,4.42399,
0.138899,4.49624,
0.143695,4.56567,
0.148505,4.63543,
0.153369,4.70674,
0.158261,4.7847,
0.163179,4.86904,
0.168811,4.96149,
0.174418,5.06971,
0.180108,5.20127,
0.185776,5.33277,
0.191646,5.49518,
0.197445,5.63927,
0.203371,5.81369,
0.209227,5.95936,
0.215169,6.11687,
0.221188,6.27761,
0.227181,6.43823,
0.23414,6.6284,
0.240907,6.80114,
0.247681,7.00054,
0.253912,7.17243,
0.259941,7.44563,
0.26604,7.59857,
0.272111,7.78626,
0.278228,7.97002,
0.284335,8.15362,
0.290517,8.3461,
0.296631,8.533,
0.302718,8.71146,
0.308891,8.89605,
0.31505,9.08727,
0.321162,9.27588,
0.327134,9.45473,
0.333072,9.63006,
0.338973,9.79904,
0.344911,9.9706,
0.350872,10.1427,
0.356822,10.3128,
0.362756,10.4822,
0.368695,10.651,
0.37464,10.8215,
0.380621,10.9944,
0.386474,11.1631,
0.392294,11.3236,
0.398286,11.4928,
0.404125,11.6585,
0.410108,11.8235,
0.416124,11.9953,
0.42211,12.1661,
0.428087,12.3376,
0.434106,12.5101,
0.440098,12.6836,
0.446088,12.8789,
0.451804,13.032,
0.457777,13.2201,
0.463486,13.3989,
0.469171,13.5676,
0.474871,13.7376,
0.480569,13.906,
0.486239,14.0759,
0.491917,14.2461,
0.497591,14.4166,
0.503288,14.5883,
0.50896,14.7604,
0.514609,14.9318,
0.520261,15.1039,
0.525914,15.2765,
0.531559,15.4503,
0.537201,15.6241,
0.542836,15.7968,
0.548466,15.9715,
0.55412,16.1464,
0.559787,16.3215,
0.565485,16.4981,
0.57119,16.6486,
0.577215,16.8271,
0.583271,17.0446,
0.588983,17.2078,
0.594984,17.3865,
0.601057,17.5786,
0.607096,17.7716,
0.613142,17.9635,
0.619202,18.1854,
0.624962,18.3534,
0.630963,18.5368,
0.637052,18.7323,
0.643112,18.9294,
0.649125,19.1245,
0.655184,19.3208,
0.661244,19.5466,
0.666992,19.7175,
0.673022,19.932,
0.678801,20.1056,
0.684807,20.2951,
0.690869,20.4968,
0.696922,20.6985,
0.702945,20.8999,
0.708979,21.1002,
0.71499,21.3333,
0.720621,21.5084,
0.726175,21.7518,
0.731442,21.9903,
0.736612,22.213,
0.741191,22.4152,
0.745807,22.6095,
0.750351,22.8186,
0.754896,23.0248,
0.759316,23.2322,
0.763752,23.4355,
0.7682,23.6407,
0.772598,23.8439,
0.777046,24.0498,
0.781483,24.2557,
0.785927,24.4634,
0.789825,24.6857,
0.793482,24.8567,
0.797207,25.0304,
0.800899,25.2069,
0.804618,25.3819,
0.808329,25.5584,
0.812079,25.7371,
0.815838,25.9137,
0.819612,26.0928,
0.823378,26.2712,
0.827159,26.4489,
0.830943,26.6282,
0.834775,26.8068,
0.838593,26.9662,
0.842543,27.1659,
0.846408,27.3528,
0.850277,27.5349,
0.854162,27.7185,
0.858068,27.9027,
0.861998,28.0876,
0.865955,28.2739,
0.869932,28.461,
0.873923,28.6499,
0.877944,28.8407,
0.881998,29.0331,
0.886087,29.227,
0.890177,29.4232,
0.894294,29.6178,
0.898384,29.8131,
0.902525,30.0082,
0.906677,30.2058,
0.910883,30.4035,
0.91511,30.6043,
0.919379,30.8046,
0.923672,31.0081,
0.927991,31.1786,
0.932429,31.3785,
0.936878,31.6169,
0.941221,31.8271,
0.946236,32.0391,
0.951249,32.288,
0.95627,32.4812,
0.961429,32.7426,
0.966486,32.9414,
0.971656,33.1993,
0.976666,33.4339,
0.981572,33.6589,
0.986387,33.849,
0.991486,34.0568,
0.996615,34.2933,
1.00176,34.5288,
1.00687,34.7758,
1.01186,35.0088,
1.01683,35.2144,
1.022,35.4824,
1.02692,35.6813,
1.03201,35.896,
1.03711,36.1625,
1.04194,36.3435,
1.04711,36.5567,
1.05223,36.8257,
1.05716,37.0524,
1.062,37.2635,
1.06683,37.471,
1.07167,37.6784,
1.07651,37.8858,
1.08134,38.0918,
1.08615,38.2957,
1.09097,38.4995,
1.09584,38.7033,
1.10065,38.906,
1.10548,39.1067,
1.11034,39.3095,
1.11513,39.5126,
1.11996,39.7123,
1.12479,39.9137,
1.12959,40.1138,
1.13444,40.3167,
1.13925,40.5189,
1.14403,40.7185,
1.14883,40.9187,
1.15369,41.1228,
1.15856,41.327,
1.16338,41.5326,
1.16819,41.7354,
1.17301,41.9389,
1.17782,42.1431,
1.1826,42.3451,
1.1874,42.5476,
1.19226,42.7541,
1.19712,42.9613,
1.20189,43.1679,
1.20671,43.372,
1.21156,43.5815,
1.21644,43.7897,
1.22133,44.0011,
1.22621,44.215,
1.23107,44.4253,
1.23593,44.6349,
1.24075,44.8455,
1.24558,45.0534,
1.25044,45.2659,
1.25531,45.4801,
1.2602,45.6931,
1.26511,45.9089,
1.27003,46.127,
1.27494,46.3454,
1.27982,46.5626,
1.28471,46.7786,
1.2896,46.9968,
1.2945,47.2156,
1.29941,47.4372,
1.30431,47.6592,
1.30922,47.8786,
1.31412,48.1006,
1.31899,48.3222,
1.32384,48.5449,
1.32875,48.7652,
1.33367,48.9903,
1.33854,49.2173,
1.34338,49.439,
1.34822,49.6612,
1.35312,49.8825,
1.35799,50.1102,
1.36285,50.3392,
1.36769,50.5655,
1.37255,50.7911,
1.37744,51.0177,
1.38231,51.2488,
1.38716,51.4783,
1.39197,51.7079,
1.3968,51.9378,
1.40166,52.1668,
1.40653,52.3995,
1.41139,52.6306,
1.41621,52.8659,
1.42102,53.1014,
1.42588,53.3382,
1.43077,53.578,
1.43561,53.8236,
1.44043,54.0683,
1.44525,54.312,
1.45014,54.558,
1.45504,54.8113,
1.45992,55.0647,
1.46475,55.3185,
1.46955,55.5704,
1.47437,55.8231,
1.47927,56.0775,
1.48419,56.3368,
1.48907,56.5997,
1.4939,56.8575,
1.49871,57.1135,
1.50363,57.3677,
1.50853,57.6301,
1.5134,57.8901,
1.51822,58.1511,
1.52303,58.4095,
1.52794,58.6644,
1.53287,58.9279,
1.53673,59.1374,
1.53838,59.2908,
1.54317,60.9773,
1.54841,62.7339,
1.55388,64.4733,
1.55945,66.1455,
1.56458,67.6001,
1.56785,68.4798,
1.56785,68.4798,
1.57199,69.5558,
1.57637,70.6492,
1.58102,71.7574,
1.58594,72.8775,
1.59116,74.0063,
1.5967,75.1404,
1.60257,76.276,
1.60878,77.4092,
1.61519,78.5038,
