File = D:\Moldex3D\02. AI\Surrogate model - 2\Report\XYPlot\Packing-Sprue Pressure.csv

Title,Packing-Sprue Pressure
,,
Time (sec),Run 24 : V03FAM_G01_P04 (MPa),
0.000646544,0.000533432,
0.00196083,0.00796966,
0.0033241,0.0114317,
0.00455861,0.126236,
0.00588522,0.0141759,
0.00699402,1.25316,
0.00787399,2.19072,
0.00827502,1.77084,
0.00868362,1.73802,
0.00911453,1.7497,
0.00956438,1.7459,
0.010103,1.78219,
0.0107376,1.79439,
0.0113449,1.8018,
0.0119993,1.84242,
0.0127205,1.91926,
0.0135974,1.97525,
0.0144972,2.01684,
0.015424,2.07149,
0.0163552,2.10657,
0.017461,2.15286,
0.018563,2.18592,
0.0196715,2.11663,
0.0207513,2.25066,
0.0220539,2.23329,
0.0233377,2.3274,
0.0246452,2.30428,
0.0261637,2.33976,
0.027671,2.37763,
0.02918,2.40985,
0.0307024,2.43959,
0.0322293,2.46532,
0.0340151,2.49284,
0.0358042,2.52037,
0.0375952,2.54581,
0.0393871,2.5692,
0.0411945,2.59076,
0.0433121,2.61526,
0.0454251,2.63892,
0.0475512,2.66178,
0.0496924,2.68298,
0.0518484,2.70295,
0.0539996,2.72142,
0.0565258,2.74219,
0.0590461,2.76405,
0.0615727,2.78482,
0.0641055,2.8046,
0.0666613,2.8232,
0.0692377,2.84071,
0.0722427,2.86198,
0.0752435,2.88315,
0.078248,2.90331,
0.0812825,2.92215,
0.0843168,2.94121,
0.0873634,2.95821,
0.0904198,2.97626,
0.0934876,2.9931,
0.0970895,3.01216,
0.100675,3.03276,
0.104279,3.05188,
0.107892,3.06997,
0.111517,3.08754,
0.115152,3.1046,
0.118801,3.12155,
0.122455,3.13849,
0.126735,3.158,
0.131002,3.17685,
0.135288,3.19634,
0.139582,3.21439,
0.143805,3.23504,
0.148105,3.25144,
0.152452,3.26798,
0.156801,3.28415,
0.161156,3.30015,
0.165507,3.31602,
0.169857,3.33157,
0.174927,3.35005,
0.179985,3.36926,
0.185038,3.3917,
0.190237,3.40222,
0.195345,3.41991,
0.200422,3.43735,
0.205509,3.45498,
0.210536,3.47266,
0.215555,3.48667,
0.220252,3.53063,
0.224773,3.66271,
0.229353,3.67488,
0.233956,3.69854,
0.238559,3.71979,
0.243155,3.74618,
0.247727,3.77277,
