feature,importance_mean,importance_std
transition_x_ratio,0.3581017485357714,0.02174085480838279
post_slope_ratio,0.27498687231561897,0.013316646071135948
theta1,0.009458998300006549,0.0024324725230121056
theta2,0.005523815657342901,0.0026030089135930193
pt,0.0,0.0
case_id,0.0,0.0
transition_load_ratio,0.0,0.0
post_fraction,0.0,0.0
post_slope_drop,0.0,0.0
post_r2,0.0,0.0
post_nrmse,0.0,0.0
tail_r2,0.0,0.0
abs_quad_a,0.0,0.0
slope_drift,0.0,0.0
mean_abs_curvature,0.0,0.0
max_abs_curvature,0.0,0.0
data_quality_code,0.0,0.0
