case,test_id,label,theta1,theta2,pt,n_points,transition_index,transition_x_ratio,transition_load_ratio,post_points,post_fraction,pre_slope,post_slope_full,post_slope_early,post_slope_tail,post_slope_ratio,post_slope_drop,post_r2,post_nrmse,tail_r2,quad_a,abs_quad_a,slope_drift,mean_abs_curvature,max_abs_curvature,data_quality_code
Case3,Test_001,2,11.0,49.0,11016.5431411,1001,98,0.098,0.2777265925601691,883,0.8821178821178821,809667.5211031429,200888.41287111526,291042.26066371764,150637.01130892,0.5175777942536403,0.48242220574635974,0.9891660338084037,0.029299288850951344,0.9997821685360193,-0.3858641929669953,0.3858641929669953,0.6787663215656701,1.1026044469429337,9.040559779619002,0
Case3,Test_002,2,-15.0,-71.0,11700.1177156,1001,113,0.113,0.29588972683405973,868,0.8671328671328671,745325.7116151128,200651.34718063762,276773.7159301482,154147.11038206785,0.5569427352016739,0.4430572647983261,0.9913542893576271,0.026339650506633245,0.9998163716857646,-0.3486786472260854,0.3486786472260854,0.5977867195745855,0.973487911817831,8.410178036821662,0
Case3,Test_003,2,-88.0,11.0,10710.2722324,1001,98,0.098,0.2668873013212661,883,0.8821178821178821,794600.352672466,208769.50405974977,291584.26587501937,154658.90781921402,0.5304089620717218,0.4695910379282781,0.9894666127410906,0.029155328827092177,0.9997654125437399,-0.3871340090604689,0.3871340090604689,0.642522572473989,0.9979506714427991,8.857724449446664,0
Case3,Test_004,2,-25.0,-46.0,12392.9921577,1001,182,0.182,0.40335683095862485,799,0.7982017982017982,482389.0362067617,142796.83172427124,193695.50411038336,116152.59010743325,0.599665906758683,0.400334093241317,0.9938533056074832,0.022112250579466756,0.9998891274125655,-0.2898202216454832,0.2898202216454832,0.5294220758335586,0.8998642501781599,6.584720613433888,0
Case3,Test_005,2,32.0,27.0,11379.7484883,1001,149,0.149,0.3717949994311036,832,0.8311688311688312,535061.6070171148,144498.06415125527,198244.1473276339,112200.74258814247,0.5659725348799866,0.43402746512001344,0.9919067064311208,0.025493152170395314,0.9998240476752611,-0.33707805849693556,0.33707805849693556,0.5824394711529184,0.9183376439940475,7.334985860385018,0
Case3,Test_006,1,-76.0,-52.0,11416.5282671,1001,512,0.512,0.7335349254098726,469,0.46853146853146854,155944.11054061868,55548.03661290933,61099.00469858907,52457.879732777066,0.8585717556539583,0.14142824434604173,0.9995032808568018,0.006400044402896457,0.9999913153341092,-0.08403041124145945,0.08403041124145945,0.15439780311546517,0.2808187430426231,2.2405473395056674,0
Case3,Test_007,2,-66.0,-12.0,11246.0538027,1001,105,0.105,0.2786579352250505,876,0.8751248751248751,773479.2899313307,207014.50794184586,290888.4847146314,157481.04208890896,0.5413794301393596,0.4586205698606404,0.990511827787788,0.02752524617123352,0.9998028648801589,-0.3637267649145455,0.3637267649145455,0.6287380911519885,1.0323552581256037,8.883161273415112,0
Case3,Test_008,1,-43.0,77.0,13800.9876706,1001,395,0.395,0.6629026556974721,586,0.5854145854145855,243675.71475959895,77796.75861109474,80639.60223639706,72087.9158522261,0.8939517786917962,0.10604822130820374,0.9994557759605053,0.006825247613988276,0.9999789726460389,-0.08957451852294869,0.08957451852294869,0.11797872238652982,0.8088321698981826,43.036899159357375,0
Case3,Test_009,1,75.0,40.0,13748.8356,1001,347,0.347,0.5597620064767611,634,0.6333666333666333,276457.35707219184,106611.36300263737,135118.57857471096,92580.30650842903,0.6851782152018325,0.31482178479816747,0.9966498654283587,0.01641526173681151,0.9999584610620049,-0.21413893934420192,0.21413893934420192,0.3909802985988868,0.6068984673752906,2.723224448896133,0
Case3,Test_010,1,-63.0,87.0,7961.14295199,1001,468,0.468,0.6919100433608076,513,0.5124875124875125,117298.9527826384,43435.65318909829,48106.95233425623,41136.7936674766,0.8551111985155566,0.14488880148444333,0.9994972484026559,0.006426160077420703,0.9999926599757953,-0.083612370568012,0.083612370568012,0.1590561209523542,0.3095881969748027,2.879694313411221,0
