feature,scalar_importance,type_importance,curve_importance,combined_importance
angle_abs_std,0.11909852978933415,0.11909852978933415,0.11909852978933415,0.11909852978933415
angle_min_abs,0.08975506413292735,0.08975506413292735,0.08975506413292735,0.08975506413292735
b_coupling_norm,0.06705142864805083,0.06705142864805083,0.06705142864805083,0.06705142864805083
abs_theta1,0.06689287619229485,0.06689287619229485,0.06689287619229485,0.06689287619229485
d66,0.04590224377146764,0.04590224377146764,0.04590224377146764,0.04590224377146764
angle_max_abs,0.04252767270238244,0.04252767270238244,0.04252767270238244,0.04252767270238244
angle_abs_mean,0.041385318841957355,0.041385318841957355,0.041385318841957355,0.041385318841957355
a66,0.03824110540228894,0.03824110540228894,0.03824110540228894,0.03824110540228894
abs_theta2,0.03753677123680499,0.03753677123680499,0.03753677123680499,0.03753677123680499
d12,0.03746293017689282,0.03746293017689282,0.03746293017689282,0.03746293017689282
a12,0.03252988117237138,0.03252988117237138,0.03252988117237138,0.03252988117237138
b26,0.031535636307412324,0.031535636307412324,0.031535636307412324,0.031535636307412324
d11,0.029917130491449343,0.029917130491449343,0.029917130491449343,0.029917130491449343
b16,0.029292918830059116,0.029292918830059116,0.029292918830059116,0.029292918830059116
d11_d22_ratio,0.027838286995194656,0.027838286995194656,0.027838286995194656,0.027838286995194656
case_case3,0.02390687119893271,0.02390687119893271,0.02390687119893271,0.02390687119893271
a11_a22_ratio,0.02334200636834776,0.02334200636834776,0.02334200636834776,0.02334200636834776
a11,0.02054675300837475,0.02054675300837475,0.02054675300837475,0.02054675300837475
bending_anisotropy,0.02001895579948239,0.02001895579948239,0.02001895579948239,0.02001895579948239
d22,0.019658939971384376,0.019658939971384376,0.019658939971384376,0.019658939971384376
case_case4,0.01799604272642486,0.01799604272642486,0.01799604272642486,0.01799604272642486
a22,0.016909592918874408,0.016909592918874408,0.016909592918874408,0.016909592918874408
case_case2,0.016512250931390714,0.016512250931390714,0.016512250931390714,0.016512250931390714
theta_abs_diff,0.014831235013177794,0.014831235013177794,0.014831235013177794,0.014831235013177794
membrane_anisotropy,0.012767083701326544,0.012767083701326544,0.012767083701326544,0.012767083701326544
stack_balance_cos_sum,0.012666421555478532,0.012666421555478532,0.012666421555478532,0.012666421555478532
d_coupling_norm,0.008994482938098373,0.008994482938098373,0.008994482938098373,0.008994482938098373
stack_symmetry_mismatch,0.008653236529776051,0.008653236529776051,0.008653236529776051,0.008653236529776051
theta_sum,0.00774264269222975,0.00774264269222975,0.00774264269222975,0.00774264269222975
theta1,0.007184201177727702,0.007184201177727702,0.007184201177727702,0.007184201177727702
theta2,0.007169644521371027,0.007169644521371027,0.007169644521371027,0.007169644521371027
theta_diff,0.006730382023326273,0.006730382023326273,0.006730382023326273,0.006730382023326273
theta_product,0.006069553834342225,0.006069553834342225,0.006069553834342225,0.006069553834342225
d26,0.005680788502727478,0.005680788502727478,0.005680788502727478,0.005680788502727478
d16,0.005651119896318217,0.005651119896318217,0.005651119896318217,0.005651119896318217
