feature,scalar_importance,type_importance,curve_importance,combined_importance
angle_abs_std,0.10714990568873294,0.10714990568873294,0.10714990568873294,0.10714990568873294
angle_min_abs,0.10370348226313766,0.10370348226313766,0.10370348226313766,0.10370348226313766
b_coupling_norm,0.06520662838790386,0.06520662838790386,0.06520662838790386,0.06520662838790386
abs_theta1,0.06005374509564888,0.06005374509564888,0.06005374509564888,0.06005374509564888
d66,0.05492937102845271,0.05492937102845271,0.05492937102845271,0.05492937102845271
angle_abs_mean,0.04873191476623171,0.04873191476623171,0.04873191476623171,0.04873191476623171
angle_max_abs,0.04539987757634728,0.04539987757634728,0.04539987757634728,0.04539987757634728
d12,0.038408049342560514,0.038408049342560514,0.038408049342560514,0.038408049342560514
a12,0.03628262833162623,0.03628262833162623,0.03628262833162623,0.03628262833162623
a66,0.03374093836837043,0.03374093836837043,0.03374093836837043,0.03374093836837043
abs_theta2,0.03231830197058062,0.03231830197058062,0.03231830197058062,0.03231830197058062
d11_d22_ratio,0.031271217169182734,0.031271217169182734,0.031271217169182734,0.031271217169182734
b26,0.031046162601994484,0.031046162601994484,0.031046162601994484,0.031046162601994484
d11,0.027298656921308673,0.027298656921308673,0.027298656921308673,0.027298656921308673
b16,0.026262378787559153,0.026262378787559153,0.026262378787559153,0.026262378787559153
case_case3,0.025932972184753166,0.025932972184753166,0.025932972184753166,0.025932972184753166
a11_a22_ratio,0.024980966700145314,0.024980966700145314,0.024980966700145314,0.024980966700145314
case_case4,0.02247841514734322,0.02247841514734322,0.02247841514734322,0.02247841514734322
a11,0.022034569585785303,0.022034569585785303,0.022034569585785303,0.022034569585785303
bending_anisotropy,0.017251597130378896,0.017251597130378896,0.017251597130378896,0.017251597130378896
d22,0.01635363940343769,0.01635363940343769,0.01635363940343769,0.01635363940343769
case_case2,0.015815546529405474,0.015815546529405474,0.015815546529405474,0.015815546529405474
theta_abs_diff,0.014954338354104826,0.014954338354104826,0.014954338354104826,0.014954338354104826
membrane_anisotropy,0.01338123184407354,0.01338123184407354,0.01338123184407354,0.01338123184407354
a22,0.013012047329158973,0.013012047329158973,0.013012047329158973,0.013012047329158973
stack_symmetry_mismatch,0.0107294707417143,0.0107294707417143,0.0107294707417143,0.0107294707417143
d_coupling_norm,0.008402087097912483,0.008402087097912483,0.008402087097912483,0.008402087097912483
theta_diff,0.0070811958186353585,0.0070811958186353585,0.0070811958186353585,0.0070811958186353585
theta1,0.006980164934196094,0.006980164934196094,0.006980164934196094,0.006980164934196094
theta2,0.006949362905731051,0.006949362905731051,0.006949362905731051,0.006949362905731051
stack_balance_cos_sum,0.006905842443223857,0.006905842443223857,0.006905842443223857,0.006905842443223857
theta_sum,0.006841858333445294,0.006841858333445294,0.006841858333445294,0.006841858333445294
theta_product,0.006252705390038463,0.006252705390038463,0.006252705390038463,0.006252705390038463
d26,0.006217194086640712,0.006217194086640712,0.006217194086640712,0.006217194086640712
d16,0.005641535740237799,0.005641535740237799,0.005641535740237799,0.005641535740237799
