feature,scalar_importance,type_importance,curve_importance,combined_importance
angle_abs_std,0.1269637557703223,0.1269637557703223,0.1269637557703223,0.1269637557703223
angle_min_abs,0.10516808099403822,0.10516808099403822,0.10516808099403822,0.10516808099403822
b_coupling_norm,0.07159651930407135,0.07159651930407135,0.07159651930407135,0.07159651930407135
abs_theta1,0.05958351023950566,0.05958351023950566,0.05958351023950566,0.05958351023950566
d66,0.050812274906474136,0.050812274906474136,0.050812274906474136,0.050812274906474136
a66,0.038913811098546636,0.038913811098546636,0.038913811098546636,0.038913811098546636
d12,0.03733749904824899,0.03733749904824899,0.03733749904824899,0.03733749904824899
angle_max_abs,0.0359111721514365,0.0359111721514365,0.0359111721514365,0.0359111721514365
a12,0.03353060090894304,0.03353060090894304,0.03353060090894304,0.03353060090894304
angle_abs_mean,0.03285371160531916,0.03285371160531916,0.03285371160531916,0.03285371160531916
abs_theta2,0.029320099116613388,0.029320099116613388,0.029320099116613388,0.029320099116613388
b26,0.027755876683653286,0.027755876683653286,0.027755876683653286,0.027755876683653286
d11_d22_ratio,0.026061110913361708,0.026061110913361708,0.026061110913361708,0.026061110913361708
d11,0.025264296639904715,0.025264296639904715,0.025264296639904715,0.025264296639904715
a11_a22_ratio,0.024856330982784003,0.024856330982784003,0.024856330982784003,0.024856330982784003
d22,0.02432196289795683,0.02432196289795683,0.02432196289795683,0.02432196289795683
a11,0.02431926855254821,0.02431926855254821,0.02431926855254821,0.02431926855254821
b16,0.023844051794081767,0.023844051794081767,0.023844051794081767,0.023844051794081767
case_case4,0.02195992395135704,0.02195992395135704,0.02195992395135704,0.02195992395135704
case_case2,0.021134493370340356,0.021134493370340356,0.021134493370340356,0.021134493370340356
case_case3,0.021088356436796355,0.021088356436796355,0.021088356436796355,0.021088356436796355
bending_anisotropy,0.014572645818881838,0.014572645818881838,0.014572645818881838,0.014572645818881838
a22,0.01436704036251337,0.01436704036251337,0.01436704036251337,0.01436704036251337
theta_abs_diff,0.01170366197744011,0.01170366197744011,0.01170366197744011,0.01170366197744011
membrane_anisotropy,0.011419001509958572,0.011419001509958572,0.011419001509958572,0.011419001509958572
stack_symmetry_mismatch,0.010793160030036088,0.010793160030036088,0.010793160030036088,0.010793160030036088
stack_balance_cos_sum,0.009466658021858844,0.009466658021858844,0.009466658021858844,0.009466658021858844
theta1,0.009171346164739629,0.009171346164739629,0.009171346164739629,0.009171346164739629
theta2,0.009089991016141797,0.009089991016141797,0.009089991016141797,0.009089991016141797
theta_diff,0.00866240651136195,0.00866240651136195,0.00866240651136195,0.00866240651136195
d_coupling_norm,0.008502377406654726,0.008502377406654726,0.008502377406654726,0.008502377406654726
theta_sum,0.008237060098708686,0.008237060098708686,0.008237060098708686,0.008237060098708686
d16,0.008161024467856931,0.008161024467856931,0.008161024467856931,0.008161024467856931
d26,0.006892027154333544,0.006892027154333544,0.006892027154333544,0.006892027154333544
theta_product,0.006364892093210509,0.006364892093210509,0.006364892093210509,0.006364892093210509
