feature,scalar_importance,type_importance,curve_importance,combined_importance
angle_abs_std,0.07093595484137365,0.1522035053725635,0.08941242531493722,0.10418396184295813
panel_b_in,0.08637729928961346,0.06227842383935425,0.0401299559377931,0.06292855968892026
angle_min_abs,0.0478422651227946,0.07126256898517791,0.053267167909174754,0.05745733400571575
b_slenderness,0.08847655222304891,0.037055533941753184,0.03343482435312651,0.05298897017264287
panel_aspect,0.07143043904052142,0.03699493270665444,0.027190170203271052,0.04520518065014897
angle_max_abs,0.025578876748133007,0.04664605456427753,0.030782750705176016,0.034335894005862184
a12,0.036866405519961926,0.02362165371688736,0.03062421498897156,0.03037075807527362
theta_abs_diff,0.022647304027004954,0.036215668631453445,0.031512909156865665,0.030125293938441353
a11_a22_ratio,0.024744110063083958,0.026726180327903113,0.027702650998917125,0.026390980463301395
a66,0.030318147495905855,0.014141240777144163,0.03122861561202487,0.02522933462835829
d12,0.027082332344405175,0.014841323993700466,0.032254123501443153,0.02472592661318293
d11,0.024070899016105592,0.0198321404703059,0.02876681317196303,0.024223284219458175
d66,0.028771354811040897,0.012507908729819307,0.029102940073604106,0.023460734538154768
bending_anisotropy,0.022975744723324556,0.01812704663024748,0.02841780839935938,0.023173533250977138
a22,0.02385475107658079,0.02405249867025587,0.021196021797395635,0.02303442384807743
d11_d22_ratio,0.02060465585503638,0.023373833386391683,0.024432246125696878,0.022803578455708313
abs_theta1,0.02703970138190231,0.021089172381215538,0.01915330236766922,0.02242739204359569
membrane_anisotropy,0.02344399897342103,0.01549461401567135,0.02811910144287715,0.022352571477323172
a11,0.02192202256252021,0.01778701645346321,0.026956522924167264,0.02222185398005023
abs_theta2,0.024298401154981344,0.021669891914668067,0.01889535811028521,0.021621217059978205
case_case4,0.015678355780176696,0.02690010828112339,0.020467624788042416,0.021015362949780833
angle_abs_mean,0.026046842378900422,0.01638878051521373,0.01961900380242247,0.02068487556551221
b_coupling_norm,0.01252327997471125,0.0202701108394552,0.023549400300715267,0.01878093037162724
case_case3,0.016457857680845654,0.019125384818769218,0.01986408495365813,0.018482442484424332
d22,0.02048425271777155,0.013758292290617305,0.021079988075404503,0.01844084436126445
d16,0.01308065827326179,0.022785023189726798,0.018450486875433353,0.018105389446140648
theta_sum,0.013998272867932754,0.020543470394219797,0.019195711343552958,0.0179124848685685
case_case2,0.015596147264733034,0.01891194100668556,0.018393367715142356,0.017633818662186985
stack_symmetry_mismatch,0.013435899285063066,0.0145009167960864,0.024104513020939796,0.01734710970069642
d_coupling_norm,0.012115238582240591,0.021436281656725346,0.017959116811158856,0.017170212350041597
theta2,0.01474465096080377,0.015842761719560026,0.01891411237730729,0.016500508352557026
d26,0.011431766982599439,0.015871285614869727,0.018845203512861727,0.015382752036776965
theta1,0.013614320829070985,0.013996071083533188,0.01775075575288802,0.015120382555164064
stack_balance_cos_sum,0.015492082227779522,0.009325018293013607,0.020262364340757757,0.015026488287183629
b26,0.0074607575147432326,0.019631528335210743,0.016581304213158784,0.01455786335437092
b16,0.0077614361293398305,0.017832590583154253,0.01619851163969438,0.013930846117396154
theta_diff,0.011489082262260069,0.008140641167662893,0.01786652961414888,0.012498751014690612
theta_product,0.009307882017006403,0.008818583905465067,0.018317997767994174,0.012148154563488547
a_slenderness,0.0,0.0,0.0,0.0
panel_a_in,0.0,0.0,0.0,0.0
