case,test_id,theta1,theta2,true_pt,variable,delta_deg,base_pt,minus_pt,plus_pt,central_sensitivity_pt_per_deg,base_type_pred,minus_type_pred,plus_type_pred
Case2,6x8_279,-88.0,-89.0,3213.6378290081702,theta1,5.0,3324.152920859021,3333.5305219253996,3378.3549695320366,4.482444760663702,1,1,1
Case2,6x8_279,-88.0,-89.0,3213.6378290081702,theta2,5.0,3324.152920859021,3324.3320189732503,3381.4133108764995,5.708129190324916,1,1,1
Case3,6x8_298,-19.0,-23.0,6549.298616527987,theta1,5.0,5978.00312256914,6895.234729701973,5481.949268061787,-141.32854616401863,3,3,3
Case3,6x8_298,-19.0,-23.0,6549.298616527987,theta2,5.0,5978.00312256914,6576.611046177694,5511.266460937417,-106.53445852402774,3,3,3
Case4,6x8_102,76.0,-24.0,7559.699790121312,theta1,5.0,7382.320680502099,7671.940970455667,7247.637003845582,-42.43039666100858,2,2,2
Case4,6x8_102,76.0,-24.0,7559.699790121312,theta2,5.0,7382.320680502099,7786.978671655565,7021.153964097193,-76.58247075583722,2,2,2
Case3,6x4_272,72.0,69.0,8582.788953184589,theta1,5.0,8318.968762014048,9115.071050281831,7794.07250472552,-132.0998545556311,1,1,1
Case3,6x4_272,72.0,69.0,8582.788953184589,theta2,5.0,8318.968762014048,9329.481582246195,7626.891178364138,-170.25904038820573,1,1,1
Case3,6x4_094,73.0,-55.0,11154.074047091275,theta1,5.0,11463.685683907886,12367.428268497784,10639.845533408237,-172.7582735089547,1,1,1
Case3,6x4_094,73.0,-55.0,11154.074047091275,theta2,5.0,11463.685683907886,10222.6108700787,12852.146189390689,262.9535319311988,1,1,1
Case3,6x4_047,42.0,27.0,16670.4063688223,theta1,5.0,17284.21467617587,17871.567393779675,17223.14778802773,-64.84196057519439,2,2,2
Case3,6x4_047,42.0,27.0,16670.4063688223,theta2,5.0,17284.21467617587,19150.852400700336,15926.864424547613,-322.39879761527226,2,2,1
Case4,6x4_293,-28.0,11.0,19825.369609052064,theta1,5.0,22168.13477773132,23062.893699673627,20026.523746569925,-303.6369953103702,3,3,3
Case4,6x4_293,-28.0,11.0,19825.369609052064,theta2,5.0,22168.13477773132,21629.83286400666,22550.901799472464,92.10689354658025,3,3,3
Case2,6x4_167,-4.0,-6.0,34578.323502431216,theta1,5.0,19964.988488238603,20013.706668741168,19609.330927157836,-40.437574158333156,3,3,3
Case2,6x4_167,-4.0,-6.0,34578.323502431216,theta2,5.0,19964.988488238603,19775.26371077206,19867.811762706075,9.254805193401626,3,3,3
