feature,scalar_importance,type_importance,curve_importance,combined_importance
angle_min_abs,0.07108725752597547,0.10405237642999228,0.0693396952329546,0.08149310972964079
angle_abs_std,0.06256114347911443,0.10372584240310331,0.07707046684202083,0.08111915090807953
panel_aspect,0.08537827384423652,0.03155885714621232,0.034503543062067765,0.0504802246841722
b_slenderness,0.07086724233590197,0.03615187327137934,0.032056787914640394,0.046358634507307234
panel_b_in,0.07349675629339386,0.03271127430670546,0.03187308434539336,0.04602703831516423
abs_theta1,0.05153425897799397,0.0531411464408338,0.029198770622138465,0.04462472534698875
d66,0.027921560369266876,0.030890273484564034,0.030558015848325203,0.029789949900718704
d12,0.031160450660183036,0.028367844144589417,0.02548082960686559,0.02833637480387935
d11_d22_ratio,0.027524413984378458,0.03358327853828051,0.023660884205585094,0.02825619224274802
angle_max_abs,0.02211680397632723,0.03148662159451894,0.029947350724089543,0.02785025876497857
theta_abs_diff,0.021014416109344944,0.030019352023403403,0.031008804369467825,0.02734752416740539
a66,0.024389199391345207,0.025775913248217843,0.030837836463117343,0.027000983034226798
case_case3,0.02371918922976519,0.026622095866250667,0.027600345812081827,0.025980543636032565
abs_theta2,0.02652901476174277,0.029701873894526012,0.02161187560691007,0.02594758808772628
bending_anisotropy,0.017562853823666288,0.025165484201191683,0.027328831488272993,0.02335238983771032
membrane_anisotropy,0.020147581413172203,0.021061105138162606,0.027409447356983054,0.02287271130277262
d11,0.01973641920082569,0.02328920302771006,0.022300496701902022,0.02177537297681259
d22,0.020490578616621413,0.02339918789339733,0.02137066494641084,0.021753477152143194
angle_abs_mean,0.018865124516414308,0.020614180575819544,0.019359999824774956,0.019613101639002938
case_case4,0.020078513460741434,0.017626786241892404,0.020700346289141105,0.019468548663924983
theta_sum,0.018216732032289445,0.017089271938910498,0.02265204194435167,0.019319348638517204
b_coupling_norm,0.012013754636473138,0.022782614124269296,0.02263863033915288,0.019144999699965106
a12,0.01868316892485077,0.018918554724301363,0.019408904900286617,0.019003542849812916
stack_balance_cos_sum,0.016561953642043162,0.01996813330384244,0.019792365668458906,0.01877415087144817
a11_a22_ratio,0.01966878109541389,0.01688291681507645,0.018624602222578883,0.018392100044356405
case_case2,0.017518858849611522,0.01596125033410696,0.021323438352625658,0.018267849178781378
a11,0.015074566734845156,0.013227304254515886,0.02368850522288268,0.017330125404081242
stack_symmetry_mismatch,0.013047504591883665,0.017201945274319952,0.02125154311453129,0.01716699766024497
theta1,0.017995215667423514,0.012818694999792435,0.020387583236282533,0.017067164634499494
d26,0.013407476644503808,0.012941863825696278,0.02382501794529321,0.016724786138497764
d16,0.013657039728147052,0.015638800074269682,0.01974591088379287,0.016347250228736534
d_coupling_norm,0.010595930584583859,0.01586179048901629,0.02027878414826389,0.01557883507395468
theta_diff,0.014290624667953536,0.01199211544794444,0.019897539690909523,0.015393426602269167
b26,0.012342210619042627,0.011535853221197873,0.02215850819689882,0.015345524012379772
theta2,0.013343268407055745,0.013433444054687972,0.019139158425575953,0.015305290295773225
b16,0.012373319128872096,0.013381185617140766,0.017633160601044254,0.014462555115685704
a22,0.013845664843462875,0.010972299520169922,0.01715578284953175,0.013991249071054849
theta_product,0.01118287723113281,0.010447392109990536,0.017180444994395725,0.012936904778506356
a_slenderness,0.0,0.0,0.0,0.0
panel_a_in,0.0,0.0,0.0,0.0
