case,test_id,theta1,theta2,true_pt,variable,delta_deg,base_pt,minus_pt,plus_pt,central_sensitivity_pt_per_deg,base_type_pred,minus_type_pred,plus_type_pred
Case2,6x8_279,-88.0,-89.0,3213.6378290081702,theta1,5.0,3213.5598588383236,3242.731887402115,3224.9642424174203,-1.776764498469447,1,1,1
Case2,6x8_279,-88.0,-89.0,3213.6378290081702,theta2,5.0,3213.5598588383236,3242.0003571186453,3206.991443744254,-3.500891337439134,1,1,1
Case3,6x8_298,-19.0,-23.0,6549.298616527987,theta1,5.0,5735.058038862879,6226.46592829445,5438.922122307547,-78.75438059869029,3,3,3
Case3,6x8_298,-19.0,-23.0,6549.298616527987,theta2,5.0,5735.058038862879,6656.285593203118,5283.450720055562,-137.28348731475563,3,3,3
Case4,6x8_102,76.0,-24.0,7559.699790121312,theta1,5.0,7334.459265528207,7596.627215141324,7071.616771152692,-52.50104439886318,2,2,2
Case4,6x8_102,76.0,-24.0,7559.699790121312,theta2,5.0,7334.459265528207,7758.252139359715,6821.157138712747,-93.70950006469684,2,2,2
Case3,6x4_272,72.0,69.0,8582.788953184589,theta1,5.0,8470.577432830194,9017.852942573472,8081.551234903439,-93.63017076700335,1,1,1
Case3,6x4_272,72.0,69.0,8582.788953184589,theta2,5.0,8470.577432830194,9663.459635171328,7655.797430582663,-200.7662204588665,1,1,1
Case3,6x4_094,73.0,-55.0,11154.074047091275,theta1,5.0,11933.795250683974,12490.414518658992,11319.517664507764,-117.08968541512277,1,1,1
Case3,6x4_094,73.0,-55.0,11154.074047091275,theta2,5.0,11933.795250683974,10115.549674327454,13924.387726479068,380.8838052151614,1,1,1
Case3,6x4_047,42.0,27.0,16670.4063688223,theta1,5.0,17851.95734804396,18320.719688623987,17699.490859023852,-62.12288296001352,2,2,2
Case3,6x4_047,42.0,27.0,16670.4063688223,theta2,5.0,17851.95734804396,19666.82566143285,16728.077148159788,-293.87485132730615,2,2,2
Case4,6x4_293,-28.0,11.0,19825.369609052064,theta1,5.0,21470.51880589579,22373.82933582905,20754.669676220783,-161.91596596082672,3,3,3
Case4,6x4_293,-28.0,11.0,19825.369609052064,theta2,5.0,21470.51880589579,21138.492755062292,21403.42221565637,26.492946059407767,3,3,3
Case2,6x4_167,-4.0,-6.0,34578.323502431216,theta1,5.0,18095.508582033475,18157.66005644246,18255.556935216584,9.789687877412508,3,3,3
Case2,6x4_167,-4.0,-6.0,34578.323502431216,theta2,5.0,18095.508582033475,18331.31045063903,18138.5766399664,-19.27338106726311,3,3,3
