feature,scalar_importance,type_importance,curve_importance,combined_importance
angle_min_abs,0.26646316063357367,0.05195006190640022,0.1315005204839224,0.1499712476746321
a11,0.12813288063565367,0.0826466203396627,0.10802956822445954,0.10626968973325863
d11,0.12865975048275233,0.08276310119533842,0.1027701023034364,0.10473098466050905
panel_aspect,0.10925049804443375,0.014288922485871691,0.05740416755470254,0.06031452936166933
membrane_anisotropy,0.060404072965923254,0.06985544137670546,0.044925750247965,0.05839508819686457
bending_anisotropy,0.0555191364124681,0.07339109706664387,0.04309213021120516,0.05733412123010571
angle_abs_std,0.002932520668872481,0.026861970120017613,0.09871882425699859,0.04283777168196289
stack_balance_cos_sum,0.025633528246602696,0.06523845604240894,0.034924511439635916,0.04193216524288251
d11_d22_ratio,0.007550582993949633,0.07396189511354395,0.03793368832778129,0.039815388811758286
a11_a22_ratio,0.012288093009953168,0.06560666656457145,0.03803648302436829,0.0386437475329643
angle_max_abs,0.0010318732583284966,0.035562576750072725,0.07797426022662685,0.03818957007834269
panel_b_in,0.046130398105064356,0.013904680511794559,0.03580008027824848,0.031945052965035796
b_slenderness,0.04140062266893215,0.014646060979287324,0.035066092758810806,0.03037092546901009
angle_abs_mean,0.016761268960435845,0.05230457683723725,0.01878209059629359,0.02928264546465556
d22,0.010082558032742382,0.0442993294146901,0.013815211162332555,0.022732366203255014
a22,0.007444015969311309,0.04492354931899613,0.014249386415586655,0.022205650567964696
a12,0.019413313404448466,0.01471371685988272,0.022334891058940466,0.01882064044109055
a66,0.017787657404048855,0.015252840925391153,0.022856664308566584,0.0186323875460022
d66,0.018101791064771267,0.015242520358045863,0.022153062115839436,0.01849912451288552
d12,0.01907631394653005,0.013529038002615894,0.020977607150824213,0.017860986366656718
abs_theta1,0.001187704406502792,0.018287256662403037,0.004946248399673355,0.008140403156193061
abs_theta2,0.0008611988146196693,0.019000933209323802,0.0027101644403952872,0.007524098821446254
theta_abs_diff,0.00030028497160883305,0.011511745543149121,0.0011693948244237893,0.004327141779727248
stack_symmetry_mismatch,0.00020497494652408098,0.01131329810514086,0.00031858562689385483,0.003945619559519599
theta_product,0.0010538155444460582,0.00779711652973239,0.001034533714712728,0.0032951552629637247
case_case3,0.00039606892425892896,0.007333731685372275,0.001884004775334895,0.0032046017949886995
case_case4,9.27103761911463e-05,0.007191204161274844,4.1302149583839996e-05,0.002441738895683277
d_coupling_norm,0.00021090552187849338,0.005778989936018128,0.000127955349343449,0.002039283602413357
theta_diff,0.00018052677844443535,0.004322118926167757,0.0011798092595232004,0.0018941516547117973
d16,0.00014855494242872413,0.005121702950183924,0.00013801808771269296,0.001802758660108447
b_coupling_norm,0.00013329315272401533,0.004983508678662961,0.00026852724918674455,0.0017951096935245735
theta2,0.00022673368235202616,0.004089750320612201,0.00104963592092968,0.001788706641297969
theta1,0.00022546303144708508,0.0035360328342580426,0.0013707540594418608,0.0017107499750489963
d26,0.0002134508060834407,0.004564317647656567,0.00035292455308501367,0.0017102310022750072
b16,0.00013498237883805103,0.0044032790173677725,0.00042045001807570706,0.00165290380476051
b26,0.00012267749661517473,0.004109859132899175,0.00035315725742370263,0.0015285646289793509
theta_sum,0.00021687323276166652,0.003022324287954712,0.001253173334489468,0.001497456951735282
case_case2,2.5744083479462278e-05,0.00268970820264442,3.6268833225958925e-05,0.0009172403731166138
a_slenderness,0.0,0.0,0.0,0.0
panel_a_in,0.0,0.0,0.0,0.0
