case,test_id,theta1,theta2,true_pt,variable,delta_deg,base_pt,minus_pt,plus_pt,central_sensitivity_pt_per_deg,base_type_pred,minus_type_pred,plus_type_pred
Case2,6x8_279,-88.0,-89.0,3213.6378290081702,theta1,5.0,3213.6378290081807,3232.026035802913,3390.0257241602585,15.799968835734536,1,1,1
Case2,6x8_279,-88.0,-89.0,3213.6378290081702,theta2,5.0,3213.6378290081807,3259.423470414663,3377.478578729201,11.80551083145383,1,1,1
Case3,6x8_298,-19.0,-23.0,6549.298616527987,theta1,5.0,6549.298616527924,7316.728447332559,5963.334920901574,-135.3393526430985,3,3,3
Case3,6x8_298,-19.0,-23.0,6549.298616527987,theta2,5.0,6549.298616527924,6916.912281641546,6348.994715225713,-56.79175664158329,3,3,3
Case4,6x8_102,76.0,-24.0,7559.699790121312,theta1,5.0,7559.699790121285,7708.481623221554,7519.376723175996,-18.910490004555868,2,2,2
Case4,6x8_102,76.0,-24.0,7559.699790121312,theta2,5.0,7559.699790121285,7864.914208971581,7117.296959759642,-74.76172492119386,2,2,2
Case3,6x4_272,72.0,69.0,8582.788953184589,theta1,5.0,8582.788953184416,9145.395119376706,7732.005192686484,-141.33899266902216,1,1,1
Case3,6x4_272,72.0,69.0,8582.788953184589,theta2,5.0,8582.788953184416,9275.080796068132,7688.13511263949,-158.69456834286422,1,1,1
Case3,6x4_094,73.0,-55.0,11154.074047091275,theta1,5.0,11154.07404709127,11912.249662288932,10495.006879153936,-141.7242783134996,1,1,1
Case3,6x4_094,73.0,-55.0,11154.074047091275,theta2,5.0,11154.07404709127,10201.839920315542,12269.778124439894,206.79382041243517,1,1,1
Case3,6x4_047,42.0,27.0,16670.4063688223,theta1,5.0,16670.406368821998,17283.715668899193,16731.53297525134,-55.21826936478537,2,2,2
Case3,6x4_047,42.0,27.0,16670.4063688223,theta2,5.0,16670.406368821998,18427.590930822458,16032.521697816033,-239.50692330064248,2,2,1
Case4,6x4_293,-28.0,11.0,19825.369609052064,theta1,5.0,19825.369609052217,21019.062508891646,19083.213811017235,-193.58486978744114,3,3,3
Case4,6x4_293,-28.0,11.0,19825.369609052064,theta2,5.0,19825.369609052217,20132.004221488965,20458.219028348612,32.621480685964706,3,3,3
Case2,6x4_167,-4.0,-6.0,34578.323502431216,theta1,5.0,34578.32350243169,18763.84083448532,17888.655395790032,-87.51854386952873,3,3,3
Case2,6x4_167,-4.0,-6.0,34578.323502431216,theta2,5.0,34578.32350243169,17727.714830352164,17318.886245814923,-40.88285845372411,3,3,3
