feature,scalar_importance,type_importance,curve_importance,combined_importance
angle_min_abs,0.3642803322056583,0.06259948012787867,0.17293506382349877,0.19993829205234526
d11,0.12847304990022518,0.07857034587124162,0.0989237864292954,0.10198906073358739
a11,0.09454315120801225,0.07080296569495392,0.0759866886091225,0.08044426850402957
bending_anisotropy,0.06192679275894179,0.07748158320972107,0.04545866221868624,0.0616223460624497
panel_aspect,0.10926052936236642,0.01418489028897076,0.05298438383013082,0.058809934493822665
angle_abs_std,0.004333623894460823,0.03420930160385858,0.10869242971207237,0.04907845173679726
angle_max_abs,0.001994143676579022,0.04395214031136217,0.09678844142176075,0.04757824180323398
d11_d22_ratio,0.008524338189474602,0.0764205385301106,0.04660941571332681,0.04385143081097067
membrane_anisotropy,0.03130278762815428,0.06358102924521787,0.02466132519253309,0.03984838068863508
a11_a22_ratio,0.008676445105132888,0.062010494731342354,0.03345409181528833,0.034713677217254525
b_slenderness,0.0482480447144524,0.014327001664342157,0.0370028595823431,0.033192635320379214
panel_b_in,0.03854853257249421,0.013996667009387226,0.03459264755168597,0.029045949044522467
stack_balance_cos_sum,0.010424057370004921,0.04937663416551317,0.016055975960189133,0.02528555583190241
d22,0.0032104052883127,0.04432447413486448,0.01874036535816065,0.022091748260445947
angle_abs_mean,0.008663902339210772,0.04042666454139897,0.01660233419482572,0.02189763369181182
a22,0.0027078148260251955,0.04052732093710314,0.01314262972112922,0.01879258849475252
d66,0.016540749905227754,0.015962321507581808,0.020870070348788225,0.01779104725386593
d12,0.016759966984820133,0.01605429991449678,0.020371174961774836,0.017728480620363918
abs_theta1,0.00847594550518738,0.0306826399600436,0.013540766345067196,0.017566450603432728
a12,0.013800387888906869,0.0162829164344342,0.01632085529156339,0.015468053204968154
a66,0.013172625020849527,0.015557040886313492,0.016261484044048716,0.014997049983737245
abs_theta2,0.0009733816578069254,0.021996245025067234,0.00418409069621761,0.009051239126363924
theta_abs_diff,0.000661920603619713,0.016652207051365244,0.0025425360278803493,0.006618887894288435
theta_product,0.001138736666464485,0.01199735350051135,0.0022520968638561536,0.005129395676943997
theta1,0.0003638060094692326,0.006298053327917808,0.002384976137962683,0.003015611825116574
theta_diff,0.00033489094262905724,0.00687122238115304,0.0016348264010421414,0.0029469799082747464
stack_symmetry_mismatch,0.00016785549784311662,0.008061797313313473,0.0002464181051113804,0.0028253569720893233
case_case3,0.0006676406632691118,0.005766457450956944,0.0013407905208084206,0.002591629545011492
theta2,0.0003499797387587992,0.005289989386242715,0.0016542230847479066,0.002431397403249807
theta_sum,0.00032470229748508,0.004418600690775538,0.0018291605095677496,0.0021908211659427894
b_coupling_norm,0.00019348564892331815,0.0045354888293561895,0.00034767509907093373,0.0016922165257834802
b26,0.00033456695324723403,0.004077926205323027,0.00034819223109743794,0.001586895129889233
b16,0.00022749278445761194,0.0039263470447766504,0.00045496633294067097,0.0015362687207249777
d16,7.405789363019374e-05,0.0041515578521387295,0.00024672692079228444,0.001490780888853736
case_case4,2.605225924468495e-05,0.004397606352359074,1.555946989049789e-05,0.001479739360498086
d_coupling_norm,0.00017585497153005354,0.003991558705687304,0.00026659867443540504,0.0014780041172175876
d26,8.570976640627875e-05,0.0037607103464206044,0.00020748540662655037,0.001351301839817811
case_case2,3.223930071769096e-05,0.002476127766498598,4.822539266056651e-05,0.0008521974866256186
a_slenderness,0.0,0.0,0.0,0.0
panel_a_in,0.0,0.0,0.0,0.0
