case,test_id,theta1,theta2,true_pt,variable,delta_deg,base_pt,minus_pt,plus_pt,central_sensitivity_pt_per_deg,base_type_pred,minus_type_pred,plus_type_pred
Case2,6x8_279,-88.0,-89.0,3213.6378290081702,theta1,5.0,3213.6378290081807,3229.4809122489087,3458.2333328927325,22.875242064382384,1,1,1
Case2,6x8_279,-88.0,-89.0,3213.6378290081702,theta2,5.0,3213.6378290081807,3241.793917693984,3383.6186985437703,14.18247808497863,1,1,1
Case3,6x8_298,-19.0,-23.0,6549.298616527987,theta1,5.0,6549.298616527924,7394.586138809138,6142.334029703818,-125.22521091053204,3,3,3
Case3,6x8_298,-19.0,-23.0,6549.298616527987,theta2,5.0,6549.298616527924,7148.93842386359,6481.455662402775,-66.74827614608157,3,3,3
Case4,6x8_102,76.0,-24.0,7559.699790121312,theta1,5.0,7559.699790121285,7656.301178262794,7533.614735835487,-12.268644242730625,2,2,2
Case4,6x8_102,76.0,-24.0,7559.699790121312,theta2,5.0,7559.699790121285,7861.484722675635,7050.301330205719,-81.11833924699158,2,2,2
Case3,6x4_272,72.0,69.0,8582.788953184589,theta1,5.0,8582.788953184416,8835.779233316722,8114.068456791747,-72.17107765249747,1,1,1
Case3,6x4_272,72.0,69.0,8582.788953184589,theta2,5.0,8582.788953184416,9998.228358528517,7611.3076965495065,-238.69206619790103,1,1,1
Case3,6x4_094,73.0,-55.0,11154.074047091275,theta1,5.0,11154.07404709127,12478.153559108434,10607.84616975463,-187.03073893538038,1,1,1
Case3,6x4_094,73.0,-55.0,11154.074047091275,theta2,5.0,11154.07404709127,10662.569087524269,12914.731860459751,225.21627729354822,1,1,1
Case3,6x4_047,42.0,27.0,16670.4063688223,theta1,5.0,16670.406368821998,17281.980801668127,16893.952175636714,-38.80286260314133,2,2,2
Case3,6x4_047,42.0,27.0,16670.4063688223,theta2,5.0,16670.406368821998,18777.445494846525,16366.11177235677,-241.1333722489755,2,2,2
Case4,6x4_293,-28.0,11.0,19825.369609052064,theta1,5.0,19825.369609052217,21048.774673158154,19295.882794792113,-175.2891878366041,3,2,3
Case4,6x4_293,-28.0,11.0,19825.369609052064,theta2,5.0,19825.369609052217,20333.01675497699,20262.526804545334,-7.0489950431656325,3,3,3
Case2,6x4_167,-4.0,-6.0,34578.323502431216,theta1,5.0,34578.32350243169,17857.69815886189,17883.64865491215,2.5950496050259972,3,3,3
Case2,6x4_167,-4.0,-6.0,34578.323502431216,theta2,5.0,34578.32350243169,17286.959362828482,17447.234041350854,16.02746785223717,3,3,3
