feature,scalar_importance,type_importance,curve_importance,combined_importance
angle_abs_std,0.055922409813824486,0.07329803899339314,0.06582335568477242,0.06501460149733003
a66_geom_ratio,0.03908776787899642,0.08180537340260799,0.06270002027859602,0.06119772052006683
angle_min_abs,0.05941141253993238,0.04481392124315023,0.06863691337173931,0.057620749051607315
d12,0.04018490462265429,0.03666558904977521,0.0295650882050026,0.0354718606258107
d11_d22_ratio,0.03326035024196457,0.034748345633759295,0.025535616223077973,0.031181437366267283
bending_anisotropy,0.035082350239410455,0.026496562790908392,0.02934619927114344,0.030308370767154102
d66,0.03124987376886765,0.02739928996854835,0.02760969475678093,0.028752952831398983
d11,0.025201199988733044,0.02349560719539052,0.028233751710099494,0.025643519631407697
b11_d11_ratio,0.023319671852048703,0.03156312974276267,0.02116320863562889,0.025348670076813427
abs_theta1,0.03400865080198517,0.023125191510964805,0.01806795780393659,0.025067266705628862
a12,0.026496624888872354,0.02138160540206715,0.026125907062874897,0.024668045784604804
b66,0.02231955546742532,0.026330798130926283,0.02506283994817445,0.024571064515508688
a11_a22_ratio,0.02664668883790952,0.027038590511765926,0.019212042683278745,0.024299107344318067
a66,0.032176127783642,0.01682790199366562,0.020706900429131616,0.023236976735479746
abs_theta2,0.032557555790604056,0.017956555301665872,0.01583220329192918,0.02211543812806637
membrane_anisotropy,0.024160498454593924,0.016716990158585344,0.023329674347748686,0.021402387653642656
d22,0.02426716703786069,0.01808892698447892,0.01967092160007931,0.020675671874139646
b11,0.02502079477887067,0.02204143165615547,0.01422774427057,0.020429990235198717
b12,0.019520726148144967,0.02086864293235159,0.018642650150161835,0.019677339743552805
b22_d22_ratio,0.020027807531091735,0.022093252331508165,0.01616062064074384,0.019427226834447916
stack_balance_cos_sum,0.02018733275516355,0.018072645867009903,0.01962033895464758,0.019293439192273682
angle_max_abs,0.019674493623912197,0.022890862607679436,0.01475328267172924,0.01910621296777363
angle_abs_mean,0.020178685357431437,0.019858670150768594,0.016843822938138377,0.01896039281544614
case_case3,0.019466051370814655,0.020996317405505387,0.015452791477178252,0.0186383867511661
case_case4,0.0175489260469481,0.020409825309223324,0.016463456016601943,0.01814073579092446
case3_flag,0.01886678707560114,0.020617496564389222,0.014713063647686576,0.01806578242922565
b22,0.019783181074126067,0.016680693755197065,0.016350919728038333,0.01760493151912049
a22,0.01777120079138305,0.014622576957180217,0.017637401050372748,0.01667705959964534
b_coupling_norm,0.012492471679753703,0.019348775587082704,0.017976448119979404,0.01660589846227194
d26,0.011906006278235695,0.019480417837692894,0.016563552158078632,0.015983325424669077
a11,0.017356017164047582,0.013987638405425018,0.016084041034000983,0.015809232201157864
d16,0.010495854231091182,0.02278299960850587,0.01358390567770871,0.015620919839101922
case4_flag,0.012607928612827328,0.019147258022216406,0.014207740881524836,0.015320975838856192
d_coupling_norm,0.009959415739647832,0.014746235977570242,0.01926762577999051,0.014657759165736198
theta_abs_diff,0.010253085146926001,0.012724450147539522,0.019697084873517273,0.0142248733893276
stack_symmetry_mismatch,0.012442260919767658,0.014789371403801654,0.014624176943558262,0.013951936422375863
case_case2,0.013655817866265092,0.012681394577447965,0.01328834526945568,0.013208519237722916
dd_angle_spread,0.011375591813314927,0.01021881239047723,0.017702047366034264,0.013098817189942142
dd_angle_center,0.011501141765552596,0.010696574988874162,0.014403384131828147,0.01220036696208497
b26,0.009841145159867596,0.00824870778552513,0.017326164536222183,0.011805339160538306
theta2,0.011633085739073961,0.0073136376793610765,0.01582751170602754,0.011591411708154194
case2_flag,0.011235832001366925,0.007483495264481443,0.015048706862430771,0.011256011376093049
theta1,0.012295676935964164,0.006449869571026368,0.013850941180322787,0.010865495895771108
theta_sum,0.009831666532950057,0.009973885862303446,0.012168753414620603,0.010658101936624705
theta_diff,0.011505054124200016,0.006593080234971424,0.013778101220546088,0.010625411859905844
b16,0.007951779956211368,0.009736066530576787,0.013439673465621246,0.010375839984136468
theta_product,0.008261371770123796,0.00669249457373656,0.013673408528668806,0.009542424957509722
