case,test_id,theta1,theta2,true_pt,variable,delta_deg,base_pt,minus_pt,plus_pt,central_sensitivity_pt_per_deg,base_type_pred,minus_type_pred,plus_type_pred
Case4,279,-88.0,-89.0,4910.86792918435,theta1,5.0,4741.345063821923,4724.122686437187,4821.41534189453,9.729265545734233,1,1,1
Case4,279,-88.0,-89.0,4910.86792918435,theta2,5.0,4741.345063821923,4705.50846783137,4803.471465051195,9.79629972198254,1,1,1
Case2,007,51.0,-83.0,11050.763333309067,theta1,5.0,10678.66970727957,12021.320610441533,9515.710969546932,-250.56096408946013,1,1,1
Case2,007,51.0,-83.0,11050.763333309067,theta2,5.0,10678.66970727957,10335.210238073681,11652.322424672882,131.7112186599201,1,1,1
Case2,029,52.0,-41.0,15273.761643841104,theta1,5.0,15810.668843108104,15775.270082695097,15766.810322953546,-0.8459759741550442,1,1,1
Case2,029,52.0,-41.0,15273.761643841104,theta2,5.0,15810.668843108104,15456.24636628777,15941.996540845887,48.575017455811576,1,1,2
Case3,047,42.0,27.0,16670.4063688223,theta1,5.0,17381.915226094647,17509.405600803908,17558.292982160372,4.888738135646418,2,2,2
Case3,047,42.0,27.0,16670.4063688223,theta2,5.0,17381.915226094647,18773.71093894397,16204.397413059589,-256.93135258843796,2,2,2
Case2,078,29.0,-79.0,18246.36351476399,theta1,5.0,18655.681670557136,20064.852536291393,16959.822474393208,-310.50300618981856,2,2,2
Case2,078,29.0,-79.0,18246.36351476399,theta2,5.0,18655.681670557136,18829.427454560337,18266.59628932704,-56.28311652332959,2,2,2
Case4,293,-28.0,11.0,19825.369609052064,theta1,5.0,20306.29810707663,20702.5559202347,19433.49500728675,-126.90609129479489,3,3,3
Case4,293,-28.0,11.0,19825.369609052064,theta2,5.0,20306.29810707663,20326.249878268813,20269.6640968594,-5.658578140941245,3,3,3
Case2,083,-12.0,85.0,21304.411023413217,theta1,5.0,21072.705218943367,20685.981168514463,21227.283667602842,54.13024990883787,2,2,2
Case2,083,-12.0,85.0,21304.411023413217,theta2,5.0,21072.705218943367,21257.28549522932,20891.79518832898,-36.54903069003412,2,2,2
Case2,167,-4.0,-6.0,34578.323502431216,theta1,5.0,18945.70717938863,18997.06287294103,18993.56905383565,-0.34938191053806805,3,3,3
Case2,167,-4.0,-6.0,34578.323502431216,theta2,5.0,18945.70717938863,19142.89011911791,18893.97303150165,-24.89170876162607,3,3,3
