feature,scalar_importance,type_importance,curve_importance,combined_importance
angle_abs_std,0.06184227740656265,0.05421654453076265,0.06375016473845402,0.059936328891926426
a66_geom_ratio,0.045691719476297556,0.06190248079707976,0.07210721036517061,0.0599004702128493
angle_min_abs,0.059595949664649046,0.032614609819737087,0.06496688005655454,0.052392479846980214
a12,0.03606797954562778,0.028362021459538884,0.03250261348482491,0.032310871496663854
abs_theta1,0.0353331186808466,0.027095541968129164,0.02322532721119917,0.02855132928672497
membrane_anisotropy,0.02514747238596066,0.028175798055092165,0.02454980210331999,0.025957690848124264
b11,0.02268996210684636,0.03627217406999494,0.018746230204897248,0.02590278879391284
b11_d11_ratio,0.02302772224163864,0.02958809695511377,0.021819953640845834,0.02481192427919941
b22_d22_ratio,0.019732020009479656,0.03636385358903342,0.01765638438480896,0.02458408599444067
bending_anisotropy,0.022999362667166987,0.027721591105100005,0.02119581482934064,0.02397225620053587
d12,0.03004449865719908,0.021147054724014937,0.020461696148184244,0.023884416509799413
a66,0.03099631322926796,0.019048408508730158,0.021263614097732666,0.023769445278576922
d66,0.028874021958132105,0.01814321726835189,0.020833396709147533,0.022616878645210503
angle_abs_mean,0.029238597887480282,0.016681483799324198,0.02136875546169423,0.0224296123828329
b66,0.02032104414218823,0.022368923738224432,0.02419216397198891,0.02229404395080052
d11_d22_ratio,0.026903991726513414,0.02170296350605875,0.01792013978981292,0.022175698340795025
case3_flag,0.01871538704983892,0.027309961664608185,0.019400553667999147,0.02180863412748208
stack_balance_cos_sum,0.019510175781729713,0.02155718962642164,0.024185003184197355,0.021750789530782896
a11_a22_ratio,0.028059067091467382,0.019343050258768653,0.017663174008722454,0.021688430452986157
case4_flag,0.01752919221173271,0.029841633959009975,0.016776170919902512,0.021382332363548397
abs_theta2,0.02788760000537785,0.019148867201818295,0.016397948240523427,0.021144805149239856
b22,0.01821258869381519,0.026424609180109426,0.017588284172732022,0.020741827348885543
case_case3,0.020282963441530483,0.02309012645296141,0.018163364147868424,0.020512151347453433
b_coupling_norm,0.012993309285685638,0.028437771775966868,0.01994091811717155,0.020457333059608014
b12,0.018614646135717377,0.021926613707293922,0.02070250292530428,0.02041458758943852
a22,0.02091062082471001,0.02017604838131358,0.015665865944968264,0.018917511716997282
case_case2,0.015959945288547203,0.02458917982466286,0.01607532825075061,0.018874817787986886
case_case4,0.020247289383613094,0.020590785669214184,0.014085746080151867,0.01830794037765971
a11,0.021951287488486636,0.014398135441206491,0.01816482706855897,0.018171416666084027
d22,0.02184268999118168,0.016860379018352238,0.015374769806190017,0.018025946271907976
d11,0.01692321822326064,0.016778377375735124,0.01694089244583927,0.016880829348278344
angle_max_abs,0.01645515648080642,0.013706853180981467,0.017803519096181317,0.015988509585989734
b26,0.011395499675493196,0.01858957739851703,0.016323033325892584,0.015436036799967601
d16,0.009140622692224534,0.022865882395533475,0.013450855219548504,0.015152453435768832
d_coupling_norm,0.01398634025587425,0.014729877367127425,0.015432564368968069,0.01471626066398991
b16,0.008723602324397213,0.01856562123970104,0.014386475760666031,0.013891899774921427
theta1,0.013795647441352463,0.011029589122841688,0.016512923775344177,0.013779386779846105
case2_flag,0.013151875382508688,0.011953075092998288,0.015642126503956764,0.013582358993154577
theta_abs_diff,0.010552712403765511,0.0073332638788823085,0.020709677088370716,0.012865217790339509
theta2,0.011913789507498062,0.011088865868482473,0.015589941197083608,0.012864198857688044
theta_diff,0.01388142163634097,0.007829211001143015,0.014908975858320166,0.012206536165268045
dd_angle_spread,0.009438770560991967,0.010124920475913048,0.016472189375681935,0.01201196013752898
stack_symmetry_mismatch,0.010402611538154371,0.010715399606458132,0.013232997070312391,0.011450336071641629
dd_angle_center,0.012029582097539872,0.006601290592329285,0.015380768616975937,0.011337213768948362
theta_sum,0.009765086221058166,0.007171976001089477,0.01452386491237531,0.01048697571150765
d26,0.009351721906542584,0.009145835709469495,0.012659854002170274,0.01038580387272745
theta_product,0.007869527192900327,0.006671267636803307,0.013284737649295622,0.009275177492999751
a16,0.0,0.0,0.0,0.0
a26,0.0,0.0,0.0,0.0
a_coupling_norm,0.0,0.0,0.0,0.0
ply_count,0.0,0.0,0.0,0.0
total_thickness_in,0.0,0.0,0.0,0.0
panel_aspect,0.0,0.0,0.0,0.0
a_slenderness,0.0,0.0,0.0,0.0
b_slenderness,0.0,0.0,0.0,0.0
angle_mean,0.0,0.0,0.0,0.0
stack_balance_sin_sum,0.0,0.0,0.0,0.0
case_pattern_ii,0.0,0.0,0.0,0.0
