case,test_id,theta1,theta2,true_pt,variable,delta_deg,base_pt,minus_pt,plus_pt,central_sensitivity_pt_per_deg,base_type_pred,minus_type_pred,plus_type_pred
Case4,279,-88.0,-89.0,4910.86792918435,theta1,5.0,4524.371496310935,4465.305757933735,4618.016345604568,15.271058767083378,1,1,1
Case4,279,-88.0,-89.0,4910.86792918435,theta2,5.0,4524.371496310935,4481.704776333457,4610.291440800474,12.858666446701772,1,1,1
Case2,007,51.0,-83.0,11050.763333309067,theta1,5.0,11105.043968268137,12656.655009012415,9489.717312870616,-316.6937696141798,1,1,1
Case2,007,51.0,-83.0,11050.763333309067,theta2,5.0,11105.043968268137,11049.954974200688,11502.28578114999,45.23308069493032,1,1,1
Case2,029,52.0,-41.0,15273.761643841104,theta1,5.0,15416.698855355085,15439.083928089936,15407.634034268645,-3.144989382129097,1,1,1
Case2,029,52.0,-41.0,15273.761643841104,theta2,5.0,15416.698855355085,14949.124574270836,15633.783795596484,68.46592213256481,1,1,1
Case3,047,42.0,27.0,16670.4063688223,theta1,5.0,17588.316600957023,17737.276140614817,17529.817781912323,-20.74583587024936,2,2,2
Case3,047,42.0,27.0,16670.4063688223,theta2,5.0,17588.316600957023,19130.06537504114,16024.657367888252,-310.5408007152888,2,2,2
Case2,078,29.0,-79.0,18246.36351476399,theta1,5.0,18830.930055417095,20006.907005815418,17269.629761847347,-273.72772439680705,2,2,2
Case2,078,29.0,-79.0,18246.36351476399,theta2,5.0,18830.930055417095,18839.1650766505,18645.672398422183,-19.349267822831827,2,2,2
Case4,293,-28.0,11.0,19825.369609052064,theta1,5.0,19613.97128069966,20949.741862890067,18403.537101423986,-254.62047614660804,3,3,3
Case4,293,-28.0,11.0,19825.369609052064,theta2,5.0,19613.97128069966,19523.909310109357,19843.0440795844,31.913476947504385,3,3,3
Case2,083,-12.0,85.0,21304.411023413217,theta1,5.0,20896.934895816114,20357.406839002346,21243.87477863486,88.64679396325155,2,2,2
Case2,083,-12.0,85.0,21304.411023413217,theta2,5.0,20896.934895816114,21025.718415285428,20761.845043025518,-26.387337225990997,2,2,2
Case2,167,-4.0,-6.0,34578.323502431216,theta1,5.0,17143.329080360225,17228.020088935562,17214.60433594325,-1.3415752992310446,3,3,3
Case2,167,-4.0,-6.0,34578.323502431216,theta2,5.0,17143.329080360225,17431.191569325754,17120.33241503942,-31.085915428633598,3,3,3
