feature,scalar_importance,type_importance,curve_importance,combined_importance
angle_abs_std,0.09538785854071374,0.21497000251255002,0.12230367421106046,0.14422051175477477
angle_min_abs,0.0785993015537665,0.13753822889502057,0.0958724476113161,0.10400332602003438
d11_d22_ratio,0.04260626097087454,0.0777519177196409,0.03323947319876421,0.05119921729642655
a11_a22_ratio,0.04040023442483318,0.07486914544312094,0.032023039817390034,0.04909747322844806
a12,0.0397516355104728,0.02678482531216721,0.039040752705420914,0.035192404509353646
a66,0.04108187242759783,0.023468950813761227,0.03892953673771622,0.03449345332635843
d66,0.03822765843828034,0.02519805286549147,0.03665414790008578,0.03335995306795253
d12,0.036736268437947306,0.02440171168758661,0.036617703637735706,0.03258522792108987
panel_b_in,0.03382215146994207,0.02970614130381743,0.030315864930366417,0.03128138590137531
d22,0.040242649015531845,0.016300937976387184,0.03564546882530949,0.030729685272409504
angle_abs_mean,0.03810315430728308,0.025914472485262026,0.026376953263405944,0.030131526685317017
a22,0.035780309476769585,0.01740213444018081,0.03434011367985978,0.029174185865603396
abs_theta2,0.03609808526732721,0.025464299783370285,0.022632739416761867,0.02806504148915312
bending_anisotropy,0.03298703122873145,0.016707494361800888,0.03400742658320207,0.027900650724578136
membrane_anisotropy,0.033619326890862035,0.01688681495298972,0.03309221476050029,0.02786611886811735
angle_max_abs,0.027476490522046506,0.02257282374540695,0.02916778506721838,0.026405699778223945
b_slenderness,0.033401241061690186,0.018535669002537364,0.02615274296259189,0.026029884342273147
panel_aspect,0.03512972272441236,0.013505718417571946,0.024058453913539127,0.02423129835184114
abs_theta1,0.026364379148489932,0.01967167521268811,0.01683988880310867,0.020958647721428903
theta_abs_diff,0.019934741775555542,0.0162569411618139,0.02500215976189483,0.020397947566421423
stack_balance_cos_sum,0.02337745521565787,0.007446720802901389,0.024642327262463765,0.018488834427007675
d11,0.023325024366396514,0.00869197077189414,0.02250207497945966,0.018173023372583436
a11,0.020773601643094247,0.0077364923599809315,0.018566707814862735,0.01569226727264597
case_case3,0.015613032611373211,0.013428335279878079,0.015163190696880732,0.014734852862710673
case_case4,0.009234312025176154,0.019716881354076652,0.008675459523637364,0.012542217634296722
d_coupling_norm,0.009326497978529288,0.014072233446531088,0.011918066017071011,0.011772265814043795
d16,0.007218890302490816,0.014053240338266935,0.009806932283917462,0.010359687641558405
d26,0.0077552813376885205,0.012096947007409316,0.009958953701823677,0.009937060682307172
stack_symmetry_mismatch,0.010670182635677334,0.004851852039191127,0.01349973337708182,0.009673922683983427
b_coupling_norm,0.007403320729329472,0.007814657691530768,0.011314019226404515,0.008843999215754917
b16,0.004765051175733744,0.012485536251567775,0.009135283150981614,0.008795290192761044
b26,0.0043590117223357245,0.01137279765892389,0.010059353609211018,0.008597054330156877
case_case2,0.008608048859825287,0.006664065367767783,0.01011528040611479,0.00846246487790262
theta_product,0.008661853424191636,0.002356412515208691,0.01409845642651968,0.008372240788640002
theta_sum,0.009711890819882794,0.00387033653477696,0.011476544005799554,0.008352923786819769
theta1,0.007898732981748945,0.0044827259615286925,0.008971043768792184,0.007117500904023274
theta_diff,0.00827947012210087,0.0030677836459759417,0.00942216947732515,0.006923141081800654
theta2,0.007267968855639551,0.0018830528794242973,0.008361816484405088,0.00583761273982298
a_slenderness,0.0,0.0,0.0,0.0
panel_a_in,0.0,0.0,0.0,0.0
