case,test_id,theta1,theta2,true_pt,variable,delta_deg,base_pt,minus_pt,plus_pt,central_sensitivity_pt_per_deg,base_type_pred,minus_type_pred,plus_type_pred
Case2,6x8_279,-88.0,-89.0,3213.6378290081702,theta1,5.0,3216.32976257084,3252.9921494210857,3292.7470064146028,3.9754856993517023,1,1,1
Case2,6x8_279,-88.0,-89.0,3213.6378290081702,theta2,5.0,3216.32976257084,3272.8543502599055,3272.1047501594676,-0.07496001004378741,1,1,1
Case3,6x8_298,-19.0,-23.0,6549.298616527987,theta1,5.0,6765.194495251144,7205.714408129552,6126.373198448598,-107.93412096809543,3,3,3
Case3,6x8_298,-19.0,-23.0,6549.298616527987,theta2,5.0,6765.194495251144,6931.124888763659,6700.844966917764,-23.027992184589493,3,3,3
Case4,6x8_102,76.0,-24.0,7559.699790121312,theta1,5.0,7498.7617298007835,7673.529873504315,7332.934456074898,-34.05954174294175,2,2,2
Case4,6x8_102,76.0,-24.0,7559.699790121312,theta2,5.0,7498.7617298007835,7897.978992568983,7131.950518310981,-76.60284742580015,2,2,2
Case3,6x4_272,72.0,69.0,8582.788953184589,theta1,5.0,8426.78495321288,9396.282725004234,7843.634014367474,-155.26487106367594,1,1,1
Case3,6x4_272,72.0,69.0,8582.788953184589,theta2,5.0,8426.78495321288,9512.466999425493,7696.256806031179,-181.6210193394314,1,1,1
Case3,6x4_094,73.0,-55.0,11154.074047091275,theta1,5.0,11211.81718827672,11974.195954041805,10594.933665294624,-137.92622887471808,1,1,1
Case3,6x4_094,73.0,-55.0,11154.074047091275,theta2,5.0,11211.81718827672,10220.30394529871,12242.332461629328,202.2028516330618,1,1,1
Case3,6x4_047,42.0,27.0,16670.4063688223,theta1,5.0,17016.22804416401,16636.60836608457,17114.0165296066,47.74081635220318,2,2,2
Case3,6x4_047,42.0,27.0,16670.4063688223,theta2,5.0,17016.22804416401,18582.02739442466,15847.548395890699,-273.44789985339594,2,2,1
Case4,6x4_293,-28.0,11.0,19825.369609052064,theta1,5.0,19758.522464336438,20428.657791543686,18430.81026642874,-199.78475251149467,3,3,3
Case4,6x4_293,-28.0,11.0,19825.369609052064,theta2,5.0,19758.522464336438,19690.869119029197,19874.233625398978,18.336450636978043,3,3,3
Case2,6x4_167,-4.0,-6.0,34578.323502431216,theta1,5.0,19760.571651210226,18577.325537326615,19154.282683354504,57.69571460278894,3,3,3
Case2,6x4_167,-4.0,-6.0,34578.323502431216,theta2,5.0,19760.571651210226,18179.087132451707,18186.3708697302,0.7283737278492481,3,3,3
