feature,scalar_importance,type_importance,curve_importance,combined_importance
angle_abs_std,0.08656041985656711,0.1058647187901522,0.11069917675401501,0.10104143846691144
angle_min_abs,0.10657572265397418,0.07527926455315925,0.0865430143074954,0.08946600050487628
abs_theta1,0.06183714787100774,0.05724753793451583,0.026963863043398283,0.04868284961630728
a66,0.044615970375629616,0.04624940647698668,0.052506316159521685,0.047790564337379327
d66,0.04293506965906055,0.035174418209700374,0.03453131728397216,0.03754693505091103
bending_anisotropy,0.041296425153244574,0.031101743950008056,0.0377033503782516,0.036700506493834745
a11_a22_ratio,0.039640052923576044,0.04200198367951689,0.027902231880632778,0.036514756161241904
d11_d22_ratio,0.035189421836511324,0.04625216894237463,0.02770014485196101,0.036380578543615656
angle_max_abs,0.027932388825360865,0.04127230104927903,0.0315236050262162,0.03357609830028537
a12,0.03769581170034322,0.02710926489763869,0.034857363983149425,0.03322081352704378
d12,0.03775155020904555,0.02873780019002966,0.03302043730355996,0.03316992923421172
theta_abs_diff,0.0185885231906546,0.025538560562478402,0.04058466692996125,0.028237250227698085
case_case3,0.027598533401016416,0.029217467983107773,0.02230052536346334,0.026372175582529175
abs_theta2,0.031146724966108603,0.030598248637292776,0.016478573113546953,0.026074515572316114
angle_abs_mean,0.03666300641457987,0.020484941540410286,0.019804018373276933,0.025650655442755698
d11,0.02974405479067542,0.015148601765210528,0.029990971890290943,0.024961209482058964
b_coupling_norm,0.012220190498598684,0.03227247343297902,0.02895271642636447,0.02448179345264739
membrane_anisotropy,0.02900614162893734,0.018764943530356414,0.021804897580377746,0.023191994246557168
a22,0.027729676791976157,0.01718094252846212,0.022994977354719063,0.02263519889171911
d22,0.029054051656034755,0.016983828066370922,0.02077727723020815,0.022271718984204613
case_case4,0.01791534754494129,0.023137534471665014,0.018006965346946655,0.019686615787850987
a11,0.019706524856775032,0.0132099052301676,0.02343754265975429,0.018784657582232307
case_case2,0.016619535184394144,0.02270972233947237,0.015613763685776423,0.01831434040321431
d26,0.012339782969000658,0.02170008142149082,0.019790381770309177,0.01794341538693355
d16,0.009888818391123646,0.027866001272242553,0.015315182752433125,0.01769000080526644
theta1,0.011589627022392489,0.018697567836655,0.020497532017090963,0.01692824229204615
stack_balance_cos_sum,0.018882409923382963,0.013312754327893205,0.018503866164916498,0.016899676805397553
b26,0.01048951351151534,0.019277551630409038,0.018191298658631262,0.01598612126685188
d_coupling_norm,0.011739273518091467,0.01658984357851983,0.017020867635198434,0.01511666157726991
b16,0.009781526395617504,0.01981766718883987,0.01457681946306326,0.014725337682506877
stack_symmetry_mismatch,0.012263569727343111,0.015527678985295366,0.015681537128767686,0.014490928613802056
theta_diff,0.011637710839318771,0.012841871174748777,0.01876015422024459,0.01441324541143738
theta_sum,0.010462889808445307,0.013352738921606993,0.017380569525517236,0.013732066085189848
theta_product,0.010664364683585064,0.0071153097244006066,0.023389549397443476,0.013723074601809715
theta2,0.012238221221170638,0.012363155176563423,0.016194524339524553,0.013598633579086203
