case,test_id,theta1,theta2,true_pt,variable,delta_deg,base_pt,minus_pt,plus_pt,central_sensitivity_pt_per_deg,base_type_pred,minus_type_pred,plus_type_pred
Case4,279,-88.0,-89.0,4910.86792918435,theta1,5.0,4925.985412087146,4938.086455705975,5098.17542111843,16.008896541245484,1,1,1
Case4,279,-88.0,-89.0,4910.86792918435,theta2,5.0,4925.985412087146,4995.838802447818,5039.857936402675,4.401913395485645,1,1,1
Case2,007,51.0,-83.0,11050.763333309067,theta1,5.0,11037.072197348043,12141.737318067637,9946.11567437192,-219.56216436957166,1,1,1
Case2,007,51.0,-83.0,11050.763333309067,theta2,5.0,11037.072197348043,11044.79034892989,11176.709703238275,13.191935430838566,1,1,1
Case2,029,52.0,-41.0,15273.761643841104,theta1,5.0,15489.806914365716,15501.679676307342,15522.461945509696,2.0782269202354655,1,1,1
Case2,029,52.0,-41.0,15273.761643841104,theta2,5.0,15489.806914365716,15224.518623653441,15494.064783674734,26.954616002129296,1,1,1
Case3,047,42.0,27.0,16670.4063688223,theta1,5.0,17292.86021673626,17563.86110068187,17205.178431374174,-35.86826693076946,2,2,2
Case3,047,42.0,27.0,16670.4063688223,theta2,5.0,17292.86021673626,18956.641091124988,16094.002729606336,-286.2638361518651,2,2,2
Case2,078,29.0,-79.0,18246.36351476399,theta1,5.0,18062.395183473047,19421.486384479278,17148.145687870314,-227.33406966089643,2,2,2
Case2,078,29.0,-79.0,18246.36351476399,theta2,5.0,18062.395183473047,18211.57542308226,17930.769316887865,-28.08061061943954,2,2,2
Case4,293,-28.0,11.0,19825.369609052064,theta1,5.0,20267.068606382145,20811.588242528716,19383.01056457305,-142.85776779556653,3,3,3
Case4,293,-28.0,11.0,19825.369609052064,theta2,5.0,20267.068606382145,20326.656373920636,20147.981619743496,-17.86747541771401,3,3,3
Case2,083,-12.0,85.0,21304.411023413217,theta1,5.0,20975.494718844373,20672.891908627476,20988.398255802003,31.550634717452702,2,2,2
Case2,083,-12.0,85.0,21304.411023413217,theta2,5.0,20975.494718844373,21656.291370859948,20127.591358301765,-152.87000125581835,2,2,2
Case2,167,-4.0,-6.0,34578.323502431216,theta1,5.0,19135.37968312173,18990.359124148716,18962.030402655775,-2.832872149294053,3,3,3
Case2,167,-4.0,-6.0,34578.323502431216,theta2,5.0,19135.37968312173,18684.1132114436,19143.9285527906,45.981534134699906,3,3,3
