feature,scalar_importance,type_importance,curve_importance,combined_importance
angle_min_abs,0.39972727525398416,0.06268737486657933,0.23879524474644404,0.23373663162233585
d11,0.16980171698738006,0.08608075985186028,0.11032409506749082,0.12206885730224372
a11,0.11946269004869536,0.06960639881067457,0.0848560753583998,0.09130838807258991
bending_anisotropy,0.08963873521363229,0.076345537191326,0.04802144820740867,0.07133524020412231
angle_abs_std,0.003501160169500428,0.030822525447381927,0.13058006102614703,0.05496791554767646
membrane_anisotropy,0.053540750805878765,0.06824567921894928,0.0347050272539998,0.05216381909294262
angle_max_abs,0.002854361065955681,0.04183670122646194,0.10231105598996107,0.04900070609412623
d11_d22_ratio,0.020037673269081794,0.07296870667649688,0.034436104215457806,0.04248082805367883
a11_a22_ratio,0.01080032154244059,0.06688782457322497,0.02571287508396504,0.034467007066543535
stack_balance_cos_sum,0.017455257285781012,0.05789955863840625,0.01728340504675083,0.030879406990312695
d66,0.0232785553005607,0.019737306278598085,0.027645986421229396,0.02355394933346273
d12,0.020934822357140444,0.01874882166703787,0.026268897129160935,0.021984180384446415
abs_theta1,0.012876700416824175,0.03389738355280122,0.017012151952840573,0.021262078640821986
d22,0.004040129503137777,0.04142439929643413,0.014494574367793688,0.019986367722455198
angle_abs_mean,0.009600680762806573,0.03583898309313497,0.01247395122302553,0.019304538359655694
a22,0.0012069623030630187,0.040524692769848825,0.01326263405991504,0.018331429710942294
a66,0.016136142121937248,0.018946424891586183,0.01990505867012796,0.018329208561217128
a12,0.0161315243464211,0.018740480643753464,0.019531977957511035,0.018134660982561866
abs_theta2,0.0012707025374295673,0.020655677766755916,0.005405556036157226,0.009110645446780903
theta_abs_diff,0.0009081740826334369,0.018143482871725635,0.0027953620997166416,0.0072823396846919035
theta_product,0.0014340625827698845,0.012255786522296842,0.002483586041059635,0.005391145048708787
theta1,0.0005642488346773814,0.007979511968894258,0.0028412019141149667,0.003794987572562202
stack_symmetry_mismatch,0.0003537718003622783,0.009964640724434733,0.0002615722377783416,0.0035266615875251175
theta_diff,0.0004615501943740046,0.007905078653551535,0.001801698538666351,0.003389442462197297
theta2,0.0005404165565253258,0.007415075391872135,0.001794453327626353,0.0032499817586746044
case_case3,0.0008954091961850319,0.00708324863311315,0.0013662734641109106,0.003114977097803031
theta_sum,0.000475149634318552,0.006226097379119865,0.001935366881642239,0.0028788712983602183
b16,0.00039467552964133853,0.0056825861021606175,0.0002659927054447588,0.0021144181124155715
b26,0.0005731816451235203,0.005497255882919112,0.00023998113838542918,0.002103472888809354
b_coupling_norm,0.00034006259598664103,0.005579103775279126,0.0002824714038838121,0.002067212591716526
d_coupling_norm,0.000361363981067063,0.005246563549322948,0.00032968560411708906,0.0019792043781690334
d26,0.00019176696788601437,0.005352877180727804,0.0002199892325622763,0.0019215444603920316
d16,0.0001236425619721427,0.00530134331015564,0.0003218905848942152,0.0019156254856739993
case_case4,4.0361506626102705e-05,0.005049565844083185,1.877708610445394e-05,0.001702901478937914
case_case2,4.600103820062319e-05,0.003422545749031358,1.5517926106270516e-05,0.001161354904446084
