case,test_id,theta1,theta2,true_pt,variable,delta_deg,base_pt,minus_pt,plus_pt,central_sensitivity_pt_per_deg,base_type_pred,minus_type_pred,plus_type_pred
Case4,279,-88.0,-89.0,4910.86792918435,theta1,5.0,4910.867929184345,4920.107092566336,5186.101819211905,26.599472664556924,1,1,1
Case4,279,-88.0,-89.0,4910.86792918435,theta2,5.0,4910.867929184345,4927.676962880767,5118.843475919928,19.116651303916115,1,1,1
Case2,007,51.0,-83.0,11050.763333309067,theta1,5.0,11050.763333309245,12734.25394175301,10056.134035785739,-267.81199059672707,1,1,1
Case2,007,51.0,-83.0,11050.763333309067,theta2,5.0,11050.763333309245,10930.97438771206,11486.96765653047,55.59932688184108,1,1,1
Case2,029,52.0,-41.0,15273.761643841104,theta1,5.0,15273.761643841292,15397.546149959062,15351.289582806301,-4.625656715276091,1,1,1
Case2,029,52.0,-41.0,15273.761643841104,theta2,5.0,15273.761643841292,15518.796474407409,15552.024852698649,3.3228378291240004,1,1,1
Case3,047,42.0,27.0,16670.4063688223,theta1,5.0,16670.406368821998,17255.785391341175,16880.537282756548,-37.52481085846266,2,2,2
Case3,047,42.0,27.0,16670.4063688223,theta2,5.0,16670.406368821998,18765.358385451324,16378.887287146841,-238.64710983044824,2,2,2
Case2,078,29.0,-79.0,18246.36351476399,theta1,5.0,18246.36351476414,19324.09694211007,16820.55918375761,-250.35377583524604,2,2,2
Case2,078,29.0,-79.0,18246.36351476399,theta2,5.0,18246.36351476414,18216.208710396168,18157.345778419953,-5.886293197621489,2,2,2
Case4,293,-28.0,11.0,19825.369609052064,theta1,5.0,19825.369609052217,21012.792348113486,19271.482477688685,-174.13098704248006,3,2,3
Case4,293,-28.0,11.0,19825.369609052064,theta2,5.0,19825.369609052217,20338.66118528492,20245.99224635438,-9.266893893053929,3,3,3
Case2,083,-12.0,85.0,21304.411023413217,theta1,5.0,21304.411023413297,20707.256273466726,21294.489353265464,58.72330797987379,2,2,2
Case2,083,-12.0,85.0,21304.411023413217,theta2,5.0,21304.411023413297,21339.159790951497,19485.017764707616,-185.41420262438805,2,2,2
Case2,167,-4.0,-6.0,34578.323502431216,theta1,5.0,34578.32350243169,17939.89712746509,17823.71669733015,-11.618043013494026,3,3,3
Case2,167,-4.0,-6.0,34578.323502431216,theta2,5.0,34578.32350243169,17366.115147213066,17709.24472987187,34.3129582658803,3,3,3
