case,test_id,theta1,theta2,true_pt,variable,delta_deg,base_pt,minus_pt,plus_pt,central_sensitivity_pt_per_deg,base_type_pred,minus_type_pred,plus_type_pred
Case4,279,-88.0,-89.0,4910.86792918435,theta1,5.0,4910.867929184345,4919.788223407198,5189.144353601734,26.935613019453648,1,1,1
Case4,279,-88.0,-89.0,4910.86792918435,theta2,5.0,4910.867929184345,4929.249313730243,5101.605854528369,17.235654079812594,1,1,1
Case2,007,51.0,-83.0,11050.763333309067,theta1,5.0,11050.763333309245,12691.984170295853,10059.67439663862,-263.2309773657233,1,1,1
Case2,007,51.0,-83.0,11050.763333309067,theta2,5.0,11050.763333309245,10981.649401890449,11529.772047890594,54.81226460001453,1,1,1
Case2,029,52.0,-41.0,15273.761643841104,theta1,5.0,15273.761643841292,15408.382877585367,15363.449933240008,-4.493294434535892,1,1,1
Case2,029,52.0,-41.0,15273.761643841104,theta2,5.0,15273.761643841292,15526.639381827024,15553.098715648646,2.645933382162184,1,1,1
Case3,047,42.0,27.0,16670.4063688223,theta1,5.0,16670.406368821998,17217.636581007708,16865.082795525075,-35.25537854826325,2,2,2
Case3,047,42.0,27.0,16670.4063688223,theta2,5.0,16670.406368821998,18754.75532760094,16392.611983670515,-236.21433439304238,2,2,1
Case2,078,29.0,-79.0,18246.36351476399,theta1,5.0,18246.36351476414,19331.506686707107,16776.80200336579,-255.47046833413188,2,2,2
Case2,078,29.0,-79.0,18246.36351476399,theta2,5.0,18246.36351476414,18192.366360491014,18168.00434931021,-2.4362011180804983,2,2,2
Case4,293,-28.0,11.0,19825.369609052064,theta1,5.0,19825.369609052217,21024.655898433477,19332.081557351547,-169.25743410819305,3,3,3
Case4,293,-28.0,11.0,19825.369609052064,theta2,5.0,19825.369609052217,20358.067019987164,20243.422398622795,-11.46446213643685,3,3,3
Case2,083,-12.0,85.0,21304.411023413217,theta1,5.0,21304.411023413297,20763.241738289336,21074.310791818538,31.106905352920148,2,2,2
Case2,083,-12.0,85.0,21304.411023413217,theta2,5.0,21304.411023413297,21292.545623136386,19529.603853498487,-176.29417696378988,2,2,2
Case2,167,-4.0,-6.0,34578.323502431216,theta1,5.0,34578.32350243169,18386.520640818107,17478.103723273292,-90.8416917544815,3,3,3
Case2,167,-4.0,-6.0,34578.323502431216,theta2,5.0,34578.32350243169,17195.48380242564,17896.43016498113,70.09463625554926,3,3,3
