feature,scalar_importance,type_importance,curve_importance,combined_importance
angle_min_abs,0.39972727525398416,0.06268737486657933,0.23987933856082957,0.23409799622713104
d11,0.16980171698738006,0.08608075985186028,0.11095581031279658,0.12227942905067898
a11,0.11946269004869536,0.06960639881067457,0.08471570930854731,0.09126159938930575
bending_anisotropy,0.08963873521363229,0.076345537191326,0.0478971581200526,0.07129381017500364
angle_abs_std,0.003501160169500428,0.030822525447381927,0.13046448758181647,0.054929391066232944
membrane_anisotropy,0.053540750805878765,0.06824567921894928,0.03527972025828446,0.05235538342770417
angle_max_abs,0.002854361065955681,0.04183670122646194,0.10301755640399411,0.049236206232137245
d11_d22_ratio,0.020037673269081794,0.07296870667649688,0.03542351512875441,0.0428099650247777
a11_a22_ratio,0.01080032154244059,0.06688782457322497,0.026446921815778443,0.03471168931048134
stack_balance_cos_sum,0.017455257285781012,0.05789955863840625,0.01668770269404177,0.030680839539409678
d66,0.0232785553005607,0.019737306278598085,0.027664372810766544,0.023560078129975112
d12,0.020934822357140444,0.01874882166703787,0.026228984304269412,0.02197087610948258
abs_theta1,0.012876700416824175,0.03389738355280122,0.016269260274973954,0.02101444808153312
d22,0.004040129503137777,0.04142439929643413,0.014241191766527654,0.019901906855366525
angle_abs_mean,0.009600680762806573,0.03583898309313497,0.011815772346542573,0.019085145400828042
a22,0.0012069623030630187,0.040524692769848825,0.013220263034646068,0.01831730603585264
a66,0.016136142121937248,0.018946424891586183,0.019770328441560937,0.018284298485028126
a12,0.0161315243464211,0.018740480643753464,0.018147506017572798,0.01767317033591579
abs_theta2,0.0012707025374295673,0.020655677766755916,0.005285864452744035,0.009070748252309841
theta_abs_diff,0.0009081740826334369,0.018143482871725635,0.002795307651624859,0.007282321535327978
theta_product,0.0014340625827698845,0.012255786522296842,0.0022424365091484604,0.005310761871405063
theta1,0.0005642488346773814,0.007979511968894258,0.002822090033595451,0.0037886169457223636
stack_symmetry_mismatch,0.0003537718003622783,0.009964640724434733,0.00022528213560283212,0.0035145648867999477
theta_diff,0.0004615501943740046,0.007905078653551535,0.0016936265111420525,0.0033534184530225313
theta2,0.0005404165565253258,0.007415075391872135,0.0018197505308673683,0.003258414159754943
case_case3,0.0008954091961850319,0.00708324863311315,0.001407821363425782,0.0031288263975746554
theta_sum,0.000475149634318552,0.006226097379119865,0.0018196292395503914,0.0028402920843296027
b16,0.00039467552964133853,0.0056825861021606175,0.0002964928785486125,0.0021245848367835232
b26,0.0005731816451235203,0.005497255882919112,0.00025255707450209865,0.002107664867514911
b_coupling_norm,0.00034006259598664103,0.005579103775279126,0.00032563232025814863,0.002081599563841305
d_coupling_norm,0.000361363981067063,0.005246563549322948,0.0003074883388744666,0.001971805289754826
d26,0.00019176696788601437,0.005352877180727804,0.0002678120656948523,0.0019374854047695574
d16,0.0001236425619721427,0.00530134331015564,0.0002769327910202017,0.0019006395543826615
case_case4,4.0361506626102705e-05,0.005049565844083185,1.968918718579875e-05,0.001703205512631696
case_case2,4.600103820062319e-05,0.003422545749031358,1.5987734458992987e-05,0.001161511507230325
