case,geometry,test_id,label,source,confidence,bilinear_r2,tail_curvature,break_fraction,independent
Case2,6x4,6x4_001,2,curated_human_review,1.0,0.9968052040391823,0.18188102541294712,0.1878121878121878,2
Case2,6x4,6x4_002,1,curated_human_review,1.0,0.9995540449810385,0.08437824121728087,0.48151848151848153,1
Case2,6x4,6x4_003,1,curated_human_review,1.0,0.9993847231433051,0.09796587262548873,0.46653346653346656,1
Case2,6x4,6x4_004,1,curated_human_review,1.0,0.9999834432250474,0.014121222083978579,0.6843156843156843,1
Case2,6x4,6x4_005,2,curated_human_review,1.0,0.997004762987186,0.17632637074025642,0.1928071928071928,2
Case2,6x4,6x4_006,2,curated_human_review,1.0,0.9960280139977258,0.20034666946078716,0.1798201798201798,2
Case2,6x4,6x4_007,1,curated_human_review,1.0,0.9997687128171103,0.05060390675163502,0.3946053946053946,1
Case2,6x4,6x4_008,2,curated_human_review,1.0,0.995139844595886,0.20443512277062967,0.21178821178821178,2
Case2,6x4,6x4_009,2,curated_human_review,1.0,0.9971740292201733,0.17299625770230392,0.1928071928071928,2
Case2,6x4,6x4_010,1,curated_human_review,1.0,0.9999837525733685,0.018689779821940793,0.4225774225774226,1
Case2,6x4,6x4_011,2,curated_human_review,1.0,0.9945634030953832,0.19434754570623863,0.23376623376623376,2
Case2,6x4,6x4_012,2,curated_human_review,1.0,0.9957076413978244,0.19555517454033905,0.1978021978021978,2
Case2,6x4,6x4_013,2,curated_human_review,1.0,0.9987159023366892,0.12157039870745175,0.2787212787212787,2
Case2,6x4,6x4_014,2,curated_human_review,1.0,0.9965580938682095,0.19144110896580802,0.17882117882117882,2
Case2,6x4,6x4_015,2,curated_human_review,1.0,0.9989806860371742,0.11027949535903823,0.3126873126873127,2
Case2,6x4,6x4_016,1,curated_human_review,1.0,0.9999032510794214,0.04130761692569627,0.5484515484515484,1
Case2,6x4,6x4_017,2,curated_human_review,1.0,0.9983941006393844,0.1348770897813667,0.23676323676323677,2
Case2,6x4,6x4_018,2,curated_human_review,1.0,0.9986897748226344,0.12212785023306216,0.27672327672327673,2
Case2,6x4,6x4_019,2,curated_human_review,1.0,0.9979812010828993,0.15001133261587019,0.2137862137862138,2
Case2,6x4,6x4_020,2,curated_human_review,1.0,0.9949406921255485,0.19785522753445262,0.21178821178821178,2
Case2,6x4,6x4_021,1,curated_human_review,1.0,0.9997081203713436,0.03572811253970353,0.5554445554445554,1
Case2,6x4,6x4_022,2,curated_human_review,1.0,0.999032013239377,0.11172275946164294,0.3166833166833167,2
Case2,6x4,6x4_023,1,curated_human_review,1.0,0.9999844223100091,0.011636615035712448,0.6953046953046953,1
Case2,6x4,6x4_024,2,curated_human_review,1.0,0.9982108244778709,0.14238116553279578,0.2217782217782218,2
Case2,6x4,6x4_025,1,curated_human_review,1.0,0.9999613151462697,0.027146262776124187,0.3946053946053946,1
Case2,6x4,6x4_026,1,curated_human_review,1.0,0.999943174718137,0.031949194519589205,0.43956043956043955,1
Case2,6x4,6x4_027,1,curated_human_review,1.0,0.9992839723210362,0.09832843165080908,0.4025974025974026,1
Case2,6x4,6x4_028,2,curated_human_review,1.0,0.998592360662726,0.13481592594704264,0.24975024975024976,2
Case2,6x4,6x4_029,1,curated_human_review,1.0,0.9995489122711143,0.08651372136565341,0.4985014985014985,1
Case2,6x4,6x4_030,3,curated_human_review,1.0,0.9939043152580564,0.19287656364954867,0.32867132867132864,2
Case2,6x4,6x4_031,1,curated_human_review,1.0,0.9999874346086555,0.012439327224380752,0.7222777222777222,1
Case2,6x4,6x4_032,3,curated_human_review,1.0,0.9940353511454204,0.19121977032386347,0.3256743256743257,2
Case2,6x4,6x4_033,1,curated_human_review,1.0,0.9999038461988553,0.03895878057447927,0.45054945054945056,1
Case2,6x4,6x4_034,2,curated_human_review,1.0,0.995516158711082,0.20115964554348445,0.1938061938061938,2
