order,case,test_id,stored_label,independent,classifier_confidence,tail_curvature,csv_path,verdict_type1_yes_no,reviewer_note
1,Case4,8x8_192,1,2,0.5216666666666666,0.1502288410605668,data/New_data/8x8_Case4/csv/force_disp_Test_192.csv,,
2,Case2,8x8_192,1,2,0.5333333333333333,0.15022131449045545,data/New_data/8x8_Case2/csv/force_disp_Test_192.csv,,
3,Case3,8x8_192,1,2,0.5366666666666666,0.1502114159817417,data/New_data/8x8_Case3/csv/force_disp_Test_192.csv,,
4,Case2,8x8_279,1,2,0.4583333333333333,0.15012395992928448,data/New_data/8x8_Case2/csv/force_disp_Test_279.csv,,
5,Case3,8x8_279,1,2,0.46166666666666667,0.1501055080754624,data/New_data/8x8_Case3/csv/force_disp_Test_279.csv,,
6,Case3,8x8_096,1,2,0.4633333333333333,0.14746583265051844,data/New_data/8x8_Case3/csv/force_disp_Test_096.csv,,
7,Case4,8x8_105,1,2,0.5166666666666667,0.14405181474712792,data/New_data/8x8_Case4/csv/force_disp_Test_105.csv,,
8,Case2,8x8_105,1,2,0.53,0.14396544047208903,data/New_data/8x8_Case2/csv/force_disp_Test_105.csv,,
9,Case3,8x8_105,1,2,0.5316666666666666,0.14389838534546798,data/New_data/8x8_Case3/csv/force_disp_Test_105.csv,,
10,Case3,8x8_118,1,2,0.465,0.14201224565669926,data/New_data/8x8_Case3/csv/force_disp_Test_118.csv,,
11,Case2,8x8_247,1,2,0.4816666666666667,0.14135498802969515,data/New_data/8x8_Case2/csv/force_disp_Test_247.csv,,
12,Case3,8x8_247,1,2,0.48833333333333334,0.14123250769012133,data/New_data/8x8_Case3/csv/force_disp_Test_247.csv,,
13,Case3,8x8_025,1,2,0.5183333333333333,0.14012416279389037,data/New_data/8x8_Case3/csv/force_disp_Test_025.csv,,
14,Case4,8x8_025,1,2,0.5,0.14012416277953113,data/New_data/8x8_Case4/csv/force_disp_Test_025.csv,,
15,Case2,8x8_025,1,2,0.5116666666666667,0.14008564980664437,data/New_data/8x8_Case2/csv/force_disp_Test_025.csv,,
16,Case2,8x8_175,1,2,0.48,0.13599903596232218,data/New_data/8x8_Case2/csv/force_disp_Test_175.csv,,
17,Case3,8x8_175,1,2,0.48833333333333334,0.13587326305846703,data/New_data/8x8_Case3/csv/force_disp_Test_175.csv,,
18,Case2,8x8_010,1,2,0.4766666666666667,0.1355084161562251,data/New_data/8x8_Case2/csv/force_disp_Test_010.csv,,
19,Case3,8x8_010,1,2,0.48333333333333334,0.13539530539840236,data/New_data/8x8_Case3/csv/force_disp_Test_010.csv,,
20,Case3,8x8_173,1,2,0.48333333333333334,0.13534050304038542,data/New_data/8x8_Case3/csv/force_disp_Test_173.csv,,
21,Case4,8x8_292,1,2,0.49833333333333335,0.13533311979267884,data/New_data/8x8_Case4/csv/force_disp_Test_292.csv,,
22,Case2,8x8_292,1,2,0.5116666666666667,0.1351302338052669,data/New_data/8x8_Case2/csv/force_disp_Test_292.csv,,
23,Case2,8x8_173,1,2,0.47833333333333333,0.13493983781135396,data/New_data/8x8_Case2/csv/force_disp_Test_173.csv,,
24,Case3,8x8_292,1,2,0.5183333333333333,0.13490566202550763,data/New_data/8x8_Case3/csv/force_disp_Test_292.csv,,
25,Case2,8x8_276,1,2,0.4866666666666667,0.1337009927238083,data/New_data/8x8_Case2/csv/force_disp_Test_276.csv,,
26,Case3,8x8_276,1,2,0.49166666666666664,0.1332919801691058,data/New_data/8x8_Case3/csv/force_disp_Test_276.csv,,
27,Case2,8x8_156,1,2,0.5116666666666667,0.1324720065764683,data/New_data/8x8_Case2/csv/force_disp_Test_156.csv,,
28,Case3,8x8_156,1,2,0.52,0.13230519095529913,data/New_data/8x8_Case3/csv/force_disp_Test_156.csv,,
29,Case4,8x8_156,1,2,0.49666666666666665,0.13228716650078592,data/New_data/8x8_Case4/csv/force_disp_Test_156.csv,,
30,Case2,8x8_026,1,2,0.48333333333333334,0.13053882394490077,data/New_data/8x8_Case2/csv/force_disp_Test_026.csv,,
31,Case3,8x8_026,1,2,0.49166666666666664,0.13032408780693241,data/New_data/8x8_Case3/csv/force_disp_Test_026.csv,,
32,Case4,8x8_244,1,2,0.465,0.1296723685043163,data/New_data/8x8_Case4/csv/force_disp_Test_244.csv,,
33,Case3,8x8_244,1,2,0.49333333333333335,0.12935318850825508,data/New_data/8x8_Case3/csv/force_disp_Test_244.csv,,
34,Case2,8x8_244,1,2,0.48833333333333334,0.12905840845662192,data/New_data/8x8_Case2/csv/force_disp_Test_244.csv,,
35,Case2,8x8_037,1,2,0.475,0.1272839080920214,data/New_data/8x8_Case2/csv/force_disp_Test_037.csv,,
36,Case4,8x8_264,1,2,0.5016666666666667,0.12726168325361284,data/New_data/8x8_Case4/csv/force_disp_Test_264.csv,,
37,Case3,8x8_037,1,2,0.47833333333333333,0.12685764802342314,data/New_data/8x8_Case3/csv/force_disp_Test_037.csv,,
38,Case2,8x8_264,1,2,0.5183333333333333,0.1268167749499698,data/New_data/8x8_Case2/csv/force_disp_Test_264.csv,,
39,Case3,8x8_264,1,2,0.5183333333333333,0.12648627610175542,data/New_data/8x8_Case3/csv/force_disp_Test_264.csv,,
40,Case2,8x8_067,1,2,0.475,0.12586504034331558,data/New_data/8x8_Case2/csv/force_disp_Test_067.csv,,
41,Case3,8x8_067,1,2,0.48,0.12550491247845857,data/New_data/8x8_Case3/csv/force_disp_Test_067.csv,,
42,Case4,8x8_043,1,2,0.49666666666666665,0.1233470867305815,data/New_data/8x8_Case4/csv/force_disp_Test_043.csv,,
43,Case3,8x8_043,1,2,0.5166666666666667,0.12326450783816897,data/New_data/8x8_Case3/csv/force_disp_Test_043.csv,,
44,Case2,8x8_043,1,2,0.5083333333333333,0.123143659438854,data/New_data/8x8_Case2/csv/force_disp_Test_043.csv,,
45,Case2,8x8_094,1,2,0.47833333333333333,0.12115819796035536,data/New_data/8x8_Case2/csv/force_disp_Test_094.csv,,
46,Case3,8x8_094,1,2,0.485,0.12101290945414131,data/New_data/8x8_Case3/csv/force_disp_Test_094.csv,,
47,Case2,8x8_300,1,2,0.46,0.12057434325046093,data/New_data/8x8_Case2/csv/force_disp_Test_300.csv,,
48,Case4,8x8_221,1,2,0.4633333333333333,0.12005000935855374,data/New_data/8x8_Case4/csv/force_disp_Test_221.csv,,
49,Case3,8x8_221,1,2,0.49166666666666664,0.11992128200449664,data/New_data/8x8_Case3/csv/force_disp_Test_221.csv,,
50,Case2,8x8_221,1,2,0.49,0.1194050159970602,data/New_data/8x8_Case2/csv/force_disp_Test_221.csv,,
51,Case2,8x8_066,1,2,0.47333333333333333,0.11797103505725212,data/New_data/8x8_Case2/csv/force_disp_Test_066.csv,,
52,Case3,8x8_153,1,2,0.47333333333333333,0.11712581977809736,data/New_data/8x8_Case3/csv/force_disp_Test_153.csv,,
53,Case3,8x8_066,1,2,0.4716666666666667,0.11677016231829002,data/New_data/8x8_Case3/csv/force_disp_Test_066.csv,,
54,Case2,8x8_294,1,2,0.4716666666666667,0.11108067168990504,data/New_data/8x8_Case2/csv/force_disp_Test_294.csv,,
55,Case3,8x8_294,1,2,0.47,0.11076097197529981,data/New_data/8x8_Case3/csv/force_disp_Test_294.csv,,
56,Case2,8x8_205,1,2,0.495,0.10960628766634414,data/New_data/8x8_Case2/csv/force_disp_Test_205.csv,,
