feature,scalar_importance,type_importance,curve_importance,combined_importance
angle_min_abs,0.12155943424442778,0.0,0.12812933164698506,0.12484438294570642
angle_abs_std,0.06852579407798863,0.0,0.07241008425391879,0.0704679391659537
a12,0.03440912119463093,0.0,0.03474522660489496,0.03457717389976295
d12,0.03219133613195584,0.0,0.027381649090792354,0.0297864926113741
d66,0.02809258543641305,0.0,0.030696916459250573,0.02939475094783181
angle_abs_mean,0.03122097102771146,0.0,0.026918635705000128,0.02906980336635579
stack_balance_cos_sum,0.028975637361934394,0.0,0.029106152262440357,0.029040894812187378
d11,0.02912689081705532,0.0,0.02511241854087178,0.02711965467896355
theta2_cos_2,0.02875972404006253,0.0,0.023278708235078143,0.026019216137570335
theta2_sin_4,0.025334715890562833,0.0,0.02420857302643895,0.024771644458500892
theta_diff,0.025110779056349432,0.0,0.02414638027740383,0.02462857966687663
theta2_cos_4,0.02685092049847368,0.0,0.02176942324382419,0.024310171871148936
bending_anisotropy,0.02663063284358702,0.0,0.021849250798012764,0.024239941820799894
membrane_anisotropy,0.02590506450681382,0.0,0.021101538588095818,0.02350330154745482
theta2,0.021361312169184285,0.0,0.025203035436369415,0.023282173802776848
d22,0.023287792693733777,0.0,0.023228990407466038,0.02325839155059991
abs_theta1,0.024586628665805382,0.0,0.019881821874629092,0.022234225270217237
a22,0.02077953589970167,0.0,0.021536521400882077,0.02115802865029187
a11_a22_ratio,0.022682816480896033,0.0,0.019515909846318746,0.021099363163607388
a66,0.02171571364705319,0.0,0.020228178730747955,0.020971946188900574
theta1_cos_4,0.021678159418434442,0.0,0.01972418756237889,0.020701173490406666
abs_theta2,0.02370784905450083,0.0,0.016762541873187636,0.02023519546384423
theta1_sin_4,0.020364454269041488,0.0,0.01975434478920011,0.0200593995291208
theta2_sin_2,0.019373189592532973,0.0,0.020091122881676287,0.01973215623710463
theta1_cos_2,0.02173414851922073,0.0,0.017632359569426485,0.019683254044323608
a11,0.01921678047300544,0.0,0.019673514301272243,0.01944514738713884
theta_abs_diff,0.015328193682938576,0.0,0.023531670109956018,0.019429931896447296
d11_d22_ratio,0.021083710556499526,0.0,0.017543388896697137,0.01931354972659833
case_case3,0.018167535370403918,0.0,0.019946215920721228,0.019056875645562573
d_coupling_norm,0.013968309155834639,0.0,0.01921499443863402,0.01659165179723433
d26,0.013880595517131432,0.0,0.01819334017430501,0.01603696784571822
angle_max_abs,0.015144924436217797,0.0,0.015414620641972228,0.015279772539095012
theta1_sin_2,0.013940502563267983,0.0,0.014479057178390447,0.014209779870829215
d16,0.011176669915000789,0.0,0.016166090799824367,0.013671380357412579
case_case4,0.013702063586403244,0.0,0.012603818087180791,0.013152940836792018
theta1,0.012015324109502777,0.0,0.01419405978129868,0.013104691945400728
b26,0.007776209801983587,0.0,0.015148742771970033,0.01146247628697681
case_case2,0.011704184636339408,0.0,0.009913366223954953,0.010808775430147181
theta_sum,0.009820941797832727,0.0,0.010951933289717115,0.010386437543774921
theta_product,0.008548775439769622,0.0,0.01149716281343426,0.01002296912660194
stack_symmetry_mismatch,0.007635530165378221,0.0,0.009104570056430502,0.008370050110904362
b16,0.00592490167298857,0.0,0.01030404216558184,0.008114471919285205
b_coupling_norm,0.006999639581430214,0.0,0.00770610924336869,0.007352874412399452
