case,test_id,theta1,theta2,true_pt,variable,delta_deg,base_pt,minus_pt,plus_pt,central_sensitivity_pt_per_deg,base_type_pred,minus_type_pred,plus_type_pred
Case4,054,-17.0,-44.0,3858.23,theta1,5.0,3795.8229848848277,4838.079080830056,4980.061840805283,14.198275997522705,2,2,2
Case4,054,-17.0,-44.0,3858.23,theta2,5.0,3795.8229848848277,4075.2269683541854,5276.236442272517,120.10094739183315,2,2,2
Case4,113,35.0,-2.0,7296.78,theta1,5.0,7326.438481314289,7052.939432274448,7594.540486268416,54.1601053993968,3,3,2
Case4,113,35.0,-2.0,7296.78,theta2,5.0,7326.438481314289,7450.389395362694,7295.683391937339,-15.470600342535453,3,3,3
Case4,166,-61.0,-3.0,8208.83,theta1,5.0,8229.438666921387,8244.134075286105,8179.602798364871,-6.453127692123417,2,2,2
Case4,166,-61.0,-3.0,8208.83,theta2,5.0,8229.438666921387,8285.68263697853,8226.686944386978,-5.899569259155214,2,2,2
Case2,258,54.0,-18.0,8643.84,theta1,5.0,8614.984678248247,8570.349871053162,8606.984820671025,3.663494961786273,2,2,2
Case2,258,54.0,-18.0,8643.84,theta2,5.0,8614.984678248247,8804.067417308026,8410.146952123774,-39.3920465184252,2,2,2
Case3,270,10.0,76.0,8876.44,theta1,5.0,8872.204312767633,8715.496716017075,9124.080486807306,40.85837707902319,2,2,2
Case3,270,10.0,76.0,8876.44,theta2,5.0,8872.204312767633,8928.941567516773,8598.561050510576,-33.03805170061969,2,2,2
Case2,116,12.0,-85.0,9174.09,theta1,5.0,9107.93806306459,8911.66280056696,9301.196317567534,38.95335170005728,2,2,2
Case2,116,12.0,-85.0,9174.09,theta2,5.0,9107.93806306459,9173.126639172968,9046.293653141372,-12.683298603159528,2,2,2
Case2,274,30.0,-25.0,9485.0,theta1,5.0,9311.827767702382,9336.43939093031,9177.293080328056,-15.914631060225474,3,3,2
Case2,274,30.0,-25.0,9485.0,theta2,5.0,9311.827767702382,10377.397690813052,8529.551930205851,-184.78457606072007,3,2,3
Case4,092,-38.0,-40.0,13258.17,theta1,5.0,12853.216857668458,12589.54422526889,11514.96947661728,-107.45747486516102,2,2,2
Case4,092,-38.0,-40.0,13258.17,theta2,5.0,12853.216857668458,11917.700583740276,12169.381666018828,25.168108227855193,2,2,2
