case,test_id,theta1,theta2,true_pt,variable,delta_deg,base_pt,minus_pt,plus_pt,central_sensitivity_pt_per_deg,base_type_pred,minus_type_pred,plus_type_pred
Case4,054,-17.0,-44.0,3858.23,theta1,5.0,4541.416878890498,6891.894985052844,7701.103952897763,80.92089678449183,2,2,2
Case4,054,-17.0,-44.0,3858.23,theta2,5.0,4541.416878890498,5988.136047221227,7631.39053234441,164.32544851231825,2,2,2
Case4,113,35.0,-2.0,7296.78,theta1,5.0,7226.762226476128,6895.339127292818,7554.996873907954,65.96577466151356,3,3,2
Case4,113,35.0,-2.0,7296.78,theta2,5.0,7226.762226476128,7393.028635863002,7224.4497666054085,-16.85788692575934,3,3,3
Case4,166,-61.0,-3.0,8208.83,theta1,5.0,8265.789594570262,8262.948994542407,8231.600594976348,-3.1348399566059015,2,2,2
Case4,166,-61.0,-3.0,8208.83,theta2,5.0,8265.789594570262,8372.008546568699,8251.585266071264,-12.042328049743446,2,2,2
Case2,258,54.0,-18.0,8643.84,theta1,5.0,8614.705724243133,8548.416460151058,8635.045826216066,8.662936606500807,2,2,2
Case2,258,54.0,-18.0,8643.84,theta2,5.0,8614.705724243133,8748.08062356082,8435.65671701917,-31.242390654164957,2,2,2
Case3,270,10.0,76.0,8876.44,theta1,5.0,8859.0048276347,8724.959249781276,9071.447680015475,34.64884302341998,2,2,2
Case3,270,10.0,76.0,8876.44,theta2,5.0,8859.0048276347,8902.77322401866,8704.147282441105,-19.862594157755485,2,2,2
Case2,116,12.0,-85.0,9174.09,theta1,5.0,9036.206931324943,8881.482619781546,9235.40809030625,35.3925470524704,2,2,2
Case2,116,12.0,-85.0,9174.09,theta2,5.0,9036.206931324943,9082.895011215858,8997.840806915083,-8.505420430077539,2,2,2
Case2,274,30.0,-25.0,9485.0,theta1,5.0,9387.47555860611,9401.569311586334,9203.608367253562,-19.796094433277176,3,3,2
Case2,274,30.0,-25.0,9485.0,theta2,5.0,9387.47555860611,10407.724762926004,8505.687095108788,-190.2037667817216,3,2,3
Case4,092,-38.0,-40.0,13258.17,theta1,5.0,12181.637146249555,11958.243340782661,11448.897765650876,-50.93455751317852,2,2,2
Case4,092,-38.0,-40.0,13258.17,theta2,5.0,12181.637146249555,11753.026722799828,11292.512816631619,-46.05139061682094,2,2,2
