feature,scalar_importance,type_importance,curve_importance,combined_importance
angle_min_abs,0.1370054720525243,0.0,0.14082340282997868,0.1389144374412515
angle_abs_std,0.06867752275923646,0.0,0.07247248667391039,0.07057500471657344
theta1_cos_4,0.049698549221385266,0.0,0.043746785169585245,0.04672266719548526
theta2_cos_4,0.040230851131675634,0.0,0.035917532652798415,0.038074191892237035
d12,0.03527844791088933,0.0,0.032168341623012645,0.03372339476695099
theta1_cos_2,0.03381528019665928,0.0,0.026427368082176685,0.030121324139417986
abs_theta1,0.0344518661315417,0.0,0.025530482583544668,0.02999117435754319
abs_theta2,0.031316037013817535,0.0,0.023226140213831264,0.027271088613824403
a12,0.02525269467050174,0.0,0.028332207242186408,0.02679245095634408
bending_anisotropy,0.025154207492048608,0.0,0.02563996226987388,0.025397084880961245
membrane_anisotropy,0.02442680291477322,0.0,0.02293743253869671,0.02368211772673497
d66,0.023335638062877254,0.0,0.022953478654231262,0.023144558358554262
theta2_cos_2,0.025375954919252014,0.0,0.019979813246666766,0.022677884082959395
d26,0.018710375410833237,0.0,0.023975494922063054,0.02134293516644815
theta_abs_diff,0.018592208845064077,0.0,0.02259432163273799,0.020593265238901037
theta1_sin_4,0.020101526303036264,0.0,0.020521309834674366,0.02031141806885532
d_coupling_norm,0.012449906096587467,0.0,0.028001270018887053,0.020225588057737266
angle_max_abs,0.02264492387183728,0.0,0.017760508612678097,0.020202716242257692
stack_balance_cos_sum,0.01988323426260711,0.0,0.02008365815369375,0.019983446208150433
theta2_sin_4,0.019591755857168235,0.0,0.016948676150331743,0.018270216003749992
a11_a22_ratio,0.01825875321021947,0.0,0.01716892077010822,0.017713836990163847
d11_d22_ratio,0.018322879947080314,0.0,0.016418979076720783,0.017370929511900553
b26,0.01426815747543653,0.0,0.019214621066913094,0.016741389271174818
case_case3,0.016090251103092465,0.0,0.01626884162712224,0.016179546365107354
theta_sum,0.015224701305815125,0.0,0.017033017015054157,0.016128859160434644
d22,0.017665461632628877,0.0,0.01376929887395341,0.015717380253291148
stack_symmetry_mismatch,0.01378333312873902,0.0,0.017484919082100266,0.015634126105419647
case_case4,0.01584786052357306,0.0,0.015073392110197044,0.015460626316885055
theta1,0.014156754145321951,0.0,0.01655569654342427,0.015356225344373113
d11,0.015700486009664793,0.0,0.014575950009985076,0.015138218009824936
a11,0.014287654337436426,0.0,0.015685905556277826,0.014986779946857128
angle_abs_mean,0.015792445947999237,0.0,0.014091619099529412,0.014942032523764326
theta2_sin_2,0.01579474060947346,0.0,0.013442345360336005,0.014618542984904734
case_case2,0.014331946189547192,0.0,0.012290697176471068,0.013311321683009131
theta1_sin_2,0.013172061472277091,0.0,0.01341614801810492,0.013294104745191007
d16,0.009649561777455557,0.0,0.016887165113475894,0.013268363445465727
b_coupling_norm,0.011913968796088322,0.0,0.013250351139875306,0.012582159967981817
theta2,0.012229889456513337,0.0,0.01261771467425236,0.01242380206538285
theta_diff,0.010686918530519155,0.0,0.012265307982049065,0.011476113256284112
a66,0.01140378197841662,0.0,0.011493253500718614,0.011448517739567619
theta_product,0.009313867885012381,0.0,0.011153174887744062,0.010233521386378223
a22,0.009972777477460892,0.0,0.01009349837562499,0.010033137926542942
b16,0.006138491935912571,0.0,0.00970850983440285,0.007923500885157713
