feature,scalar_importance,type_importance,curve_importance,combined_importance
theta2_cos_4,0.1656849311734885,0.0,0.1688166819637603,0.1672508065686244
theta1_cos_4,0.1605841918357511,0.0,0.15665311837818097,0.15861865510696604
abs_theta1,0.08875209209419073,0.0,0.07861772303095657,0.08368490756257366
theta2_cos_2,0.08657504760459253,0.0,0.07831049711700495,0.08244277236079875
abs_theta2,0.08754706756552343,0.0,0.07511986849434298,0.0813334680299332
theta1_cos_2,0.07966048762356706,0.0,0.07026627736772346,0.07496338249564527
theta2_sin_4,0.046231709013933545,0.0,0.04423565291142964,0.04523368096268159
theta1_sin_4,0.04413091597729468,0.0,0.039839051832052455,0.04198498390467357
theta_product,0.029564272881525987,0.0,0.04063901960228019,0.03510164624190309
theta_abs_diff,0.02720215564695338,0.0,0.03608864052202988,0.03164539808449163
theta_sum,0.022094457964112527,0.0,0.030355811041307995,0.02622513450271026
theta_diff,0.022835377939422218,0.0,0.028983131044804947,0.025909254492113582
theta1_sin_2,0.02337961521119274,0.0,0.026506391547732322,0.02494300337946253
theta2_sin_2,0.02307960229885344,0.0,0.0237083676975358,0.02339398499819462
case_case4,0.019495106462899606,0.0,0.0209145590684764,0.020204832765688005
case_case2,0.019233805876037343,0.0,0.02023197877020544,0.019732892323121393
theta1,0.018352825227517206,0.0,0.020878011747857618,0.019615418487687414
theta2,0.017401780875038443,0.0,0.0216095721235312,0.01950567649928482
case_case3,0.01819455672810546,0.0,0.018225645738786905,0.018210101233446182
